wikidata_qid,display_name,role,organization_ru,organization_qid,from_year,to_year,source_url
Q171848,Ольденбург Сергей Фёдорович,affiliation,Российская академия наук,Q83172,1904,1929,https://www.wikidata.org/wiki/Q171848
Q171848,Ольденбург Сергей Фёдорович,affiliation,Санкт-Петербургский государственный университет,Q27621,,,https://www.wikidata.org/wiki/Q171848
Q171848,Ольденбург Сергей Фёдорович,education,Восточный факультет СПбГУ,Q4126647,,,https://www.wikidata.org/wiki/Q171848
Q4360844,Петров Павел Яковлевич,affiliation,Императорский Казанский университет,Q28482293,,,https://www.wikidata.org/wiki/Q4360844
Q4360844,Петров Павел Яковлевич,affiliation,Императорский Московский университет,Q27923720,,,https://www.wikidata.org/wiki/Q4360844
Q4360844,Петров Павел Яковлевич,education,Императорский Московский университет,Q27923720,,,https://www.wikidata.org/wiki/Q4360844
Q4360844,Петров Павел Яковлевич,education,Профессорский институт,Q24931218,,,https://www.wikidata.org/wiki/Q4360844
Q4360844,Петров Павел Яковлевич,education,Санкт-Петербургский Императорский университет,Q28729082,,,https://www.wikidata.org/wiki/Q4360844
Q4360844,Петров Павел Яковлевич,education,историко-филологический факультет Московского университета,Q4204467,,,https://www.wikidata.org/wiki/Q4360844
Q358957,Рерих Юрий Николаевич,affiliation,Институт востоковедения РАН,Q154528,,,https://www.wikidata.org/wiki/Q358957
Q358957,Рерих Юрий Николаевич,education,Гарвардский университет,Q13371,,1922,https://www.wikidata.org/wiki/Q358957
Q358957,Рерих Юрий Николаевич,education,Лондонский университет,Q170027,,1920,https://www.wikidata.org/wiki/Q358957
Q358957,Рерих Юрий Николаевич,education,Петербургская школа Карла Мая,Q4360202,,1917,https://www.wikidata.org/wiki/Q358957
Q658050,Серебряков Игорь Дмитриевич,affiliation,Военный институт иностранных языков,Q61750959,,,https://www.wikidata.org/wiki/Q658050
Q658050,Серебряков Игорь Дмитриевич,affiliation,Институт востоковедения РАН,Q154528,,,https://www.wikidata.org/wiki/Q658050
Q658050,Серебряков Игорь Дмитриевич,affiliation,Правда,Q183644,,,https://www.wikidata.org/wiki/Q658050
Q658050,Серебряков Игорь Дмитриевич,education,филологический факультет Санкт-Петербургского государственного университета,Q3064300,,,https://www.wikidata.org/wiki/Q658050
