registry_id,full_name_ru,full_name_en,birth_year,death_year,field,role,affiliation,alma_mater,degree,wikidata_qid,orcid,source_url,status,note
RIND_751390be,Абани Мукерджи,Abani Mukerdži,,,индология,индолог,,,,,,,candidate,
RIND_5ac74908,Александр Августович Сталь-фон-Гольштейн,Aleksandr Avgustovič Stalʹ-fon-Golʹštejn,1877,1937,,индолог,,,,Q565707,,https://www.wikidata.org/wiki/Q565707,verified,
RIND_fd94dc32,Александр Александрович Столяров,Aleksandr Aleksandrovič Stolârov,1946,,индология,,Институт научной информации по общественным наукам РАН Институт востоковедения РАН РГГУ,ИСАА,кандидат исторических наук,,,,candidate,
RIND_fb9f8057,Александр Альфредович Горбовский,Aleksandr Alʹfredovič Gorbovskij,,,индология,индолог,,,,,,,candidate,
RIND_1777ba54,Александр Михайлович Мерварт,Aleksandr Mihajlovič Mervart,1884,1932,индология,индолог,,,,Q3523976,,https://www.wikidata.org/wiki/Q3523976,verified,
RIND_6e96c33b,Александр Моисеевич Пятигорский,Aleksandr Moiseevič Pâtigorskij,1929,2009,"философ , филолог","лингвист , философ , востоковед , лингвист-индолог , писатель , историк","ИВ АН СССР , ИНИОН , Лондонский университет",философский факультет МГУ ( 1951 ),кандидат филологических наук 5,,,,candidate,
RIND_4085523c,Александр Николаевич Сенкевич,Aleksandr Nikolaevič Senkevič,1941,,,"индолог , филолог , прозаик , переводчик , поэт",,,,Q4416180,,https://www.wikidata.org/wiki/Q4416180,verified,
RIND_bf83e640,Александр Яковлевич Сыркин,Aleksandr Âkovlevič Syrkin,,,индология,индолог,,,доктор филологических наук,,,,candidate,
RIND_46d698c8,Алексей Давыдович Литман,Aleksej Davydovič Litman,,,индология,индолог,ИВ АН СССР,,доктор философских наук,,,,candidate,
RIND_26b8c320,Алексей Михайлович Дьяков,Aleksej Mihajlovič Dʹâkov,,,индология,индолог,ИВ АН СССР,,доктор исторических наук,,,,candidate,
