registry_id,display_name,full_name_ru,full_name_en,birth_year,death_year,wikidata_qid,source_url,ruwiki_url,description_ru,occupations_ru,status,note
,Лебедев Герасим Степанович,Лебедев Герасим Степанович,Gerasim Lebedev,1749,1817,Q2028881,https://www.wikidata.org/wiki/Q2028881,https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%B1%D0%B5%D0%B4%D0%B5%D0%B2%2C_%D0%93%D0%B5%D1%80%D0%B0%D1%81%D0%B8%D0%BC_%D0%A1%D1%82%D0%B5%D0%BF%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,"российский индолог, лингвист, театральный деятель, переводчик, музыкант",лингвист; театральный режиссёр; список путешественников-исследователей; лингвист-индолог; виолончелист,verified,
,Ленц Роберт Христианович,Ленц Роберт Христианович,Robert Lenz,1808,1836,Q15134863,https://www.wikidata.org/wiki/Q15134863,https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%BD%D1%86%2C_%D0%A0%D0%BE%D0%B1%D0%B5%D1%80%D1%82_%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%B8%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,индолог и санскритолог,востоковед; лингвист; филолог,verified,
,Коссович Каэтан Андреевич,Коссович Каэтан Андреевич,Kossovïç Kaétan Andreyevïç,1814,1883,Q3920365,https://www.wikidata.org/wiki/Q3920365,https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%81%D1%81%D0%BE%D0%B2%D0%B8%D1%87%2C_%D0%9A%D0%B0%D1%8D%D1%82%D0%B0%D0%BD_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87,Russian orientalist (1815–1883),востоковед; иранист; учитель; библиотекарь; переводчик,disputed,"birth_year disputed on Wikidata: chose 1814, also attested 1815"
,Петров Павел Яковлевич,Петров Павел Яковлевич,Pavel Yakovlevich Petrov,1814,1875,Q4360844,https://www.wikidata.org/wiki/Q4360844,https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%2C_%D0%9F%D0%B0%D0%B2%D0%B5%D0%BB_%D0%AF%D0%BA%D0%BE%D0%B2%D0%BB%D0%B5%D0%B2%D0%B8%D1%87,"российский востоковед, лингвист-полиглот",учёный,verified,
RIND_034456a2,Бётлингк Оттон Николаевич,Бётлингк Оттон Николаевич,Otto von Böhtlingk,1815,1904,Q76423,https://www.wikidata.org/wiki/Q76423,https://ru.wikipedia.org/wiki/%D0%91%D1%91%D1%82%D0%BB%D0%B8%D0%BD%D0%B3%D0%BA%2C_%D0%9E%D1%82%D1%82%D0%BE%D0%BD_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87,"немецкий и русский индолог, санскритолог",лингвист; лингвист-индолог,verified,
,Васильев Василий Павлович,Васильев Василий Павлович,Vasily Vasilyev,1818,1900,Q721077,https://www.wikidata.org/wiki/Q721077,https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%2C_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B9_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,"российский учёный-синолог, буддолог, санскритолог",писатель; Buddhologist; филолог; синолог; востоковед; историк,verified,
RIND_1672f0cd,Минаев Иван Павлович,Минаев Иван Павлович,Ivan Minayev,1840,1890,Q171275,https://www.wikidata.org/wiki/Q171275,https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BD%D0%B0%D0%B5%D0%B2%2C_%D0%98%D0%B2%D0%B0%D0%BD_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,Russian Indologist,лингвист-индолог,verified,
,Миллер Всеволод Фёдорович,Миллер Всеволод Фёдорович,Vsevolod Miller,1848,1913,Q235796,https://www.wikidata.org/wiki/Q235796,https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BB%D0%BB%D0%B5%D1%80%2C_%D0%92%D1%81%D0%B5%D0%B2%D0%BE%D0%BB%D0%BE%D0%B4_%D0%A4%D1%91%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,"русский учёный, фольклорист, этнограф, языковед и археолог",антрополог; лингвист; археолог; историк; этнолог; востоковед,verified,
,Овсянико-Куликовский Дмитрий Николаевич,Овсянико-Куликовский Дмитрий Николаевич,Dmitry Ovsyaniko-Kulikovsky,1853,1920,Q3712323,https://www.wikidata.org/wiki/Q3712323,https://ru.wikipedia.org/wiki/%D0%9E%D0%B2%D1%81%D1%8F%D0%BD%D0%B8%D0%BA%D0%BE-%D0%9A%D1%83%D0%BB%D0%B8%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%2C_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87,русский литературовед и лингвист,лингвист; литературный критик,verified,
RIND_da3e06ff,Ольденбург Сергей Фёдорович,Ольденбург Сергей Фёдорович,Sergey Oldenburg,1863,1934,Q171848,https://www.wikidata.org/wiki/Q171848,https://ru.wikipedia.org/wiki/%D0%9E%D0%BB%D1%8C%D0%B4%D0%B5%D0%BD%D0%B1%D1%83%D1%80%D0%B3%2C_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%A4%D1%91%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,русский и советский востоковед,антрополог; востоковед; лингвист-индолог; переводчик; магистр экономики,verified,
