metric_id,lens,native_unit,period,numerator_name,numerator,denominator_name,denominator,denominator_unit,value,missingness,coverage_status,source_snapshot,method,method_version,caveat
activity.conferences.pre-1990,conferences,presentation,pre-1990,presentations_in_period,0,dated_records_in_this_lens,1362,presentation,0.000000,undated_records=0,complete,conferences:2026-08-06,record.created_at binned by classify.PERIOD_BINS,h1899-metrics-1.0.0,within-lens composition; native unit is not comparable across lenses
activity.conferences.1990-2004,conferences,presentation,1990-2004,presentations_in_period,28,dated_records_in_this_lens,1362,presentation,0.020558,undated_records=0,complete,conferences:2026-08-06,record.created_at binned by classify.PERIOD_BINS,h1899-metrics-1.0.0,within-lens composition; native unit is not comparable across lenses
activity.conferences.2005-2010,conferences,presentation,2005-2010,presentations_in_period,210,dated_records_in_this_lens,1362,presentation,0.154185,undated_records=0,complete,conferences:2026-08-06,record.created_at binned by classify.PERIOD_BINS,h1899-metrics-1.0.0,within-lens composition; native unit is not comparable across lenses
activity.conferences.2011-2017,conferences,presentation,2011-2017,presentations_in_period,431,dated_records_in_this_lens,1362,presentation,0.316446,undated_records=0,complete,conferences:2026-08-06,record.created_at binned by classify.PERIOD_BINS,h1899-metrics-1.0.0,within-lens composition; native unit is not comparable across lenses
activity.conferences.2018-2025,conferences,presentation,2018-2025,presentations_in_period,634,dated_records_in_this_lens,1362,presentation,0.465492,undated_records=0,complete,conferences:2026-08-06,record.created_at binned by classify.PERIOD_BINS,h1899-metrics-1.0.0,within-lens composition; native unit is not comparable across lenses
activity.conferences.2026-partial,conferences,presentation,2026-partial,presentations_in_period,59,dated_records_in_this_lens,1362,presentation,0.043319,undated_records=0,complete,conferences:2026-08-06,record.created_at binned by classify.PERIOD_BINS,h1899-metrics-1.0.0,2026 is PARTIAL: never comparable with a full-year rate
activity.nagari.pre-1990,nagari,message,pre-1990,messages_in_period,0,dated_records_in_this_lens,18727,message,0.000000,undated_records=0,pilot,nagari:pilot:2026-07-17,record.created_at binned by classify.PERIOD_BINS,h1899-metrics-1.0.0,"pilot coverage: within-lens composition only, no population claim"
activity.nagari.1990-2004,nagari,message,1990-2004,messages_in_period,0,dated_records_in_this_lens,18727,message,0.000000,undated_records=0,pilot,nagari:pilot:2026-07-17,record.created_at binned by classify.PERIOD_BINS,h1899-metrics-1.0.0,"pilot coverage: within-lens composition only, no population claim"
activity.nagari.2005-2010,nagari,message,2005-2010,messages_in_period,2612,dated_records_in_this_lens,18727,message,0.139478,undated_records=0,pilot,nagari:pilot:2026-07-17,record.created_at binned by classify.PERIOD_BINS,h1899-metrics-1.0.0,"pilot coverage: within-lens composition only, no population claim"
activity.nagari.2011-2017,nagari,message,2011-2017,messages_in_period,8724,dated_records_in_this_lens,18727,message,0.465851,undated_records=0,pilot,nagari:pilot:2026-07-17,record.created_at binned by classify.PERIOD_BINS,h1899-metrics-1.0.0,"pilot coverage: within-lens composition only, no population claim"
activity.nagari.2018-2025,nagari,message,2018-2025,messages_in_period,7236,dated_records_in_this_lens,18727,message,0.386394,undated_records=0,pilot,nagari:pilot:2026-07-17,record.created_at binned by classify.PERIOD_BINS,h1899-metrics-1.0.0,"pilot coverage: within-lens composition only, no population claim"
activity.nagari.2026-partial,nagari,message,2026-partial,messages_in_period,155,dated_records_in_this_lens,18727,message,0.008277,undated_records=0,pilot,nagari:pilot:2026-07-17,record.created_at binned by classify.PERIOD_BINS,h1899-metrics-1.0.0,"PILOT/PARTIAL coverage: within-lens composition only, no population share — 2026 is PARTIAL: never comparable with a full-year rate"
activity.vk_ors.pre-1990,vk_ors,post,pre-1990,posts_in_period,0,dated_records_in_this_lens,7608,post,0.000000,undated_records=0,complete,vk_ors:2026-07-24,record.created_at binned by classify.PERIOD_BINS,h1899-metrics-1.0.0,within-lens composition; native unit is not comparable across lenses
activity.vk_ors.1990-2004,vk_ors,post,1990-2004,posts_in_period,0,dated_records_in_this_lens,7608,post,0.000000,undated_records=0,complete,vk_ors:2026-07-24,record.created_at binned by classify.PERIOD_BINS,h1899-metrics-1.0.0,within-lens composition; native unit is not comparable across lenses
activity.vk_ors.2005-2010,vk_ors,post,2005-2010,posts_in_period,0,dated_records_in_this_lens,7608,post,0.000000,undated_records=0,complete,vk_ors:2026-07-24,record.created_at binned by classify.PERIOD_BINS,h1899-metrics-1.0.0,within-lens composition; native unit is not comparable across lenses
activity.vk_ors.2011-2017,vk_ors,post,2011-2017,posts_in_period,1711,dated_records_in_this_lens,7608,post,0.224895,undated_records=0,complete,vk_ors:2026-07-24,record.created_at binned by classify.PERIOD_BINS,h1899-metrics-1.0.0,within-lens composition; native unit is not comparable across lenses
activity.vk_ors.2018-2025,vk_ors,post,2018-2025,posts_in_period,5684,dated_records_in_this_lens,7608,post,0.747108,undated_records=0,complete,vk_ors:2026-07-24,record.created_at binned by classify.PERIOD_BINS,h1899-metrics-1.0.0,within-lens composition; native unit is not comparable across lenses
activity.vk_ors.2026-partial,vk_ors,post,2026-partial,posts_in_period,213,dated_records_in_this_lens,7608,post,0.027997,undated_records=0,complete,vk_ors:2026-07-24,record.created_at binned by classify.PERIOD_BINS,h1899-metrics-1.0.0,2026 is PARTIAL: never comparable with a full-year rate
