metric_id,lens,native_unit,period,numerator_name,numerator,denominator_name,denominator,denominator_unit,value,missingness,coverage_status,source_snapshot,method,method_version,caveat
overlap.conferences,conferences,presentation,all,verified_cross_lens_persons_attested_in_this_lens,7,persons_linked_in_this_lens,268,person,0.026119,ambiguous_candidates_excluded=5; linked_mentions=1388,complete,conferences:2026-08-06,reviewed identity links (curation/community_person_links.csv),h1898-identity-1.0.0,accepted links only; ambiguous candidates are NEVER counted. Cross-lens links derive from a closed group's membership and are not exportable until the nagari rights gate is approved
overlap.nagari,nagari,message,all,verified_cross_lens_persons_attested_in_this_lens,7,persons_linked_in_this_lens,7,person,1.000000,ambiguous_candidates_excluded=5; linked_mentions=641,pilot,nagari:pilot:2026-07-17,reviewed identity links (curation/community_person_links.csv),h1898-identity-1.0.0,"PILOT/PARTIAL coverage: within-lens composition only, no population share — accepted links only; ambiguous candidates are NEVER counted. Cross-lens links derive from a closed group's membership and are not exportable until the nagari rights gate is approved"
overlap.vk_ors,vk_ors,post,all,verified_cross_lens_persons_attested_in_this_lens,0,persons_linked_in_this_lens,0,person,,ambiguous_candidates_excluded=5; linked_mentions=0,complete,vk_ors:2026-07-24,reviewed identity links (curation/community_person_links.csv),h1898-identity-1.0.0,accepted links only; ambiguous candidates are NEVER counted. Cross-lens links derive from a closed group's membership and are not exportable until the nagari rights gate is approved
