series,n_scholars,n_total_participations,one_talk_wonder_pct,core_5plus_pct,gini_concentration,retention_pct,median_talks_per_scholar,max_talks_per_scholar
Zograf,204,908,40.2,34.8,0.522,59.8,2,22
Roerich,105,467,36.2,33.3,0.498,63.8,2,16
Combined,268,1265,41.0,35.8,0.528,59.0,2,22
