person_id,display_name,total_talks,city_only_talks,institution_talks,matched_city_labels,coverage_pct,unique_cities,unique_institutions
PERS_003adcfe,Псху Рузана Владимировна,14,14,0,0,0.0,Москва,
PERS_00c3b0cc,Щербак Мария Борисовна,1,1,0,0,0.0,СПб,
PERS_01aafd44,Сафина Наталья Алексеевна,3,3,0,0,0.0,Москва,
PERS_045c435e,К. Джункова,1,1,0,0,0.0,Братислава – СПб,
PERS_05d56645,Бабин Александр Николаевич,12,11,1,7,63.6,ГИИ; ГМВ; Москва,ВШЭ
PERS_0665f215,Шохин Владимир Кириллович,5,3,2,2,66.7,Москва,"ИФ РАН; ИФ РАН, Москва"
PERS_06ee047f,Елихина Юлия Игоревна,4,1,3,0,0.0,"Отдел Востока Государственного Эрмитажа, Санкт-Петербург","Государственный Эрмитаж, СПбГУ"
PERS_07adc1e6,Лейтан Эдгар Зигфридович,1,1,0,0,0.0,Вена,
PERS_088c4df7,Атманова Юлия Георгиевна,5,0,5,0,0,,ИВ РАН; МГУ
PERS_0a2e5f24,Тишин Владимир Владимирович,2,0,2,0,0,,ИВ РАН; аспирант ОИВ ИВ РАН
PERS_0c451d76,Лобанов Сергей Владимирович,7,7,0,0,0.0,Москва,
PERS_0e0a154e,Титлин Лев Игоревич,7,3,4,2,66.7,Москва,ИФ РАН
PERS_0fd718a7,Воздиган Ксения Михайловна,3,3,0,0,0.0,СПб; Санкт-Петербург,
PERS_10547db9,Б. В. Загуменнов,2,2,0,0,0.0,СПб,
PERS_1130c736,Серебряный Сергей Дмитриевич,1,1,0,0,0.0,Москва,
PERS_11da326d,Тавастшерна Сергей Сергеевич,21,8,13,7,87.5,СПб; Санкт-Петербург,"СПбГУ; СПбГУ, Восточный факультет; СПбГУ, Санкт-Петербург"
PERS_12125da9,Лысенко Виктория Георгиевна,18,14,4,12,85.7,Москва,"ИФ РАН; ИФ РАН, Москва; Институт философии РАН"
PERS_147ab928,Никольская Ксения Дмитриевна,1,0,1,0,0,,"ИСАА МГУ, Москва"
PERS_168a3a8b,Усенко Иван Сергеевич,1,1,0,0,0.0,Москва,
PERS_180c5e5c,Арапов Александр Владиленович,1,1,0,0,0.0,Воронеж,
PERS_18fcab2a,Блиндерман Радха Тимуровна,2,2,0,0,0.0,"Кембридж; Кембридж, Масс",
PERS_1955e9e8,К. Гаралите,1,1,0,0,0.0,Вильнюс,
PERS_1a097e52,Парибок Андрей Всеволодович,14,13,1,1,7.7,Москва; СПб; Санкт-Петербург,СПбГУ
PERS_1c6fcce5,Кузина Елизавета Олеговна,7,6,1,5,83.3,ГИИ; Москва,РУДН
PERS_1fa7cc0c,Дубянский Александр Михайлович,14,8,6,5,62.5,ИСАА; Москва,ИСАА МГУ
PERS_2011b78d,Бондарев Алексей Владимирович,1,1,0,0,0.0,"РГПУ, СПб",
PERS_2095dc59,Шалахов Евгений Геннадьевич,1,1,0,0,0.0,"ГБУ «Замок Шереметьева», онлайн",
PERS_22d87263,Костина Екатерина Александровна,6,5,1,3,60.0,СПб; Санкт-Петербург,СПбГУ
PERS_23215083,Русанов Максим Альбертович,7,7,0,0,0.0,Москва,
PERS_23abae7d,Пушкарева Юлия Георгиевна,1,1,0,0,0.0,Москва,
PERS_23f54085,Введенская Эльвира Игоревна,1,1,0,0,0.0,Вриндаван,
PERS_260a598a,Пахомов Сергей Владимирович,12,11,1,0,0.0,СПб; Санкт-Петербург,СПбГУ
PERS_26ce5ec1,Нина Будзишевска,1,1,0,0,0.0,Вроцлав,
PERS_28317057,Дубянская Татьяна Александровна,5,5,0,0,0.0,Москва,
