source,source_label,covered_persons,total_persons,coverage_share,high_activity_missing_persons,high_activity_threshold,interpretation,review_status,review_action
orcid,ORCID,7,268,0.026,91,5,"Coverage is a source-index visibility signal, not a scholar quality signal.",review,Inspect high-activity missing scholars and record true negatives or verified identifiers.
wikidata,Wikidata,3,268,0.011,96,5,"Coverage is a source-index visibility signal, not a scholar quality signal.",review,Inspect high-activity missing scholars and record true negatives or verified identifiers.
viaf,VIAF,0,268,0.000,98,5,"Coverage is a source-index visibility signal, not a scholar quality signal.",review,Inspect high-activity missing scholars and record true negatives or verified identifiers.
openalex,OpenAlex,14,268,0.052,84,5,"Coverage is a source-index visibility signal, not a scholar quality signal.",review,Inspect high-activity missing scholars and record true negatives or verified identifiers.
wikipedia,Wikipedia,5,268,0.019,95,5,"Coverage is a source-index visibility signal, not a scholar quality signal.",review,Inspect high-activity missing scholars and record true negatives or verified identifiers.
rinc,RINC/eLIBRARY,0,268,0.000,98,5,"Coverage is a source-index visibility signal, not a scholar quality signal.",review,Inspect high-activity missing scholars and record true negatives or verified identifiers.
google_scholar,Google Scholar,0,268,0.000,98,5,"Coverage is a source-index visibility signal, not a scholar quality signal.",review,Inspect high-activity missing scholars and record true negatives or verified identifiers.
official_url,Official URL,0,268,0.000,98,5,"Coverage is a source-index visibility signal, not a scholar quality signal.",review,Inspect high-activity missing scholars and record true negatives or verified identifiers.
any_external_id,Any external ID,21,268,0.078,81,5,"Coverage is a source-index visibility signal, not a scholar quality signal.",review,Inspect high-activity missing scholars and record true negatives or verified identifiers.
