series,year,newcomers,total,newcomer_pct
Zograf,2004,29,29,100.0
Zograf,2006,15,29,51.7
Zograf,2007,10,29,34.5
Zograf,2008,7,26,26.9
Zograf,2009,4,31,12.9
Zograf,2010,6,26,23.1
Zograf,2011,7,34,20.6
Zograf,2012,9,34,26.5
Zograf,2013,8,37,21.6
Zograf,2014,7,38,18.4
Zograf,2015,7,45,15.6
Zograf,2016,13,45,28.9
Zograf,2017,8,43,18.6
Zograf,2018,6,47,12.8
Zograf,2019,9,54,16.7
Zograf,2020,11,46,23.9
Zograf,2021,4,50,8.0
Zograf,2022,4,50,8.0
Zograf,2023,5,43,11.6
Zograf,2024,9,53,17.0
Zograf,2025,7,57,12.3
Zograf,2026,19,62,30.6
Roerich,2008,20,20,100.0
Roerich,2009,5,20,25.0
Roerich,2010,11,31,35.5
Roerich,2012,7,35,20.0
Roerich,2013,3,21,14.3
Roerich,2015,4,31,12.9
Roerich,2016,7,30,23.3
Roerich,2017,4,33,12.1
Roerich,2018,0,36,0.0
Roerich,2019,2,32,6.2
Roerich,2020,5,30,16.7
Roerich,2021,7,33,21.2
Roerich,2022,0,27,0.0
Roerich,2023,1,17,5.9
Roerich,2024,11,31,35.5
Roerich,2025,18,40,45.0
