year,Level_1_Microhistory,Level_2_Regional,Level_3_Global,Total,Pct_Level_1,Pct_Level_2,Pct_Level_3
2004,27,1,0,28,96.42857142857143,3.571428571428571,0.0
2006,27,1,0,28,96.42857142857143,3.571428571428571,0.0
2007,27,2,0,29,93.10344827586206,6.896551724137931,0.0
2008,39,5,1,45,86.66666666666667,11.11111111111111,2.2222222222222223
2009,40,11,0,51,78.43137254901961,21.568627450980394,0.0
2010,51,5,1,57,89.47368421052632,8.771929824561402,1.7543859649122806
2011,30,4,0,34,88.23529411764706,11.76470588235294,0.0
2012,61,7,0,68,89.70588235294117,10.294117647058822,0.0
2013,49,5,1,55,89.0909090909091,9.090909090909092,1.8181818181818181
2014,32,4,1,37,86.48648648648648,10.81081081081081,2.7027027027027026
2015,66,10,0,76,86.8421052631579,13.157894736842104,0.0
2016,57,16,2,75,76.0,21.333333333333336,2.666666666666667
2017,69,12,0,81,85.18518518518519,14.814814814814813,0.0
2018,71,11,0,82,86.58536585365853,13.414634146341465,0.0
2019,78,5,0,83,93.97590361445783,6.024096385542169,0.0
2020,59,14,1,74,79.72972972972973,18.91891891891892,1.3513513513513513
2021,74,4,2,80,92.5,5.0,2.5
2022,56,17,0,73,76.71232876712328,23.28767123287671,0.0
2023,48,11,1,60,80.0,18.333333333333332,1.6666666666666667
2024,59,23,0,82,71.95121951219512,28.04878048780488,0.0
2025,81,13,0,94,86.17021276595744,13.829787234042554,0.0
2026,54,4,0,58,93.10344827586206,6.896551724137931,0.0
