presentation_id,title,speaker,conference_year,series,public_path,meso_codes,needs_place,needs_time
PRES_3dfb43981f,«Ум и знание» - тибетский учебник по теории познания,Р. Н. Крапивина,2004,Zograf Readings,p/um-i-znanie-tibetskii-uchebnik-po-teorii-poznaniya.html,tibetology_himalaya,0,1
PRES_2a08c0cb86,Актуальные проблемы изучения «Бхагавадгиты»,Я. В. Васильков,2004,Zograf Readings,p/aktualnye-problemy-izucheniya-bkhagavadgity.html,bhakti_vaishnava,1,1
PRES_6e5928cac8,Богини и деревья желаний в индуизме Центральных Гималаев,С. И. Рыжакова,2004,Zograf Readings,p/bogini-i-derevya-zhelanii-v-induizme-tsentralnykh-gimalaev.html,himalaya,0,1
PRES_e793d570a3,Буддизм в творчестве Джаяшанкара Прасада,Г. В. Стрелкова,2004,Zograf Readings,p/buddizm-v-tvorchestve-dzhayashankara-prasada.html,modern_literature,1,1
PRES_ceb3b3ba00,Деви-гита из Девибхагавата-пураны,А. А. Игнатьев,2004,Zograf Readings,p/devi-gita-iz-devibkhagavata-purany.html,bhakti_vaishnava,1,1
PRES_a535b2a757,Замечания по формальной стороне Рикпратишакхьи,В. Видунас,2004,Zograf Readings,p/zamechaniya-po-formalnoi-storone-rikpratishakkhi.html,sanskrit_grammar_panini,1,1
PRES_6c8531953d,Концепция спхоты в «Спхотасиддхи» Манданамишры,Е. В. Слинько,2004,Zograf Readings,p/kontseptsiya-spkhoty-v-spkhotasiddkhi-mandanamishry.html,sanskrit_grammar_panini,1,1
PRES_c567f22f17,Лексика эпизода и его значение (на материале завершающих книг «Махабхараты»),С. Л. Невелева,2004,Zograf Readings,p/leksika-epizoda-i-ego-znachenie-na-materiale-zavershayushchikh-knig-makhabkharaty.html,epic_ramayana_mahabharata,1,1
PRES_5ec00edd5f,Литературные реминисценции в «Гаудавахо» Вакпатираджи,М. Н. Русанов,2004,Zograf Readings,p/literaturnye-reministsentsii-v-gaudavakho-vakpatiradzhi.html,,1,1
PRES_97ad954200,Лук (оружие),М. Н. Боголюбов,2004,Zograf Readings,p/luk-oruzhie.html,,1,1
PRES_440de90864,Миф об Агастье в средневековой литературе телугу,Н. В. Гуров,2004,Zograf Readings,p/mif-ob-agaste-v-srednevekovoi-literature-telugu.html,dravidology_south_india,0,1
PRES_8ee46835ab,Мокша в Бхагавата-пуране,Ю. Г. Кокова,2004,Zograf Readings,p/moksha-v-bkhagavata-purane.html,bhakti_vaishnava,1,1
PRES_98a6bea15e,О 58 синонимах «речи» в «Нигханту»,С. С. Тавастшерна,2004,Zograf Readings,p/o-58-sinonimakh-rechi-v-nigkhantu.html,etymology,1,1
