# Comparison snapshot `through-2025` — manifest

_Created: 06-08-2026 · Last updated: 11-08-2026_

Frozen by `community_lenses/snapshot.py` (h1899-snapshot-1.0.0); cutoff `2025-12-31`.
Creation metadata (the only field allowed to vary across identical rebuilds): `created_at = 2026-08-06T07:25:51Z`.

| Records included | Excluded (other period) | Excluded (undated) |
|---:|---:|---:|
| 27270 | 427 | 2 |

| File | Bytes | SHA-256 |
|---|---:|---|
| `DATA_DICTIONARY.md` | 2091 | `2255f532fa0ba49ac1d2df0bc53f98d79a5ce98806e992ec04f55cab4bc391c3` |
| `claims_ledger.csv` | 9239 | `50b16663da2b0c3e04bebdb7bc6c64f19ec7496e140935a909d76434423c32e9` |
| `codebooks/argument_level.csv` | 1905 | `65b1e70b33b75061b3427eb17c8398b0e4b3d21ade46b4b545fd23a48193c24a` |
| `codebooks/community_function.csv` | 4506 | `c83143167bbefff3f47a7ef6bde15ccc21e9dc920092ef8f1b7c6ed2ad5282b0` |
| `codebooks/intellectual_content.csv` | 3621 | `f9fbe2c96640f8f264b726a3f8dc014dc013e1aa547393869d77c1b74d86f6d3` |
| `codebooks/native_topic.csv` | 2073 | `697cd57a78400213e6fb93541fcfad3c55f06681520dab112363c49913b230c7` |
| `codebooks/renou_register.csv` | 4525 | `ab17c72fc22cf11dee360f90090ab2d5e94a7d51018b32617573f1f01e94bca2` |
| `codebooks/renou_state.csv` | 1516 | `46daafbffd9cebd3adb2a65ac54a467163475078b973722deb6445bdf1af3037` |
| `codebooks/shared_topic.csv` | 2921 | `8b98972b83b11ab4a1be5406ed1490eeb9162b96b30830a4a8823a42a7214cce` |
| `codebooks/taxonomy_crosswalk.csv` | 32735 | `620d036850a9497c193f94a6af89ed44183fcf92cd6745d3f9834390b11d718f` |
| `figures/captions.json` | 6085 | `a10a418c6c40f977781925c2ed6b9cb4fb0db8e93da68dd67266b7f27d4d9e0f` |
