snapshot_id,corpus_id,coverage_start,coverage_end,cutoff_date,coverage_status,source_version,acquired_at,source_sha256,pipeline_commit,schema_version,codebook_version,rights_basis
bvp:none,bvp,,,,unavailable,not_acquired,1970-01-01T00:00:00Z,0000000000000000000000000000000000000000000000000000000000000000,eca69d92b,1.0.0,1.0.0,"public Google Group (groups.google.com/g/bvparishat), server-rendered and publicly viewable without login or membership; individual posters retain authorship of their own messages"
conferences:2026-08-06,conferences,2004-01-01,2026-05-29,2026-08-06,complete,conferences.db@6a471b1a509a,2026-08-06T05:36:35Z,6a471b1a509a7e40065b3385ff2beadbf1f06351c63303d24c523b35d3cbd674,eca69d92b,1.0.0,1.0.0,publicly posted institutional conference programme
indology_l:none,indology_l,,,,unavailable,not_acquired,1970-01-01T00:00:00Z,0000000000000000000000000000000000000000000000000000000000000000,eca69d92b,1.0.0,1.0.0,"public Pipermail archive; this repo only fetches a small feed, full atlas lives in gasyoun/IndologyArchiveAtlas"
nagari:pilot:2026-07-17,nagari,2005-06-15,2026-07-10,2026-07-17,pilot,nagari.db@58d28397c15c (first 18729 mbox messages),2026-07-17T07:49:13Z,58d28397c15c1b8d44e242d4ec870a1dbb9fe77d5a90a40104dd0bef86f2e86e,eca69d92b,1.0.0,1.0.0,"closed Google Group; group-owner permission on file, not republished in full"
vk_ors:2026-07-24,vk_ors,2015-03-03,2026-07-24,2026-07-24,complete,vk_ors.db@80a0febe87c7,2026-07-24T15:47:24Z,80a0febe87c76aab59312338e272a0ca4166569635057a98d220c13275d5ca58,eca69d92b,1.0.0,1.0.0,"public VK wall, fetched via wall.get with no auth beyond a public token"
