metric_id,lens,native_unit,period,numerator_name,numerator,denominator_name,denominator,denominator_unit,value,missingness,coverage_status,source_snapshot,method,method_version,caveat
coverage.conferences,conferences,presentation,2004-01-01..2026-05-29,records_in_snapshot,1362,records_in_snapshot,1362,presentation,1.000000,undated_records=0,complete,conferences:2026-08-06,source_snapshot_manifest,h1899-metrics-1.0.0,complete for the source's own extent
coverage.nagari,nagari,message,2005-06-15..2026-07-10,records_in_snapshot,18727,records_in_snapshot,18727,message,1.000000,undated_records=0,pilot,nagari:pilot:2026-07-17,source_snapshot_manifest,h1899-metrics-1.0.0,pilot/partial coverage: no population share may be claimed
coverage.vk_ors,vk_ors,post,2015-03-03..2026-07-24,records_in_snapshot,7608,records_in_snapshot,7608,post,1.000000,undated_records=0,complete,vk_ors:2026-07-24,source_snapshot_manifest,h1899-metrics-1.0.0,complete for the source's own extent
coverage.indology_l,indology_l,message,no_coverage,records_in_snapshot,,records_in_snapshot,,message,,source_unavailable_on_this_machine,unavailable,indology_l:none,source_snapshot_manifest,h1899-metrics-1.0.0,"explicit evidence GAP — not a zero; no share, rate or trend may be computed for this lens"
coverage.bvp,bvp,message,no_coverage,records_in_snapshot,,records_in_snapshot,,message,,source_unavailable_on_this_machine,unavailable,bvp:none,source_snapshot_manifest,h1899-metrics-1.0.0,"explicit evidence GAP — not a zero; no share, rate or trend may be computed for this lens"
