year,total_speakers,newcomers,newcomer_pct
2004,29,29,100.0
2006,29,15,51.7
2007,29,11,37.9
2008,26,7,26.9
2009,31,7,22.6
2010,26,6,23.1
2011,34,7,20.6
2012,33,10,30.3
2013,36,8,22.2
2014,37,7,18.9
2015,46,9,19.6
2016,43,14,32.6
2017,43,10,23.3
2018,46,7,15.2
2019,53,10,18.9
2020,46,13,28.3
2021,49,5,10.2
2022,49,4,8.2
2023,43,5,11.6
2024,52,10,19.2
2025,56,8,14.3
2026,61,19,31.1
