person_id,display_name,session_betweenness,session_graph_degree,multi_person_sessions,total_participations,zograf,roerich,balance,series_attended
PERS_d98da899,Рыжакова Светлана Игоревна,0.06741,111,26,26,21,5,0.615,both
PERS_12125da9,Лысенко Виктория Георгиевна,0.061222,110,25,25,19,6,0.52,both
PERS_c52dfaa0,Цветкова Светлана Олеговна,0.052422,101,27,27,15,12,0.111,both
PERS_829c1de5,Васильков Ярослав Владимирович,0.052205,100,20,20,19,1,0.9,both
PERS_40862f5e,Корнеева Наталья Афанасьевна,0.052177,100,29,29,15,14,0.034,both
PERS_11da326d,Тавастшерна Сергей Сергеевич,0.045943,107,29,29,17,12,0.172,both
PERS_da862dde,Ю. И. Дробышев,0.045625,42,15,15,0,15,-1.0,roerich_only
PERS_e1dd6b3e,Лидова Наталья Ростиславовна,0.036457,74,16,16,8,8,0.0,both
PERS_f074f69f,Александрова Наталия Владимировна,0.034317,90,27,27,12,15,-0.111,both
PERS_9a855a7b,Альбедиль Маргарита Федоровна,0.02659,89,19,19,19,0,1.0,zograf_only
PERS_1fa7cc0c,Дубянский Александр Михайлович,0.026352,79,21,21,10,11,-0.048,both
PERS_3357f25b,Скороходова Татьяна Григорьевна,0.025918,84,18,18,18,0,1.0,zograf_only
PERS_fb25c80f,Ермакова Татьяна Викторовна,0.025444,81,15,15,15,0,1.0,zograf_only
PERS_f2fef030,Мехакян Арег Гайкович,0.024756,69,20,20,5,15,-0.5,both
PERS_91b473b1,Челнокова Анна Витальевна,0.024415,64,10,10,10,0,1.0,zograf_only
PERS_a84aedaa,Шомахмадов Сафарали Хайбуллоевич,0.023139,58,8,8,8,0,1.0,zograf_only
PERS_003adcfe,Псху Рузана Владимировна,0.022748,85,18,19,19,0,1.0,zograf_only
PERS_c48611e0,Островская Елена Петровна,0.020354,87,16,16,16,0,1.0,zograf_only
PERS_e9545a0b,А. М. Шустова,0.019665,41,14,15,0,15,-1.0,roerich_only
PERS_1a097e52,Парибок Андрей Всеволодович,0.018945,83,17,17,17,0,1.0,zograf_only
PERS_72506535,Крылова Анастасия Сергеевна,0.017849,52,11,11,8,3,0.455,both
PERS_3e105f43,Игнатьев Андрей Александрович,0.017442,70,18,18,18,0,1.0,zograf_only
PERS_e31ca12d,Вечерина Ольга Павловна,0.015703,68,15,15,8,7,0.067,both
PERS_a0264ac5,Бурмистров Сергей Леонидович,0.014692,67,10,10,10,0,1.0,zograf_only
PERS_bc97fb65,Краснодембская Нина Георгиевна,0.014196,75,14,14,14,0,1.0,zograf_only
PERS_f19cd8a1,Котин Игорь Юрьевич,0.014037,58,11,11,11,0,1.0,zograf_only
PERS_9ad66151,Д. Н. Лелюхин,0.013535,72,11,11,6,5,0.091,both
PERS_8516d1e4,Гасунс Марцис Юрьевич,0.013518,44,8,8,6,2,0.5,both
PERS_6578b52d,Е. В. Тюлина,0.013314,41,16,16,0,16,-1.0,roerich_only
PERS_260a598a,Пахомов Сергей Владимирович,0.013112,74,15,15,15,0,1.0,zograf_only
PERS_efc88709,Канаева Наталия Алексеевна,0.01277,56,6,6,3,3,0.0,both
PERS_dd7de77e,Е. К. Бросалина,0.012708,65,11,11,11,0,1.0,zograf_only
PERS_56508328,Десницкая Евгения Алексеевна,0.012577,67,16,16,16,0,1.0,zograf_only
PERS_c58aa839,В. Видунас,0.012296,66,15,15,15,0,1.0,zograf_only
PERS_41d6aa73,Воробьева Дарья Николаевна,0.012193,53,14,14,5,9,-0.286,both
PERS_92868e4f,Д. И. Жутаев,0.011709,54,15,15,3,12,-0.6,both
PERS_36dabb79,А. Г. Гурия,0.011641,40,10,10,1,9,-0.8,both
PERS_f8ab5755,Оранская Татьяна Иосифовна,0.011492,50,7,7,7,0,1.0,zograf_only
PERS_61202bf3,Ю. М. Алиханова,0.011317,54,15,15,7,8,-0.067,both
