person_id,display_name,total,zograf,roerich,first_year,reason
PERS_0ca995ac,В.М. Яковлев,8,0,8,2008,needed_for_age_debut_or_high_activity
PERS_c58aa839,В. Видунас,15,15,0,2004,needed_for_age_debut_or_high_activity
