theme_l1,vasilkov_count,vasilkov_pct,albedil_count,albedil_pct
art_archaeology,41,5.4,5,4.4
ethnography,42,5.5,7,6.1
history,81,10.6,13,11.4
linguistics,76,9.9,11,9.6
literature,172,22.5,23,20.2
other,6,0.8,2,1.8
pedagogy_applied,1,0.1,1,0.9
philosophy,162,21.2,27,23.7
religion,180,23.6,25,21.9
tibetology,3,0.4,0,0.0
