year,like_rate_pct,repost_rate_pct,comment_rate_pct
2017,2.02,0.404,0.255
2018,2.42,0.391,0.358
2019,2.79,0.435,0.499
2020,3.22,0.54,0.341
2021,2.29,0.634,0.211
2022,3.34,0.823,0.32
2023,4.52,0.806,0.211
2024,2.44,0.593,0.15
2025,2.2,0.444,0.144
2026,2.02,0.621,0.109
