post_id,type,url,width,height,position,post_url,date,year,excerpt,likes,reposts,comments,views,tags,engagement_tier,is_outlier
25767,video,https://iv.okcdn.ru/getVideoPreview?id=18020258089498&idx=0&type=39&tkn=y6WdTQqxnG5uf6jikP3uzeUMxpI&fn=vid_u,720,1280,0,https://vk.com/wall-88831040_25767,2026-07-22,2026,,8,1,0,69,,low,0
25754,photo,"https://sun9-34.userapi.com/s/v1/ig2/Q6zeDx-sJ1m6jZoPSiO6wAa7jipVHOVhFkXXcpYY86E38DTXFfdjpZjEdFUe6XdOX_OaUfCoLPzvw1pdwoePeKnG.jpg?quality=95&crop=0,0,1549,2324&as=32x48,48x72,72x108,108x162,160x240,240x360,360x540,480x720,540x810,640x960,720x1080,1080x1620,1280x1920,1440x2160,1549x2324&from=bu&cs=1549x0",1549,2324,0,https://vk.com/wall-88831040_25754,2026-07-22,2026,"🇮🇳📖 Кальянова, Т.П. Ориентализм и Британская Индия: литература, идеология, политика : Учебное пособие / Т.П. Кальянова; М-во образования и науки РФ, Федер. гос.",28,14,1,946,bookzealots,high,0
25754,photo,"https://sun9-69.userapi.com/s/v1/ig2/o6q7O8ddvzqHNwpFwQcUABOYD-VImxDAs1j9itryqrlvgCHbRapEOHeq_2xTpZ1Ua49EpF14P60NBmhjENYw573W.jpg?quality=95&crop=0,62,1549,2324&as=32x48,48x72,72x108,108x162,160x240,240x360,360x540,480x720,540x810,640x960,720x1080,1080x1620,1280x1920,1440x2160,1549x2324&from=bu&cs=1549x0",1549,2324,1,https://vk.com/wall-88831040_25754,2026-07-22,2026,"🇮🇳📖 Кальянова, Т.П. Ориентализм и Британская Индия: литература, идеология, политика : Учебное пособие / Т.П. Кальянова; М-во образования и науки РФ, Федер. гос.",28,14,1,946,bookzealots,high,0
25754,photo,"https://sun9-50.userapi.com/s/v1/ig2/1TNTMbvs4UYqohYDBjJkGlaygTExuPcIJ9jjGKqf2IJTPLfljF_CTl_I9uKPjyGRA0pPdCI34szsG3eCSAqsnRl_.jpg?quality=95&as=32x53,48x79,72x119,108x178,160x264,240x397,360x595,480x793,540x892,640x1058,720x1190,1080x1785,1280x2115,1440x2380,1549x2560&from=bu&cs=1549x0",1549,2560,2,https://vk.com/wall-88831040_25754,2026-07-22,2026,"🇮🇳📖 Кальянова, Т.П. Ориентализм и Британская Индия: литература, идеология, политика : Учебное пособие / Т.П. Кальянова; М-во образования и науки РФ, Федер. гос.",28,14,1,946,bookzealots,high,0
25754,doc,https://vk.com/doc5892382_703210490?hash=FNJuCumdQkERX7hpnVtRzRSutJLJJrIq8EHZRFrMYO4&api=1&no_preview=1,,,3,https://vk.com/wall-88831040_25754,2026-07-22,2026,"🇮🇳📖 Кальянова, Т.П. Ориентализм и Британская Индия: литература, идеология, политика : Учебное пособие / Т.П. Кальянова; М-во образования и науки РФ, Федер. гос.",28,14,1,946,bookzealots,high,0
25748,photo,"https://sun9-54.userapi.com/s/v1/ig2/Tkb5HWYPo8K_pLpyG1k07LoS9ksI9RlyphNeau5nFmsm9Vr5KYozQEquR3aTMIEtyel8r__UNUONyt0orbWn_H8x.jpg?quality=95&crop=6,0,1665,937&as=32x18,48x27,72x41,108x61,160x90,240x135,360x203,480x270,540x304,640x360,720x405,1080x608,1280x720,1440x810,1665x937&from=bu&cs=1665x0",1665,937,0,https://vk.com/wall-88831040_25748,2026-07-22,2026,"А вы сможете понять язык, которого никогда не учили? 🔎
Попробуем решить маленькую лингвистическую задачу.

Перед вами несколько слов на неизвестном языке:
mako ",6,0,0,275,,low,0
25746,video,https://iv.okcdn.ru/getVideoPreview?id=17113534368378&idx=0&type=39&tkn=CStRnYe_snccgqrKaBL4Hf6KUO0&fn=vid_w,1280,720,0,https://vk.com/wall-88831040_25746,2026-07-21,2026,"«Я ведь знаю хинди… Почему тогда не понимаю, что говорят?»

Самый обидный момент в изучении хинди — это когда вы знаете язык… но не понимаете, что вам говорят.
",4,0,0,254,,low,0
25741,photo,"https://sun9-34.userapi.com/s/v1/ig2/3WAVSbkwZ4KZ1mhAeakvzab469qwMbRprk8K057V6f_Y4VJe4Fbqv9O4M3hGVvZPObQkhVCbEu4yVDIfpooex5de.jpg?quality=95&crop=0,0,1560,2340&as=32x48,48x72,72x108,108x162,160x240,240x360,360x540,480x720,540x810,640x960,720x1080,1080x1620,1280x1920,1440x2160,1560x2340&from=bu&cs=1560x0",1560,2340,0,https://vk.com/wall-88831040_25741,2026-07-20,2026,"🇮🇳📖 Emeneau,Murray Barnson Toda songs / By M. B. Emeneau. - Oxford : Clarendon press, 1971. - XLVII, 1004 p. : 3 l. ill., portr. - Указатели с 832-1004.

Песни ",24,10,1,802,bookzealots,mid_high,0
25741,photo,"https://sun9-17.userapi.com/s/v1/ig2/sBQy4QaT-fgKeHDjxOjj6nyX-dGNlNteg60njY990yRUaQWbiUfw9zyb_RP4AS3uzbnh1_rucXVqZC42CwT-P_eU.jpg?quality=95&crop=0,0,1580,2370&as=32x48,48x72,72x108,108x162,160x240,240x360,360x540,480x720,540x810,640x960,720x1080,1080x1620,1280x1920,1440x2160,1580x2370&from=bu&cs=1580x0",1580,2370,1,https://vk.com/wall-88831040_25741,2026-07-20,2026,"🇮🇳📖 Emeneau,Murray Barnson Toda songs / By M. B. Emeneau. - Oxford : Clarendon press, 1971. - XLVII, 1004 p. : 3 l. ill., portr. - Указатели с 832-1004.

Песни ",24,10,1,802,bookzealots,mid_high,0
25741,photo,"https://sun9-77.userapi.com/s/v1/ig2/03FvkaX4eEizzvqRl7vzSir8jzU_GJyF67ad65XHGfUvoDqpSMjMSyUsuayoEIoo70Ir3oguJ5MnnVCO1aYnc6Ih.jpg?quality=95&as=32x52,48x78,72x117,108x175,160x259,240x389,360x583,480x778,540x875,640x1037,720x1167,1080x1750,1280x2074,1440x2333,1580x2560&from=bu&cs=1580x0",1580,2560,2,https://vk.com/wall-88831040_25741,2026-07-20,2026,"🇮🇳📖 Emeneau,Murray Barnson Toda songs / By M. B. Emeneau. - Oxford : Clarendon press, 1971. - XLVII, 1004 p. : 3 l. ill., portr. - Указатели с 832-1004.

Песни ",24,10,1,802,bookzealots,mid_high,0
