post_id,year,tier,is_outlier,score,percentile
789,2015,mid_low,0,1.0,0.2646
874,2015,mid_low,0,1.0,0.2663
879,2015,mid_low,0,1.0,0.268
3,2015,mid_low,0,2.0,0.2698
6,2015,mid_low,0,2.0,0.2715
16,2015,mid_low,0,2.0,0.2732
25,2015,mid_low,0,2.0,0.2749
45,2015,mid_low,0,2.0,0.2766
55,2015,mid_low,0,2.0,0.2784
77,2015,mid_low,0,2.0,0.2801
120,2015,mid_low,0,2.0,0.2818
166,2015,mid_low,0,2.0,0.2835
169,2015,mid_low,0,2.0,0.2852
231,2015,mid_low,0,2.0,0.2869
233,2015,mid_low,0,2.0,0.2887
242,2015,mid_low,0,2.0,0.2904
335,2015,mid_low,0,2.0,0.2921
344,2015,mid_low,0,2.0,0.2938
349,2015,mid_low,0,2.0,0.2955
350,2015,mid_low,0,2.0,0.2973
360,2015,mid_low,0,2.0,0.299
405,2015,mid_low,0,2.0,0.3007
459,2015,mid_low,0,2.0,0.3024
523,2015,mid_low,0,2.0,0.3041
557,2015,mid_low,0,2.0,0.3058
573,2015,mid_low,0,2.0,0.3076
574,2015,mid_low,0,2.0,0.3093
595,2015,mid_low,0,2.0,0.311
625,2015,mid_low,0,2.0,0.3127
626,2015,mid_low,0,2.0,0.3144
630,2015,mid_low,0,2.0,0.3162
667,2015,mid_low,0,2.0,0.3179
682,2015,mid_low,0,2.0,0.3196
706,2015,mid_low,0,2.0,0.3213
708,2015,mid_low,0,2.0,0.323
715,2015,mid_low,0,2.0,0.3247
735,2015,mid_low,0,2.0,0.3265
751,2015,mid_low,0,2.0,0.3282
756,2015,mid_low,0,2.0,0.3299
764,2015,mid_low,0,2.0,0.3316
765,2015,mid_low,0,2.0,0.3333
790,2015,mid_low,0,2.0,0.3351
792,2015,mid_low,0,2.0,0.3368
810,2015,mid_low,0,2.0,0.3385
815,2015,mid_low,0,2.0,0.3402
822,2015,mid_low,0,2.0,0.3419
824,2015,mid_low,0,2.0,0.3436
848,2015,mid_low,0,2.0,0.3454
870,2015,mid_low,0,2.0,0.3471
876,2015,mid_low,0,2.0,0.3488
882,2015,mid_low,0,2.0,0.3505
47,2015,mid_low,0,3.0,0.3522
80,2015,mid_low,0,3.0,0.354
131,2015,mid_low,0,3.0,0.3557
144,2015,mid_low,0,3.0,0.3574
172,2015,mid_low,0,3.0,0.3591
173,2015,mid_low,0,3.0,0.3608
181,2015,mid_low,0,3.0,0.3625
226,2015,mid_low,0,3.0,0.3643
232,2015,mid_low,0,3.0,0.366
279,2015,mid_low,0,3.0,0.3677
324,2015,mid_low,0,3.0,0.3694
334,2015,mid_low,0,3.0,0.3711
368,2015,mid_low,0,3.0,0.3729
370,2015,mid_low,0,3.0,0.3746
539,2015,mid_low,0,3.0,0.3763
545,2015,mid_low,0,3.0,0.378
571,2015,mid_low,0,3.0,0.3797
615,2015,mid_low,0,3.0,0.3814
621,2015,mid_low,0,3.0,0.3832
650,2015,mid_low,0,3.0,0.3849
672,2015,mid_low,0,3.0,0.3866
676,2015,mid_low,0,3.0,0.3883
709,2015,mid_low,0,3.0,0.39
717,2015,mid_low,0,3.0,0.3918
721,2015,mid_low,0,3.0,0.3935
747,2015,mid_low,0,3.0,0.3952
778,2015,mid_low,0,3.0,0.3969
788,2015,mid_low,0,3.0,0.3986
796,2015,mid_low,0,3.0,0.4003
799,2015,mid_low,0,3.0,0.4021
802,2015,mid_low,0,3.0,0.4038
819,2015,mid_low,0,3.0,0.4055
827,2015,mid_low,0,3.0,0.4072
881,2015,mid_low,0,3.0,0.4089
5,2015,mid_low,0,4.0,0.4107
59,2015,mid_low,0,4.0,0.4124
178,2015,mid_low,0,4.0,0.4141
179,2015,mid_low,0,4.0,0.4158
200,2015,mid_low,0,4.0,0.4175
416,2015,mid_low,0,4.0,0.4192
454,2015,mid_low,0,4.0,0.421
642,2015,mid_low,0,4.0,0.4227
716,2015,mid_low,0,4.0,0.4244
744,2015,mid_low,0,4.0,0.4261
780,2015,mid_low,0,4.0,0.4278
813,2015,mid_low,0,4.0,0.4296
830,2015,mid_low,0,4.0,0.4313
134,2015,mid_low,0,5.0,0.433
151,2015,mid_low,0,5.0,0.4347
177,2015,mid_low,0,5.0,0.4364
218,2015,mid_low,0,5.0,0.4381
219,2015,mid_low,0,5.0,0.4399
251,2015,mid_low,0,5.0,0.4416
338,2015,mid_low,0,5.0,0.4433
436,2015,mid_low,0,5.0,0.445
510,2015,mid_low,0,5.0,0.4467
520,2015,mid_low,0,5.0,0.4485
670,2015,mid_low,0,5.0,0.4502
689,2015,mid_low,0,5.0,0.4519
714,2015,mid_low,0,5.0,0.4536
771,2015,mid_low,0,5.0,0.4553
817,2015,mid_low,0,5.0,0.457
856,2015,mid_low,0,5.0,0.4588
8,2015,mid_low,0,6.0,0.4605
11,2015,mid_low,0,6.0,0.4622
57,2015,mid_low,0,6.0,0.4639
63,2015,mid_low,0,6.0,0.4656
97,2015,mid_low,0,6.0,0.4674
189,2015,mid_low,0,6.0,0.4691
264,2015,mid_low,0,6.0,0.4708
299,2015,mid_low,0,6.0,0.4725
308,2015,mid_low,0,6.0,0.4742
351,2015,mid_low,0,6.0,0.4759
404,2015,mid_low,0,6.0,0.4777
466,2015,mid_low,0,6.0,0.4794
538,2015,mid_low,0,6.0,0.4811
624,2015,mid_low,0,6.0,0.4828
659,2015,mid_low,0,6.0,0.4845
661,2015,mid_low,0,6.0,0.4863
712,2015,mid_low,0,6.0,0.488
754,2015,mid_low,0,6.0,0.4897
769,2015,mid_low,0,6.0,0.4914
775,2015,mid_low,0,6.0,0.4931
823,2015,mid_low,0,6.0,0.4948
868,2015,mid_low,0,6.0,0.4966
42,2015,mid_low,0,7.0,0.4983
78,2015,mid_low,0,7.0,0.5
85,2015,mid_high,0,7.0,0.5017
116,2015,mid_high,0,7.0,0.5034
165,2015,mid_high,0,7.0,0.5052
193,2015,mid_high,0,7.0,0.5069
266,2015,mid_high,0,7.0,0.5086
358,2015,mid_high,0,7.0,0.5103
472,2015,mid_high,0,7.0,0.512
478,2015,mid_high,0,7.0,0.5137
511,2015,mid_high,0,7.0,0.5155
516,2015,mid_high,0,7.0,0.5172
528,2015,mid_high,0,7.0,0.5189
588,2015,mid_high,0,7.0,0.5206
614,2015,mid_high,0,7.0,0.5223
