term,count
санскрита,1025
индии,823
санскрит,817
язык,752
история,636
москва,588
рубрика,531
предметная,530
языка,521
только,461
литературы,436
время,433
индия,419
издания,395
года,385
мира,360
санскрите,351
место,340
языки,327
всего,324
перевод,319
курс,316
языков,316
вишну,316
того,313
языке,308
даже,308
литература,305
словарь,304
этом,301
индийской,290
наук,285
жизни,280
времени,271
русский,270
человек,269
слов,268
деванагари,267
ревнителей,267
лишь,263
году,260
истории,259
является,259
книги,257
общества,254
богов,252
наука,252
один,248
издательство,247
этой,241
книга,240
некоторые,228
литературоведение,228
часть,223
онлайн,222
именно,219
день,215
древней,215
например,214
других,212
индийское,211
философии,208
текстов,207
хинди,205
основной,202
через,201
знание,201
поэтому,199
источник,198
человека,196
библиогр,196
философия,195
дата,192
период,191
него,190
панини,190
тематика,190
занятия,187
востоковедения,187
санкт,187
курса,186
вместе,185
языкознание,184
ссср,184
сегодня,181
культуры,180
фото,180
хотя,178
ригведа,178
текст,177
жизнь,175
значение,174
санскриту,171
следует,170
петербург,169
образом,167
искусство,167
наиболее,165
имени,163
ригведы,163
москве,163
двух,162
первый,162
махабхарата,162
боги,161
санскритских,161
чтения,161
одной,160
востока,159
автор,156
традиции,156
фонд,155
однако,154
грамматика,154
азии,153
текста,152
людей,152
тогда,151
религии,151
исследования,150
имен,149
себе,147
индра,147
индийские,146
согласно,146
бога,146
санскритской,146
несколько,146
мифология,146
другой,144
пусть,144
йога,143
связи,143
занятие,143
русского,142
занятий,142
записи,142
знания,140
прежде,138
тексты,137
части,137
меня,137
топоров,137
кроме,135
агни,135
индийская,135
которого,134
впервые,133
древнеиндийской,133
начало,132
мифологии,132
индуизм,132
имеет,131
говорит,131
собой,131
беседа,131
русском,130
разных,130
часто,129
которой,129
должен,129
книг,128
народов,128
своего,127
англ,126
много,126
потому,126
вопросы,125
всегда,125
которое,125
речи,124
веды,123
другие,122
небо,121
грамматики,121
четыре,121
сентября,121
гимн,121
россии,120
больше,120
гасунса,120
корней,120
обычно,119
санскритского,119
указ,119
языках,118
корня,118
работы,118
виде,117
университета,117
индолог,117
махабхараты,116
конце,116
возможно,116
английский,116
люди,115
солнце,115
одного,115
гасунс,114
культура,114
филологических,113
царь,113
древнеиндийского,112
особенно,112
котором,111
иногда,111
вселенной,111
институт,111
друг,110
языкознания,110
древних,109
тело,109
института,109
таким,109
одно,108
древний,108
мире,108
индийских,107
огонь,107
восточной,107
ману,106
издание,106
области,106
поскольку,106
могут,105
восточная,105
пишите,103
словаря,103
риши,103
вопрос,103
октября,103
этим,102
солнца,102
индийского,102
стороны,101
земля,101
рода,100
субхашит,100
тебя,100
значения,99
дело,99
мысли,99
шивы,99
теперь,98
затем,98
ригведе,97
стал,97
второй,97
кочергиной,96
трех,96
качестве,96
литературе,96
благодаря,96
будут,96
июня,95
брахман,95
букв,95
науки,94
рождения,94
начала,93
брахмана,93
сравнительно,92
чего,92
корень,92
название,92
учителя,91
пройдет,91
гимнов,90
ведийской,90
песнь,90
поэзия,90
общество,90
буддизм,90
форма,89
основе,89
санскритский,89
проблемы,88
почему,88
становится,88
описание,88
андрей,88
марта,87
ведийского,87
группы,87
глава,87
часа,86
свой,86
статьи,86
санскритская,86
божество,86
каждый,85
какой,85
кого,85
изучения,85
случае,84
шива,84
имена,83
богам,83
получить,83
частности,83
