id,url,date,year,excerpt,likes,views
14290,https://vk.com/wall-88831040_14290,2022-05-22T14:08:32,2022,"🔥 Первый полный русский перевод ""Книги тысячи и одной ночи"" 🔥

Книга тысячи и одной ночи. 1: Ночи 1-38; Москва; Ленинград; Academia; 1929; Художественная литература; Арабская литература; Фольклор; Ска",371,16723
16758,https://vk.com/wall-88831040_16758,2022-11-26T12:00:00,2022,"📕ТРИ ВЕЛИКИХ СКАЗАНИЯ📕

Эта книга — популярное изложение трех великих индийских эпических циклов по текстам «Рамаяны», «Махабхараты» и «Бхагавата-пураны». 

О скитаниях и подвигах Рамы, о битве его со",324,3212
13093,https://vk.com/wall-88831040_13093,2022-01-18T06:36:27,2022,"👨‍💼ОБ УЧИТЕЛЕ В. А. КОЧЕРГИНОЙ - МИХАИЛЕ НИКОЛАЕВИЧЕ ПЕТЕРСОНЕ...

Скоро, 24 января - дата ухода уважаемого лингвиста и санскритолога, автора словаря и учебника по санскриту В. А. Кочергиной.

Мы подг",219,1754
19621,https://vk.com/wall-88831040_19621,2023-08-16T17:36:18,2023,"Снесарев,А.Е. Этнографическая Индия. - Москва : Наука, 1981. - 275 с., табл., портр. - В надзаг.: АН СССР. Ин-т востоковедения. Указ. в конце книги. 
 
История Индии • Культура / Религии мира • Этноло",193,4297
20547,https://vk.com/wall-88831040_20547,2023-11-25T16:00:00,2023,"📖 Артхашастра или Наука политики: Перевод с санскрита. 1993 📖

﻿ 
Артхашастра, или «Наука политики» («Наука о государственном устройстве») - замечательный политико-экономический трактат Древней Индии.",178,2072
12689,https://vk.com/wall-88831040_12689,2021-12-11T12:31:19,2021,Edgerton Franklin; Buddhist hybrid sanskrit grammar and dictionary. Vol. 1: Grammar; London; New Haven; Oxford University press; Yale university press; 1953; Языкознание; Грамматика; Санскрит язык; Сл,176,1272
19620,https://vk.com/wall-88831040_19620,2023-08-16T17:00:00,2023,"📖 Бхагавадгита в традиции и в современной научной критике. Семенцов В.С. 1985. 📖

Исследование содержит обзор существующих: точек зрения на происхождение, формирование и смысл одного из важнейших памя",163,2186
12880,https://vk.com/wall-88831040_12880,2021-12-28T14:59:18,2021,Monier-Williams Monier; A dictionary English and Sanscrit; Англо-санскритский словарь; Delhi /a.o./; Motilal Banarsidass; 1964; Языкознание; Словари двуязычные; Англо-санскрит,161,1669
20372,https://vk.com/wall-88831040_20372,2023-10-29T16:00:00,2023,"📖 Музыкальная культура Индии. Гороховик Е.М. 2005 📖

В монографии рассматриваются культурологические аспекты мукальной культуры Индии в совокупности ее базовых, системообразующих принципов: философии ",161,2054
19536,https://vk.com/wall-88831040_19536,2023-08-09T10:00:00,2023,"📖 Боги, брахманы, люди. Четыре тысячи лет индуизма: Перевод с чешского. 1969. 📖

Книга чешских индологов рассказывает о возникновении и развитии одной из самых древних религий на земле — индуизма, его",159,4716
18784,https://vk.com/wall-88831040_18784,2023-06-14T06:58:53,2023,"Огибенин,Б.Л. Структура мифологических текстов Ригведы: (Ведийская космогония). - Москва : Наука, 1968. - 112 с. - (АН СССР. Институт народов Азии). - Рез. на англ. яз.- Парал. тит. л. на англ. яз. 
 ",155,2659
18086,https://vk.com/wall-88831040_18086,2023-04-09T20:03:47,2023,"Кочергина, В.А. Начальный курс санскрита: Учебник для государственных университетов. - Москва : Издательство Академии наук СССР, 1956. - 195 c.",148,3131
18814,https://vk.com/wall-88831040_18814,2023-06-17T17:20:35,2023,"Бхагавадгита / Пер. с санскрита, исслед. и примеч. В.С.Семенцова. - 2. изд., испр. и доп. - Москва : Восточная литература, 1999. - 254 с. - Библиогр. с. 238-242. - ISBN 5-02-017506-4. 
 
Бхагавадгита;",147,4945
19283,https://vk.com/wall-88831040_19283,2023-07-26T10:00:00,2023,"📖 Панчатантра. Пер. с санскрита и примеч. А. Я. Сыркина. 1958 📖

Созданная свыше полутора тысяч лет назад, «Панчатантра» является 
выдающимся памятником не только индийской, но и мировой литературы. 
",142,3442
16460,https://vk.com/wall-88831040_16460,2022-11-05T12:00:00,2022,Подборка индийских книг (1/3),141,3121
20611,https://vk.com/wall-88831040_20611,2023-12-02T15:08:00,2023,"📖 Buddhistische Stotras aus ostturkischen Sanskrit exten. Schlingloff Dieter. 1955 📖

Schlingloff; Dieter; Buddhistische Stotras aus ostturkischen Sanskrit exten; Издание текстов древних буддийских ги",135,971
12977,https://vk.com/wall-88831040_12977,2022-01-05T13:38:03,2022,Böhtlingk Otto; Sanscrit-Chrestomathie; Petersburg; 1877; Литературоведение; Индийское литературоведение; История литературы; Древний период; Поэзия; Книги для чтения; Санскрит язык; Средняя школа,132,889
20453,https://vk.com/wall-88831040_20453,2023-11-11T16:08:00,2023,"📖 Атхарваведа (Шаунака): Перевод с ведийского языка, вступительная статья, комментарий и приложения Т.Я. Елизаренковой: В 3 томах. 
Т.3: Кн. 13-19: Перевод с ведийского языка, комментарий и приложения",127,2964
20837,https://vk.com/wall-88831040_20837,2024-01-04T15:05:00,2024,"📖 Похождения десяти юношей. Дандин. 1928 📖

Дандин; Похождения десяти юношей: (Древне-индийский роман); Место издания; Харьков; Дата издания; 1928; Язык; Русский; Тематика; Художественная литература; ",127,1303
17594,https://vk.com/wall-88831040_17594,2023-02-23T07:00:01,2023,"🕉 Кришна возвещает тайну своего рождения 🕉

Кришна Арджуне:  

«Уже много раз рождались я и ты; 
Известны мне мои существованья,
Но для тебя твои покрыты мраком. 
Хотя по существу и не подвержен 
Ни с",126,3664
12833,https://vk.com/wall-88831040_12833,2021-12-24T21:33:33,2021,"Пашпаша целиком выходила в переводе Захарьина.

Впервые будет опубликован фрагмент рукописи Щербатского.

Здесь же два издания для сверки русского текста:

http://laghusiddhanta.vedicsociety.org/4-1-7",124,855
20661,https://vk.com/wall-88831040_20661,2023-12-13T15:00:01,2023,"📖Ein buddhistisches Yogalehrbuch. [1]: Textband. Schlingloff Dieter. 1964 📖

Schlingloff; Dieter; Ein buddhistisches Yogalehrbuch. [1]: Textband; Религиозно-философский трактат; посвященный теории и п",124,998
12785,https://vk.com/wall-88831040_12785,2021-12-22T12:37:37,2021,Stchoupak Nadine; Chrestomathie sanskrite; Paris; Maisonneuve; 1948; Языкознание; Книги для чтения; Санскрит язык; Средняя школа,123,855
14603,https://vk.com/wall-88831040_14603,2022-06-22T05:07:53,2022,"📔 О сходстве санскритскаго языка с русскимъ. Аделунг Ф., 1811 г.

Санскритъ - языкъ украшенный, образованный, обработанный: (polished). Изыскатели языковъ въ Индіи обыкновенно употребляютъ сіе слово, ",122,5079
