person_id,total_talks,serialized_talks,serialization_pct,is_core_speaker
PERS_11da326d,29,0,0.0,yes
PERS_40862f5e,29,1,3.4,yes
PERS_f074f69f,27,0,0.0,yes
PERS_c52dfaa0,27,1,3.7,yes
PERS_d98da899,26,0,0.0,yes
PERS_12125da9,25,0,0.0,yes
PERS_1fa7cc0c,21,1,4.8,yes
PERS_f2fef030,20,0,0.0,yes
PERS_829c1de5,20,0,0.0,yes
PERS_9a855a7b,19,1,5.3,yes
PERS_003adcfe,19,2,10.5,yes
PERS_3357f25b,18,0,0.0,yes
PERS_3e105f43,18,0,0.0,yes
PERS_1a097e52,17,0,0.0,yes
PERS_5228da95,17,0,0.0,yes
PERS_9374fd12,16,0,0.0,yes
PERS_c48611e0,16,0,0.0,yes
PERS_56508328,16,0,0.0,yes
PERS_6578b52d,16,0,0.0,yes
PERS_e1dd6b3e,16,1,6.2,yes
PERS_fb25c80f,15,0,0.0,yes
PERS_da862dde,15,0,0.0,yes
PERS_e31ca12d,15,0,0.0,yes
PERS_61202bf3,15,1,6.7,yes
PERS_c58aa839,15,4,26.7,yes
PERS_92868e4f,15,2,13.3,yes
PERS_e9545a0b,15,0,0.0,yes
PERS_260a598a,15,0,0.0,yes
PERS_2fd442aa,14,1,7.1,yes
PERS_bc97fb65,14,0,0.0,yes
PERS_41d6aa73,14,0,0.0,yes
PERS_e72d4c09,13,0,0.0,yes
PERS_8e117242,12,0,0.0,yes
PERS_b8bade8d,12,0,0.0,yes
PERS_c5677a3f,12,0,0.0,yes
PERS_05d56645,12,0,0.0,yes
PERS_dd7de77e,11,0,0.0,yes
PERS_72506535,11,0,0.0,yes
PERS_9ad66151,11,0,0.0,yes
PERS_f19cd8a1,11,0,0.0,yes
PERS_36dabb79,10,1,10.0,yes
PERS_5ed752d9,10,1,10.0,yes
PERS_287fe378,10,0,0.0,yes
PERS_0c451d76,10,0,0.0,yes
PERS_93e2effb,10,0,0.0,yes
PERS_a0264ac5,10,1,10.0,yes
PERS_23215083,10,0,0.0,yes
PERS_7542d270,10,0,0.0,yes
PERS_91b473b1,10,0,0.0,yes
PERS_3b196639,10,0,0.0,yes
PERS_ebb6d156,9,0,0.0,yes
PERS_5d34c947,9,0,0.0,yes
PERS_ea44fd14,9,1,11.1,yes
PERS_50d73711,9,0,0.0,yes
PERS_8df3730a,8,0,0.0,yes
PERS_0ca995ac,8,0,0.0,yes
PERS_8516d1e4,8,0,0.0,yes
PERS_6441d568,8,0,0.0,yes
PERS_d2559ba1,8,0,0.0,yes
PERS_ba81468a,8,0,0.0,yes
PERS_9f398436,8,1,12.5,yes
PERS_a84aedaa,8,1,12.5,yes
PERS_58b39545,8,0,0.0,yes
PERS_7eb0dc30,8,0,0.0,yes
PERS_3c202afd,7,0,0.0,yes
PERS_0e0a154e,7,1,14.3,yes
PERS_22d87263,7,0,0.0,yes
PERS_f8ab5755,7,1,14.3,yes
PERS_db046be0,7,0,0.0,yes
PERS_f5b8b340,7,2,28.6,yes
PERS_92f293f8,7,0,0.0,yes
PERS_1c6fcce5,7,0,0.0,yes
PERS_5e2a5a5c,7,0,0.0,yes
PERS_cfb92c5f,7,0,0.0,yes
PERS_efc88709,6,0,0.0,yes
PERS_7f908d49,6,0,0.0,yes
PERS_0fd718a7,6,0,0.0,yes
PERS_3c7d41ac,6,0,0.0,yes
PERS_6e211759,6,0,0.0,yes
PERS_088c4df7,6,1,16.7,yes
PERS_e5a5ac24,6,0,0.0,yes
PERS_3074a8e5,5,0,0.0,yes
PERS_d218805b,5,0,0.0,yes
PERS_cdbd7a15,5,1,20.0,yes
PERS_10547db9,5,0,0.0,yes
PERS_c6bbcef3,5,0,0.0,yes
PERS_2a2e5602,5,0,0.0,yes
PERS_8108c314,5,0,0.0,yes
PERS_01aafd44,5,0,0.0,yes
PERS_0665f215,5,0,0.0,yes
PERS_2c40b9b1,5,0,0.0,yes
PERS_28317057,5,1,20.0,yes
PERS_f940c5b3,5,0,0.0,yes
PERS_b62a9567,5,0,0.0,yes
PERS_db0a826b,5,0,0.0,yes
PERS_b6d1bf05,4,1,25.0,no
PERS_f8e06692,4,0,0.0,no
PERS_ced3d7b4,4,0,0.0,no
PERS_40375fef,4,0,0.0,no
PERS_587b08ec,4,0,0.0,no
PERS_3009a9e0,4,1,25.0,no
PERS_69750b7c,4,0,0.0,no
PERS_06ee047f,4,0,0.0,no
PERS_554c138a,4,0,0.0,no
PERS_c0d95426,4,0,0.0,no
PERS_cb52ebc2,4,0,0.0,no
PERS_bf91d4b8,4,0,0.0,no
PERS_9e9c9566,4,1,25.0,no
PERS_f56c5a7e,4,0,0.0,no
PERS_45a76880,4,0,0.0,no
PERS_50c46233,4,0,0.0,no
PERS_38c5f03f,4,0,0.0,no
PERS_3fd690ee,3,0,0.0,no
PERS_6ae5c779,3,0,0.0,no
PERS_b881461b,3,0,0.0,no
PERS_3e952361,3,0,0.0,no
PERS_4fff9d16,3,0,0.0,no
PERS_bcaec2d8,3,0,0.0,no
PERS_35a30342,3,1,33.3,no
PERS_30b54681,3,0,0.0,no
PERS_f7c7adc7,3,0,0.0,no
PERS_310b2911,3,0,0.0,no
PERS_0a2e5f24,3,1,33.3,no
PERS_3d3b302d,3,0,0.0,no
PERS_b2c121e9,3,1,33.3,no
PERS_3b190078,3,2,66.7,no
