person_id,total_talks,serialized_talks,serialization_pct,is_core_speaker
PERS_37bb2d43,2,0,0.0,no
PERS_68e9019d,2,0,0.0,no
PERS_fc976255,2,0,0.0,no
PERS_b76851a7,2,0,0.0,no
PERS_a1484b38,2,0,0.0,no
PERS_40f75cf9,2,2,100.0,no
PERS_5f6fa17b,2,0,0.0,no
PERS_c31236d2,2,0,0.0,no
PERS_800ac07e,2,0,0.0,no
PERS_de59a2bc,2,1,50.0,no
PERS_a901d460,2,0,0.0,no
PERS_35c57654,2,0,0.0,no
PERS_18fcab2a,2,0,0.0,no
PERS_7700f517,2,0,0.0,no
PERS_7da0afff,2,1,50.0,no
PERS_929cab5a,2,0,0.0,no
PERS_d4c2cc5e,2,0,0.0,no
PERS_8df81b6d,2,0,0.0,no
PERS_aa964a12,2,0,0.0,no
PERS_42da4866,2,0,0.0,no
PERS_52d3f72c,2,0,0.0,no
PERS_cca8f93d,2,0,0.0,no
PERS_96b8b195,2,0,0.0,no
PERS_37f98454,2,0,0.0,no
PERS_7bbed51a,2,0,0.0,no
PERS_3ccc9bd7,2,0,0.0,no
PERS_2e00cb36,2,0,0.0,no
PERS_34c0d384,2,0,0.0,no
PERS_2b7ca933,2,0,0.0,no
PERS_37d557c2,2,0,0.0,no
PERS_752884a2,1,0,0.0,no
PERS_c2ffc606,1,0,0.0,no
PERS_85a048b8,1,0,0.0,no
PERS_936e1165,1,0,0.0,no
PERS_44440578,1,0,0.0,no
PERS_bd77e495,1,0,0.0,no
PERS_675f37f0,1,0,0.0,no
PERS_e30ad8b7,1,0,0.0,no
PERS_ce100d3f,1,0,0.0,no
PERS_e8f935aa,1,0,0.0,no
PERS_f3cf67c6,1,0,0.0,no
PERS_f55cf2d5,1,0,0.0,no
PERS_4a0de87e,1,0,0.0,no
PERS_8a8c5d8b,1,0,0.0,no
PERS_3d4df70f,1,0,0.0,no
PERS_ee3448c3,1,0,0.0,no
PERS_6b867946,1,0,0.0,no
PERS_d01427ca,1,0,0.0,no
PERS_bbd15f4f,1,0,0.0,no
PERS_5e6bef63,1,0,0.0,no
PERS_467d4dbb,1,0,0.0,no
PERS_23f54085,1,0,0.0,no
PERS_26ce5ec1,1,0,0.0,no
PERS_37c15317,1,0,0.0,no
PERS_88e5311f,1,0,0.0,no
PERS_14dec06b,1,0,0.0,no
PERS_1130c736,1,0,0.0,no
PERS_f5a69b65,1,0,0.0,no
PERS_ecdfe667,1,0,0.0,no
PERS_e1d622e5,1,0,0.0,no
PERS_045c435e,1,0,0.0,no
PERS_ddb70dc9,1,0,0.0,no
PERS_e96139bd,1,0,0.0,no
PERS_72d46eb6,1,0,0.0,no
PERS_d3c5382c,1,0,0.0,no
PERS_d018b6eb,1,0,0.0,no
PERS_94f33410,1,0,0.0,no
PERS_79ed852e,1,0,0.0,no
PERS_377db63e,1,0,0.0,no
PERS_7d6f456c,1,0,0.0,no
PERS_180c5e5c,1,0,0.0,no
PERS_325e94f3,1,0,0.0,no
PERS_6a165aa7,1,0,0.0,no
PERS_2011b78d,1,0,0.0,no
PERS_9f159bcf,1,0,0.0,no
PERS_2095dc59,1,1,100.0,no
PERS_3195408b,1,0,0.0,no
PERS_f1a308b7,1,1,100.0,no
PERS_6f89f9c1,1,0,0.0,no
PERS_47ad46f1,1,0,0.0,no
PERS_57082cac,1,0,0.0,no
PERS_f619aeed,1,0,0.0,no
PERS_cac87738,1,0,0.0,no
PERS_51e0a171,1,0,0.0,no
PERS_a4c4c35e,1,0,0.0,no
PERS_0a42bfb2,1,0,0.0,no
PERS_9ddf9210,1,0,0.0,no
PERS_fb73fb38,1,0,0.0,no
PERS_51524b11,1,0,0.0,no
PERS_bdaaf440,1,0,0.0,no
PERS_874cbfb7,1,0,0.0,no
PERS_c9d44ed0,1,0,0.0,no
PERS_23abae7d,1,0,0.0,no
PERS_ed83f502,1,0,0.0,no
PERS_ba7b23ae,1,0,0.0,no
PERS_0da9b0dd,1,0,0.0,no
PERS_a8983673,1,0,0.0,no
PERS_dfaf6803,1,0,0.0,no
PERS_5d52a475,1,1,100.0,no
PERS_940c556e,1,0,0.0,no
PERS_dd17649f,1,0,0.0,no
PERS_300654cc,1,0,0.0,no
PERS_f1f2471d,1,0,0.0,no
PERS_7853fddb,1,0,0.0,no
PERS_0900c3c4,1,0,0.0,no
PERS_5af1c05a,1,0,0.0,no
PERS_b4cdbfb8,1,0,0.0,no
PERS_c9e43db7,1,0,0.0,no
PERS_526da44f,1,0,0.0,no
PERS_ba537782,1,0,0.0,no
PERS_04a4bbbb,1,0,0.0,no
PERS_839d97c7,1,0,0.0,no
PERS_c5aeda15,1,0,0.0,no
PERS_2c9b38ec,1,0,0.0,no
PERS_00c3b0cc,1,0,0.0,no
PERS_a638a4b3,1,0,0.0,no
PERS_d17a6a92,1,0,0.0,no
PERS_7efcddc6,1,0,0.0,no
PERS_b9a0e40c,1,0,0.0,no
PERS_d851ac20,1,0,0.0,no
PERS_f2a6e31a,1,0,0.0,no
PERS_07adc1e6,1,0,0.0,no
PERS_fc2af3f1,1,0,0.0,no
PERS_4ebb20aa,1,0,0.0,no
PERS_5f6689e8,1,0,0.0,no
PERS_fe03c926,1,0,0.0,no
PERS_a0f3d86d,1,0,0.0,no
PERS_410c5a08,1,0,0.0,no
PERS_f82b6a8e,1,0,0.0,no
PERS_c1cc76b9,1,0,0.0,no
PERS_fa58484d,1,0,0.0,no
PERS_3d22e8d4,1,0,0.0,no
PERS_ac7e1d48,1,0,0.0,no
PERS_3f406fe3,1,0,0.0,no
PERS_147ab928,1,0,0.0,no
PERS_36c30cf9,1,0,0.0,no
PERS_29607432,1,0,0.0,no
PERS_e4aab278,1,0,0.0,no
PERS_b5dd77b1,1,0,0.0,no
PERS_e8396809,1,0,0.0,no
PERS_900efc73,1,0,0.0,no
PERS_68270eaf,1,0,0.0,no
PERS_92f41884,1,0,0.0,no
PERS_48b3bec3,1,0,0.0,no
PERS_1955e9e8,1,0,0.0,no
PERS_4831e64b,1,1,100.0,no
PERS_94aa5d0a,1,0,0.0,no
PERS_56e6d363,1,0,0.0,no
PERS_2f26a47a,1,1,100.0,no
PERS_af811d47,1,0,0.0,no
PERS_61de659d,1,0,0.0,no
PERS_cea040bb,1,0,0.0,no
PERS_168a3a8b,1,0,0.0,no
PERS_c582889e,1,0,0.0,no
PERS_ebc1c3c2,1,0,0.0,no
PERS_58e18506,1,0,0.0,no
PERS_2e2b9553,1,0,0.0,no
PERS_5d38cbae,1,0,0.0,no
PERS_3e38ff72,1,0,0.0,no
PERS_9366fe2c,1,0,0.0,no
