series,metric,point,ci_low,ci_high
Зограф,"Разовые, %",40.777,33.981,47.573
Зограф,"Удержание, %",59.223,52.427,65.534
Зограф,"Ядро ≥5, %",34.951,28.641,41.748
Зограф,Джини,0.523,0.492,0.546
Рерих,"Разовые, %",35.238,26.667,44.762
Рерих,"Удержание, %",64.762,55.238,74.286
Рерих,"Ядро ≥5, %",33.333,24.762,41.905
Рерих,Джини,0.501,0.462,0.527
