approach,label,count,share_pct,zograf_count,roerich_count,top_terms,examples
language_system,языковедческий анализ,116,88.55,74,42,"язык, санскрит, этимология, Индия, ведийский, семантика, древнеиндийский, Панини, слово, Тибет, грамматика, лексика",О 58 синонимах «речи» в «Нигханту»; Замечания по формальной стороне Рикпратишакхьи; Еще раз о слове ātman в Ригведе
text_philology,филология текста,15,11.45,13,2,"текст, ведийский, санскрит, реконструкция, сутра, водный, пространство, самхит, широкий, индоевропейский, муж, постведийский",Ведийское samudra-: к вопросу о широких водных пространствах в текстах самхит; Индоевропейская формула «храни мужей и скот» в ведийских и постведийских текстах; Санскритские квантитативные стихотворные размеры: реконструкция чтения
