axis,category,term,document_frequency,category_title_share_pct
l1,art_archaeology,индия,21,23.6
l1,art_archaeology,собрание,11,12.36
l1,art_archaeology,храм,10,11.24
l1,art_archaeology,искусство,9,10.11
l1,art_archaeology,изображение,8,8.99
l1,art_archaeology,коллекция,8,8.99
l1,art_archaeology,архитектура,7,7.87
l1,art_archaeology,шива,7,7.87
l1,art_archaeology,иконография,7,7.87
l1,art_archaeology,текст,6,6.74
l1,art_archaeology,образ,6,6.74
l1,art_archaeology,иконографический,6,6.74
l1,ethnography,традиция,8,13.11
l1,ethnography,ланка,6,9.84
l1,ethnography,современный,5,8.2
l1,ethnography,традиционный,5,8.2
l1,ethnography,ведды,5,8.2
l1,ethnography,театр,4,6.56
l1,ethnography,азия,4,6.56
l1,ethnography,представление,4,6.56
l1,ethnography,ритуал,4,6.56
l1,ethnography,индия,4,6.56
l1,ethnography,народный,3,4.92
l1,ethnography,сингал,3,4.92
l1,history,индия,41,22.78
l1,history,история,19,10.56
l1,history,текст,14,7.78
l1,history,юрий_рерих,13,7.22
l1,history,источник,12,6.67
l1,history,надпись,11,6.11
l1,history,средневековый,9,5.0
l1,history,рерих,9,5.0
l1,history,культурный,8,4.44
l1,history,минаев,8,4.44
l1,history,древний,8,4.44
l1,history,тибет,8,4.44
l1,linguistics,язык,32,24.43
l1,linguistics,санскрит,20,15.27
l1,linguistics,ведийский,15,11.45
l1,linguistics,этимология,13,9.92
l1,linguistics,текст,10,7.63
l1,linguistics,индия,10,7.63
l1,linguistics,древнеиндийский,9,6.87
l1,linguistics,панини,9,6.87
l1,linguistics,семантика,9,6.87
l1,linguistics,тибет,8,6.11
l1,linguistics,слово,7,5.34
l1,linguistics,грамматика,7,5.34
l1,literature,поэзия,44,15.38
l1,literature,индия,38,13.29
l1,literature,литература,32,11.19
l1,literature,санскрит,27,9.44
l1,literature,тамильский,23,8.04
l1,literature,рамаяна,19,6.64
l1,literature,средневековый,16,5.59
l1,literature,образ,16,5.59
l1,literature,текст,15,5.24
l1,literature,драма,14,4.9
l1,literature,перевод,13,4.55
l1,literature,поэма,13,4.55
l1,other,директор,10,43.48
l1,other,ивр_ран,10,43.48
