theme_l2,vasilkov_count,vasilkov_pct,albedil_count,albedil_pct
classical,129,16.9,16,14.0
colonial,30,3.9,8,7.0
contemporary,38,5.0,6,5.3
medieval,87,11.4,17,14.9
modern,35,4.6,5,4.4
unspecified,15,2.0,2,1.8
vedic,20,2.6,6,5.3
