person_id,display_name,total,zograf,roerich,first_year,reason
PERS_05d56645,Бабин Александр Николаевич,10,4,6,2017,needed_for_age_debut_or_high_activity
PERS_0e0a154e,Титлин Лев Игоревич,7,3,4,2012,needed_for_age_debut_or_high_activity
PERS_1c6fcce5,Кузина Елизавета Олеговна,7,2,5,2016,needed_for_age_debut_or_high_activity
PERS_22d87263,Костина Екатерина Александровна,5,5,0,2013,needed_for_age_debut_or_high_activity
PERS_23215083,М. А. Русанов,6,6,0,2004,needed_for_age_debut_or_high_activity
PERS_260a598a,Пахомов Сергей Владимирович,9,9,0,2007,needed_for_age_debut_or_high_activity
PERS_2fd442aa,С. Ч. Офертас,9,0,9,2015,needed_for_age_debut_or_high_activity
PERS_3b196639,Гордийчук Николай Валентинович,9,4,5,2016,needed_for_age_debut_or_high_activity
PERS_50d73711,Смирнитская Анна Александровна,7,5,2,2018,needed_for_age_debut_or_high_activity
PERS_58b39545,Ренковская Евгения Алексеевна,5,4,1,2020,needed_for_age_debut_or_high_activity
PERS_5d324297,К. П. Шрестха,9,0,9,2012,needed_for_age_debut_or_high_activity
PERS_5d34c947,Волошина Оксана Анатольевна,8,8,0,2014,needed_for_age_debut_or_high_activity
PERS_5ed752d9,Б. У. Китинов,9,0,9,2016,needed_for_age_debut_or_high_activity
PERS_61202bf3,Ю. М. Алиханова,11,5,6,2004,needed_for_age_debut_or_high_activity
PERS_72506535,Крылова Анастасия Сергеевна,7,4,3,2020,needed_for_age_debut_or_high_activity
PERS_7542d270,Демченко Максим Борисович,8,8,0,2018,needed_for_age_debut_or_high_activity
PERS_7eb0dc30,Зимина Татьяна Александровна,5,5,0,2013,needed_for_age_debut_or_high_activity
PERS_8516d1e4,Гасунс Марцис Юрьевич,6,4,2,2006,needed_for_age_debut_or_high_activity
PERS_8e117242,Е. А. Юдицкая,9,3,6,2015,needed_for_age_debut_or_high_activity
PERS_92f293f8,П. В. Хрущева,5,5,0,2011,needed_for_age_debut_or_high_activity
PERS_9a855a7b,Альбедиль Маргарита Федоровна,10,10,0,2011,needed_for_age_debut_or_high_activity
PERS_9ad66151,Д. Н. Лелюхин,6,5,1,2004,needed_for_age_debut_or_high_activity
PERS_9f398436,Куликов Леонид Игоревич,7,4,3,2018,needed_for_age_debut_or_high_activity
PERS_a84aedaa,Шомахмадов Сафарали Хайбуллоевич,6,6,0,2011,needed_for_age_debut_or_high_activity
PERS_bc97fb65,Краснодембская Нина Георгиевна,6,6,0,2011,needed_for_age_debut_or_high_activity
PERS_c6bbcef3,Битинайте Елена Алексеевна,5,5,0,2018,needed_for_age_debut_or_high_activity
PERS_d2559ba1,Е. С. Лепехова,6,0,6,2012,needed_for_age_debut_or_high_activity
PERS_db046be0,Сабирова Римма Наилевна,7,7,0,2018,needed_for_age_debut_or_high_activity
PERS_dd7de77e,Е. К. Бросалина,5,5,0,2006,needed_for_age_debut_or_high_activity
PERS_df6e2007,А. А. Мехакян,6,1,5,2007,needed_for_age_debut_or_high_activity
PERS_e72d4c09,Е. Д. Огнева,9,1,8,2012,needed_for_age_debut_or_high_activity
PERS_efc88709,Канаева Наталия Алексеевна,6,3,3,2013,needed_for_age_debut_or_high_activity
PERS_f2fef030,Мехакян Арег Гайкович,9,2,7,2018,needed_for_age_debut_or_high_activity
PERS_f8ab5755,Оранская Татьяна Иосифовна,6,6,0,2010,needed_for_age_debut_or_high_activity
