presentation_id,year,period,series,calendar_date,weekday,l1,l2,title,tokens,unique_tokens,bigrams,theme_match
PRES_767c9cdbe9,2020,2018-2022,Zograf Readings,2020-05-12,Tuesday,religion,medieval,Тело бхакта и тело Шивы: о проблемах телесности в тамильском шайва-бхакти,тело|бхакт|тело|шива|телесность|тамильский|шайв-бхакть,бхакт|тамильский|телесность|тело|шайв-бхакть|шива,тело бхакт|бхакт тело|тело шива|шива телесность|телесность тамильский|тамильский шайв-бхакть,True
PRES_8d5bea6a53,2020,2018-2022,Zograf Readings,2020-05-15,Friday,history,colonial,Д. Д. Руднев как радетель пополнения коллекций МАЭ РАН,руднев|радетель|пополнение|коллекция|маэ_ран,коллекция|маэ_ран|пополнение|радетель|руднев,руднев радетель|радетель пополнение|пополнение коллекция|коллекция маэ_ран,True
PRES_920d574dbd,2020,2018-2022,Zograf Readings,2020-05-15,Friday,ethnography,contemporary,Танцы с сосудами и вокруг. Гарба Гуджарата и сходные обряды и представления Южной Азии,танец|сосуд|вокруг|гарба|гуджарат|сходный|обряд|представление|южный|азия,азия|вокруг|гарба|гуджарат|обряд|представление|сосуд|сходный|танец|южный,танец сосуд|сосуд вокруг|вокруг гарба|гарба гуджарат|гуджарат сходный|сходный обряд|обряд представление|представление южный|южный азия,True
PRES_936504e955,2020,2018-2022,Zograf Readings,2020-05-12,Tuesday,religion,classical,Традиции и ритуалы почитания манускриптов в писаниях шайва,традиция|ритуал|почитание|манускрипт|писание|шайва,манускрипт|писание|почитание|ритуал|традиция|шайва,традиция ритуал|ритуал почитание|почитание манускрипт|манускрипт писание|писание шайва,True
PRES_9a160371a2,2020,2018-2022,Zograf Readings,2020-05-12,Tuesday,linguistics,unspecified,Параллельный санскритско-русский корпус,параллельный|санскритско-русский|корпус,корпус|параллельный|санскритско-русский,параллельный санскритско-русский|санскритско-русский корпус,True
PRES_9a4fc39037,2020,2018-2022,Zograf Readings,2020-05-13,Wednesday,philosophy,modern,Инклюзивизм как концептуальное средство для изучения индийской культуры,инклюзивизм|концептуальный|средство|индия|культура,индия|инклюзивизм|концептуальный|культура|средство,инклюзивизм концептуальный|концептуальный средство|средство индия|индия культура,True
PRES_9bd1af42a2,2020,2018-2022,Zograf Readings,2020-05-14,Thursday,literature,modern,Разрази его гром! Метеорологические явления в песенном фольклоре на диалектах хинди Центральной Индии,разразить|гром|метеорологический|явление|песенный|фольклор|диалект|хинди|центральный|индия,гром|диалект|индия|метеорологический|песенный|разразить|фольклор|хинди|центральный|явление,разразить гром|гром метеорологический|метеорологический явление|явление песенный|песенный фольклор|фольклор диалект|диалект хинди|хинди центральный|центральный индия,True
PRES_9f9afead1c,2020,2018-2022,Zograf Readings,2020-05-14,Thursday,linguistics,classical,О некоторых особенностях языка «Калачакра-тантры»,язык|калачакр-тантра,калачакр-тантра|язык,язык калачакр-тантра,True
PRES_9fecb411f8,2020,2018-2022,Zograf Readings,2020-05-15,Friday,philosophy,classical,Великая галлюцинация сознания по «Вимшике» Васубандху,великий|галлюцинация|сознание|вимшик|васубандх,васубандх|великий|вимшик|галлюцинация|сознание,великий галлюцинация|галлюцинация сознание|сознание вимшик|вимшик васубандх,True
PRES_aafda61458,2020,2018-2022,Zograf Readings,2020-05-12,Tuesday,religion,classical,Техническая терминология тантрийской йоги в «Виджняна Бхайрава тантре»,технический|терминология|тантрийский|йога|виджнян|бхайрава|тантра,бхайрава|виджнян|йога|тантра|тантрийский|терминология|технический,технический терминология|терминология тантрийский|тантрийский йога|йога виджнян|виджнян бхайрава|бхайрава тантра,True
PRES_c1a46eb8bc,2020,2018-2022,Zograf Readings,2020-05-13,Wednesday,philosophy,classical,О философской и религиозной значимости некоторых текстов Веданта Дешики,философия|религия|значимость|текст|веданта|дешик,веданта|дешик|значимость|религия|текст|философия,философия религия|религия значимость|значимость текст|текст веданта|веданта дешик,True
PRES_c21cf157cd,2020,2018-2022,Zograf Readings,2020-05-12,Tuesday,philosophy,classical,О сравнениях в индийской философской литературе,индия|философия|литература,индия|литература|философия,индия философия|философия литература,True
PRES_cfe957f4c0,2020,2018-2022,Zograf Readings,2020-05-15,Friday,ethnography,modern,Об особенностях традиционной пищи веддов,традиционный|пища|ведды,ведды|пища|традиционный,традиционный пища|пища ведды,True
PRES_d50f809e09,2020,2018-2022,Zograf Readings,2020-05-13,Wednesday,philosophy,modern,Понятие религиозного инклюзивизма у П. Хакера,понятие|религия|инклюзивизм|хакер,инклюзивизм|понятие|религия|хакер,понятие религия|религия инклюзивизм|инклюзивизм хакер,True
PRES_d8833f6520,2020,2018-2022,Zograf Readings,2020-05-14,Thursday,philosophy,classical,Work of Patañjali on Yoga Philosophy and Sanskrit Vyākaraṇa,,,,True
PRES_d91cd4e689,2020,2018-2022,Zograf Readings,2020-05-12,Tuesday,literature,classical,Эстетика комического в поэме «Kaliṅkattupparaṇi»,эстетика|комический|поэма,комический|поэма|эстетика,эстетика комический|комический поэма,True
PRES_e342a2d01d,2020,2018-2022,Zograf Readings,2020-05-15,Friday,history,colonial,«Индийская „игра знания“: один эпизод культурного трансфера»,индия|игра|знание|эпизод|культурный|трансфер,знание|игра|индия|культурный|трансфер|эпизод,индия игра|игра знание|знание эпизод|эпизод культурный|культурный трансфер,True
PRES_e3fe863ea8,2020,2018-2022,Zograf Readings,2020-05-13,Wednesday,tibetology,contemporary,Текущие переводческие проекты Фонда «Сохраним Тибет!» и изд-ва «Нартанг»,текущий|переводческий|проект|фонд|сохранить|тибет|изд-во|нартанга,изд-во|нартанга|переводческий|проект|сохранить|текущий|тибет|фонд,текущий переводческий|переводческий проект|проект фонд|фонд сохранить|сохранить тибет|тибет изд-во|изд-во нартанга,True
PRES_f4003453cd,2020,2018-2022,Zograf Readings,2020-05-15,Friday,history,colonial,Индия в воспоминаниях востоковеда В. А. Иванова,индия|воспоминание|востоковед|иванов,воспоминание|востоковед|иванов|индия,индия воспоминание|воспоминание востоковед|востоковед иванов,True
PRES_f4b07bef1a,2020,2018-2022,Zograf Readings,2020-05-12,Tuesday,literature,classical,Еще раз к вопросу о теме нейдаль в тамильской поэзии,нейдаль|тамильский|поэзия,нейдаль|поэзия|тамильский,нейдаль тамильский|тамильский поэзия,True
