axis,category,term,document_frequency,category_title_share_pct
l1,art_archaeology,индия,22,25.0
l1,art_archaeology,собрание,11,12.5
l1,art_archaeology,храм,9,10.23
l1,art_archaeology,изображение,8,9.09
l1,art_archaeology,искусство,8,9.09
l1,art_archaeology,коллекция,8,9.09
l1,art_archaeology,архитектура,7,7.95
l1,art_archaeology,шива,7,7.95
l1,art_archaeology,иконография,7,7.95
l1,art_archaeology,текст,6,6.82
l1,art_archaeology,образ,6,6.82
l1,art_archaeology,новый,6,6.82
l1,ethnography,традиция,7,12.28
l1,ethnography,ланка,6,10.53
l1,ethnography,современный,5,8.77
l1,ethnography,традиционный,5,8.77
l1,ethnography,ведды,5,8.77
l1,ethnography,театр,4,7.02
l1,ethnography,азия,4,7.02
l1,ethnography,представление,4,7.02
l1,ethnography,племя,4,7.02
l1,ethnography,ритуал,4,7.02
l1,ethnography,народный,3,5.26
l1,ethnography,сингал,3,5.26
l1,history,индия,41,22.16
l1,history,история,18,9.73
l1,history,текст,14,7.57
l1,history,юрий_рерих,13,7.03
l1,history,источник,12,6.49
l1,history,надпись,10,5.41
l1,history,средневековый,9,4.86
l1,history,рерих,9,4.86
l1,history,коллекция,9,4.86
l1,history,тибет,9,4.86
l1,history,культурный,8,4.32
l1,history,минаев,8,4.32
l1,linguistics,язык,32,24.43
l1,linguistics,санскрит,19,14.5
l1,linguistics,ведийский,15,11.45
l1,linguistics,этимология,13,9.92
l1,linguistics,текст,12,9.16
l1,linguistics,индия,10,7.63
l1,linguistics,древнеиндийский,9,6.87
l1,linguistics,панини,9,6.87
l1,linguistics,семантика,9,6.87
l1,linguistics,тибет,8,6.11
l1,linguistics,слово,7,5.34
l1,linguistics,грамматика,7,5.34
l1,literature,поэзия,43,15.14
l1,literature,индия,37,13.03
l1,literature,литература,32,11.27
l1,literature,санскрит,27,9.51
l1,literature,тамильский,23,8.1
l1,literature,рамаяна,19,6.69
l1,literature,образ,16,5.63
l1,literature,средневековый,15,5.28
l1,literature,текст,15,5.28
l1,literature,драма,14,4.93
l1,literature,сюжет,13,4.58
l1,literature,перевод,13,4.58
l1,other,индия,6,50.0
l1,other,культура,2,16.67
l1,other,текст,2,16.67
l1,other,конференция,2,16.67
l1,other,числовой,2,16.67
l1,pedagogy_applied,хинди,2,100.0
l1,philosophy,философия,46,19.33
l1,philosophy,индия,36,15.13
l1,philosophy,буддизм,22,9.24
l1,philosophy,концепция,14,5.88
l1,philosophy,абхинавагупта,14,5.88
l1,philosophy,текст,13,5.46
l1,philosophy,учение,13,5.46
l1,philosophy,традиция,12,5.04
l1,philosophy,васубандх,11,4.62
l1,philosophy,кашмирский,11,4.62
l1,philosophy,сознание,9,3.78
l1,philosophy,восприятие,9,3.78
l1,religion,буддизм,56,16.05
l1,religion,текст,49,14.04
l1,religion,традиция,35,10.03
l1,religion,индия,24,6.88
l1,religion,образ,23,6.59
l1,religion,ритуал,23,6.59
l1,religion,будда,21,6.02
l1,religion,культ,17,4.87
l1,religion,тантра,14,4.01
l1,religion,ранний,13,3.72
l1,religion,пураны,13,3.72
l1,religion,канон,13,3.72
l1,tibetology,тибет,4,100.0
l1,tibetology,буддизм,2,50.0
l2,classical,индия,58,10.76
l2,classical,буддизм,52,9.65
l2,classical,текст,49,9.09
l2,classical,санскрит,43,7.98
l2,classical,традиция,34,6.31
l2,classical,древнеиндийский,25,4.64
l2,classical,философия,23,4.27
l2,classical,поэзия,21,3.9
l2,classical,литература,20,3.71
l2,classical,будда,19,3.53
l2,classical,пали,18,3.34
l2,classical,термин,17,3.15
l2,colonial,индия,27,25.23
l2,colonial,история,11,10.28
l2,colonial,минаев,10,9.35
l2,colonial,бенгальский,8,7.48
l2,colonial,коллекция,8,7.48
l2,colonial,лебедев,6,5.61
l2,colonial,рукопись,6,5.61
l2,colonial,культурный,5,4.67
l2,colonial,возрождение,5,4.67
l2,colonial,текст,5,4.67
l2,colonial,новый,5,4.67
l2,colonial,век,5,4.67
l2,contemporary,индия,27,24.32
l2,contemporary,современный,14,12.61
l2,contemporary,текст,12,10.81
l2,contemporary,новый,10,9.01
l2,contemporary,язык,10,9.01
l2,contemporary,традиция,8,7.21
l2,contemporary,литература,6,5.41
l2,contemporary,ланка,6,5.41
l2,contemporary,диаспора,6,5.41
l2,contemporary,ритуал,6,5.41
l2,contemporary,рушдить,6,5.41
l2,contemporary,роман,6,5.41
l2,medieval,средневековый,29,9.6
l2,medieval,индия,26,8.61
l2,medieval,текст,25,8.28
l2,medieval,буддизм,25,8.28
l2,medieval,образ,23,7.62
l2,medieval,тибет,18,5.96
l2,medieval,традиция,15,4.97
l2,medieval,поэзия,15,4.97
l2,medieval,литература,14,4.64
l2,medieval,бхакти,13,4.3
l2,medieval,тамильский,12,3.97
l2,medieval,философия,11,3.64
l2,modern,индия,23,15.86
l2,modern,юрий_рерих,17,11.72
l2,modern,язык,13,8.97
l2,modern,философия,12,8.28
l2,modern,бенгальский,11,7.59
l2,modern,история,10,6.9
l2,modern,тагор,10,6.9
l2,modern,хинди,9,6.21
l2,modern,рерих,9,6.21
l2,modern,поэзия,8,5.52
l2,modern,буддизм,7,4.83
l2,modern,современный,7,4.83
l2,unspecified,индия,16,23.53
l2,unspecified,язык,11,16.18
l2,unspecified,миф,7,10.29
l2,unspecified,санскрит,5,7.35
l2,unspecified,культура,5,7.35
l2,unspecified,мунда,4,5.88
l2,unspecified,буддизм,4,5.88
l2,unspecified,семантика,4,5.88
l2,unspecified,собрание,4,5.88
l2,unspecified,дравидология,4,5.88
l2,unspecified,этимология,4,5.88
l2,unspecified,западный,3,4.41
l2,vedic,ведийский,25,32.05
l2,vedic,ригведа,15,19.23
l2,vedic,текст,14,17.95
l2,vedic,ритуал,10,12.82
l2,vedic,традиция,8,10.26
l2,vedic,индоевропейский,5,6.41
l2,vedic,священный,4,5.13
l2,vedic,упанишад,4,5.13
l2,vedic,этимология,4,5.13
l2,vedic,индия,4,5.13
l2,vedic,параллель,4,5.13
l2,vedic,речь,3,3.85
