series,term,early_df,late_df,early_title_share_pct,late_title_share_pct,log_odds_late_minus_early,z_score,trend
Zograf Readings,царь,5,1,2.56,0.29,-1.8917,-2.054,early
Zograf Readings,восприятие,4,0,2.05,0.0,-2.7873,-1.87,early
Zograf Readings,поэтический,4,0,2.05,0.0,-2.7873,-1.87,early
Zograf Readings,способ,4,0,2.05,0.0,-2.7873,-1.87,early
Zograf Readings,век,6,3,3.08,0.87,-1.2109,-1.826,early
Zograf Readings,версия,4,1,2.05,0.29,-1.6858,-1.788,early
Zograf Readings,ланка,4,1,2.05,0.29,-1.6858,-1.788,early
Zograf Readings,надпись,4,1,2.05,0.29,-1.6858,-1.788,early
Zograf Readings,москва,0,10,0.0,2.9,2.5045,1.73,late
Zograf Readings,деревня,3,0,1.54,0.0,-2.5308,-1.674,early
Zograf Readings,калькутта,3,0,1.54,0.0,-2.5308,-1.674,early
Zograf Readings,лебедев,3,0,1.54,0.0,-2.5308,-1.674,early
Zograf Readings,религиозно-философский,3,0,1.54,0.0,-2.5308,-1.674,early
Zograf Readings,эволюция,3,0,1.54,0.0,-2.5308,-1.674,early
Zograf Readings,язык,4,18,2.05,5.22,0.8771,1.669,late
Zograf Readings,текст,19,21,9.74,6.09,-0.5113,-1.635,early
Zograf Readings,ритуал,0,8,0.0,2.32,2.2872,1.572,late
Zograf Readings,ранний,5,3,2.56,0.87,-1.0386,-1.519,early
Zograf Readings,гимн,4,2,2.05,0.58,-1.1721,-1.486,early
Zograf Readings,глава,4,2,2.05,0.58,-1.1721,-1.486,early
Zograf Readings,культурный,4,2,2.05,0.58,-1.1721,-1.486,early
Zograf Readings,термин,4,2,2.05,0.58,-1.1721,-1.486,early
Zograf Readings,санкт-петербург,0,7,0.0,2.03,2.1591,1.478,late
Zograf Readings,вишну,3,1,1.54,0.29,-1.4293,-1.465,early
Zograf Readings,дхарма,3,1,1.54,0.29,-1.4293,-1.465,early
Zograf Readings,человек,3,1,1.54,0.29,-1.4293,-1.465,early
Zograf Readings,хинди,7,6,3.59,1.74,-0.7315,-1.365,early
Zograf Readings,философия,6,20,3.08,5.8,0.6076,1.35,late
Zograf Readings,исток,1,8,0.51,2.32,1.1835,1.336,late
Zograf Readings,практика,1,8,0.51,2.32,1.1835,1.336,late
Zograf Readings,концепция,6,5,3.08,1.45,-0.7531,-1.3,early
Zograf Readings,вивекананда,0,5,0.0,1.45,1.843,1.248,late
Zograf Readings,племя,0,5,0.0,1.45,1.843,1.248,late
Zograf Readings,понятие,0,5,0.0,1.45,1.843,1.248,late
Zograf Readings,родство,0,5,0.0,1.45,1.843,1.248,late
Zograf Readings,этимология,0,5,0.0,1.45,1.843,1.248,late
Zograf Readings,индия,24,55,12.31,15.94,0.2907,1.198,late
Zograf Readings,история,3,12,1.54,3.48,0.7234,1.196,late
Zograf Readings,индуизм,4,3,2.05,0.87,-0.8327,-1.168,early
Zograf Readings,рукопись,4,3,2.05,0.87,-0.8327,-1.168,early
Zograf Readings,ивр_ран,3,2,1.54,0.58,-0.9156,-1.106,early
Zograf Readings,композиция,3,2,1.54,0.58,-0.9156,-1.106,early
Zograf Readings,минаев,3,2,1.54,0.58,-0.9156,-1.106,early
Zograf Readings,танец,3,2,1.54,0.58,-0.9156,-1.106,early
Zograf Readings,творчество,3,2,1.54,0.58,-0.9156,-1.106,early
Zograf Readings,бхакти,0,4,0.0,1.16,1.6394,1.1,late
Zograf Readings,взгляд,0,4,0.0,1.16,1.6394,1.1,late
Zograf Readings,ганди,0,4,0.0,1.16,1.6394,1.1,late
Zograf Readings,йога,0,4,0.0,1.16,1.6394,1.1,late
Zograf Readings,наследие,0,4,0.0,1.16,1.6394,1.1,late
Zograf Readings,понимание,0,4,0.0,1.16,1.6394,1.1,late
Zograf Readings,предмет,0,4,0.0,1.16,1.6394,1.1,late
Zograf Readings,свами,0,4,0.0,1.16,1.6394,1.1,late
Zograf Readings,след,0,4,0.0,1.16,1.6394,1.1,late
Zograf Readings,толкование,0,4,0.0,1.16,1.6394,1.1,late
Zograf Readings,абхидхармакош,2,1,1.03,0.29,-1.0876,-1.053,early
Zograf Readings,адивась,2,1,1.03,0.29,-1.0876,-1.053,early
Zograf Readings,акт,2,1,1.03,0.29,-1.0876,-1.053,early
Zograf Readings,богиня,2,1,1.03,0.29,-1.0876,-1.053,early
Zograf Readings,возрождение,2,1,1.03,0.29,-1.0876,-1.053,early
Zograf Readings,жанр,2,1,1.03,0.29,-1.0876,-1.053,early
Zograf Readings,кашмирский,2,1,1.03,0.29,-1.0876,-1.053,early
Zograf Readings,классификация,2,1,1.03,0.29,-1.0876,-1.053,early
Zograf Readings,натьяшастр,2,1,1.03,0.29,-1.0876,-1.053,early
Zograf Readings,описание,2,1,1.03,0.29,-1.0876,-1.053,early
Zograf Readings,передача,2,1,1.03,0.29,-1.0876,-1.053,early
Zograf Readings,поэма,2,1,1.03,0.29,-1.0876,-1.053,early
Zograf Readings,поэтика,2,1,1.03,0.29,-1.0876,-1.053,early
Zograf Readings,рождение,2,1,1.03,0.29,-1.0876,-1.053,early
Zograf Readings,южная_индия,2,1,1.03,0.29,-1.0876,-1.053,early
Zograf Readings,тибет,6,6,3.08,1.74,-0.5831,-1.051,early
Zograf Readings,ведийский,3,11,1.54,3.19,0.637,1.044,late
Zograf Readings,миф,3,11,1.54,3.19,0.637,1.044,late
Zograf Readings,комментарий,1,6,0.51,1.74,0.9093,1.004,late
