theme_l1,vasilkov_count,vasilkov_pct,albedil_count,albedil_pct
art_archaeology,18,4.2,7,6.1
ethnography,20,4.7,6,5.3
history,30,7.0,13,11.4
linguistics,48,11.3,13,11.4
literature,100,23.5,19,16.7
other,21,4.9,6,5.3
pedagogy_applied,0,0.0,1,0.9
philosophy,89,20.9,28,24.6
religion,93,21.8,20,17.5
tibetology,7,1.6,1,0.9
