affiliation_group,cross_cohort_people
ИВ РАН,12
ИКВИА/ВШЭ,8
ИСАА МГУ,8
ИФ РАН,4
независимый исследователь,3
СПбГУ,2
РУДН,2
РГГУ,2
ИМЛИ РАН,2
ИВР РАН,1
ИЯз/ИЯ РАН,1
ИЭА РАН,1
не нормализовано/только город,1
