person_id,display_name,full_name_ru,birth_year,death_year,n_talks,last_known_institution,degree,degree_year,degree_source_url,confidence,verified,note
PERS_c52dfaa0,Цветкова Светлана Олеговна,Цветкова Софья Олеговна,1978,,22,"СПбГУ, Санкт-Петербург",кандидат филологических наук,,https://orient.spbu.ru/index.php/en/about-faas/academics/item/tsvetkova-svetlana-olegovna,high,,"доцент, зав. каф. индийской филологии СПбГУ (хинди)"
PERS_11da326d,Тавастшерна Сергей Сергеевич,Тавастшерна Сергей Сергеевич,1969,,20,"СПбГУ, Санкт-Петербург",кандидат филологических наук,2009,https://www.orient.spbu.ru/index.php/ru/o-fakultete/sotrudniki/item/tavastsherna-sergej-sergeevich,high,,дисс. «Происхождение и развитие лингвистической традиции в Индии»
PERS_f074f69f,Александрова Наталия Владимировна,Александрова Наталия Владимировна,1965,,20,"ИВ РАН, ИКВИА НИУ ВШЭ, Москва",кандидат исторических наук,1989,https://www.hse.ru/org/persons/210188843,high,,ст. науч. сотр. ИКВИА НИУ ВШЭ; ранее ИВ РАН с 1988
PERS_d98da899,Рыжакова Светлана Игоревна,Рыжакова Светлана Игоревна,1970,,19,ИЭА РАН,доктор исторических наук,,https://iea-ras.ru/?page_id=6695,high,,"вед. науч. сотр. ИЭА РАН, проф. РГГУ"
PERS_12125da9,Лысенко Виктория Георгиевна,Лысенко Виктория Георгиевна,1953,,16,"ИФ РАН, Москва",доктор философских наук,,"https://ru.wikipedia.org/wiki/Лысенко,_Виктория_Георгиевна",high,,проф.; зам. пред. экспертного совета ВАК по философии
PERS_40862f5e,Корнеева Наталья Афанасьевна,Корнеева Наталья Афанасьевна,1972,,15,,кандидат исторических наук,,https://www.dissercat.com/content/istochnikovedcheskii-analiz-vishnu-smriti-problemy-khronologii-i-perevoda,high,,"дисс. «Источниковедческий анализ Вишну-смрити», ВАК 07.00.09; ИВ РАН"
PERS_1fa7cc0c,Дубянский Александр Михайлович,Дубянский Александр Михайлович,1941,2020,14,ИСАА МГУ,кандидат филологических наук,1974,"https://ru.wikipedia.org/wiki/Дубянский,_Александр_Михайлович",high,,УМЕР 18.11.2020 — добавить death_year
PERS_5228da95,В. В. Вертоградова,Вертоградова Виктория Викторовна,1933,2022,13,ИВ РАН,доктор филологических наук,,https://www.ivran.ru/persons/147,high,,ЖИВА (corr.md): death_year НЕ ставить; вед. науч. сотр. ИВ РАН
PERS_e1dd6b3e,Лидова Наталья Ростиславовна,Лидова Наталья Ростиславовна,1954,,13,"ИМЛИ РАН, Москва",кандидат филологических наук,1991,http://imli.ru/index.php/institut/sotrudniki/1156-lidova-natalya-rostislavovna,high,,"дисс. «Натьяшастра и истоки древнеиндийской драмы», ИМЛИ"
PERS_e31ca12d,Вечерина Ольга Павловна,Вечерина Ольга Павловна,1963,,13,РУДН,кандидат исторических наук,1998,https://istina.msu.ru/workers/419301481/,medium,,"ФЛАГ: corr.md даёт 1960–2023, в БД birth_year=1963; дисс. «Ювелирный бизнес в Индии»"
PERS_61202bf3,Ю. М. Алиханова,Ю. М. Алиханова,,,11,ИСАА МГУ,,,,,,
PERS_92868e4f,Д. И. Жутаев,Жутаев Дмитрий Игоревич,1968,,10,ИВ РАН,,,,,,
PERS_41d6aa73,Воробьева Дарья Николаевна,Воробьева Дарья Николаевна,1982,,10,"ГИИ, НИУ ВШЭ, РГХПУ им. С.Г. Строганова, Москва",кандидат искусствоведения,2013,https://sias.ru/institute/persons/3743.html,high,,ст. науч. сотр. ГИИ; искусство Индии раннего средневековья
PERS_05d56645,Бабин Александр Николаевич,Бабин Александр Николаевич,,,10,ВШЭ,,,,,,
PERS_e72d4c09,Е. Д. Огнева,Е. Д. Огнева,,,9,"Институт востоковедения, Киев",,,,,,
PERS_8e117242,Е. А. Юдицкая,Е. А. Юдицкая,,,9,ИВ РАН,,,,,,
PERS_3b196639,Гордийчук Николай Валентинович,Гордийчук Николай Валентинович,,,9,ИВ РАН,,,,,,
PERS_f2fef030,Мехакян Арег Гайкович,Мехакян Арег Гайкович,,,9,ИВ РАН,,,,,,
PERS_36dabb79,А. Г. Гурия,Гурия Анастасия Георгиевна,1988,,8,"ИСАА МГУ, онлайн",кандидат филологических наук,,https://istina.msu.ru/workers/111004308/,medium,,науч. сотр. каф. индийской филологии ИСАА МГУ; год защиты не уточнён
PERS_0e0a154e,Титлин Лев Игоревич,Титлин Лев Игоревич,,,7,ИФ РАН,,,,,,
PERS_9f398436,Куликов Леонид Игоревич,Куликов Леонид Игоревич,,,7,"НИУ ВШЭ, онлайн",,,,,,
PERS_50d73711,Смирнитская Анна Александровна,Смирнитская Анна Александровна,,,7,ИВ РАН,,,,,,
PERS_cfb92c5f,Уланский Евгений Александрович,Уланский Евгений Андреевич,1981,,7,ИСАА МГУ,,,,,,
PERS_72506535,Крылова Анастасия Сергеевна,Крылова Анастасия Сергеевна,,,7,ИВ РАН,,,,,,
PERS_1c6fcce5,Кузина Елизавета Олеговна,Кузина Елизавета Олеговна,,,7,РУДН,,,,,,
PERS_9ad66151,Д. Н. Лелюхин,Д. Н. Лелюхин,,,6,ИВ РАН,,,,,,
PERS_8516d1e4,Гасунс Марцис Юрьевич,Гасунс Марцис Юрьевич,,,6,,,,,,,
PERS_df6e2007,А. А. Мехакян,А. А. Мехакян,,,6,,,,,,,
PERS_efc88709,Канаева Наталия Алексеевна,Канаева Наталия Алексеевна,,,6,"Школа философии и культурологии НИУ ВШЭ, Москва",доктор философских наук,2021,https://www.hse.ru/staff/nkanaeva/,high,,к.филос.н. 1990 → д.филос.н. 2021 (ИФ РАН); доцент ВШЭ
PERS_ebb6d156,А. В. Ложкина,Ложкина Анастасия Витальевна,1989,,6,ИФ РАН,,,,,,
PERS_f5b8b340,Вигасин Алексей Алексеевич,Вигасин Алексей Алексеевич,1946,,5,ИСАА МГУ,доктор исторических наук,1995,"https://ru.wikipedia.org/wiki/Вигасин,_Алексей_Алексеевич",high,,проф. (1998); дисс. о социальной структуре Древней Индии
PERS_93e2effb,Комиссаров Дмитрий Алексеевич,Комиссаров Дмитрий Андреевич,1977,,5,"ИКВИА НИУ ВШЭ, Москва",,,,,,
PERS_0665f215,Шохин Владимир Кириллович,Шохин Владимир Кириллович,1950,,5,"ИФ РАН, Москва",доктор философских наук,,https://iphras.ru/shokhin.htm,high,,проф.; зав. сектором философии религии ИФ РАН
PERS_58b39545,Ренковская Евгения Алексеевна,Ренковская Евгения Алексеевна,,,5,"ИЯз РАН, ИВ РАН",,,,,,
PERS_3c202afd,Крапивина Раиса Николаевна,Крапивина Рада Нельсовна,1953,,4,ИВР РАН,,,,,,
PERS_4fff9d16,Минаева Маргарита Денисовна,Минаева Мария Дмитриевна,1999,,3,"ИКВИА НИУ ВШЭ, Москва",,,,,,
PERS_ced3d7b4,Молина Анна Вениаминовна,Молина Анна Валерьевна,1999,,3,"ИМЛИ РАН, Москва",,,,,,
PERS_cdbd7a15,C. В. Кулланда,Кулланда Сергей Всеволодович,1954,2020,2,ИВ РАН,,,,,,
PERS_6ae5c779,Фивейская А. В.,Фивейская Анастасия Васильевна,1993,,2,ИСАА МГУ,,,,,,
