person_id,total_talks,serialized_talks,serialization_pct,is_core_speaker
PERS_c52dfaa0,22,1,4.5,yes
PERS_f074f69f,20,0,0.0,yes
PERS_11da326d,20,0,0.0,yes
PERS_d98da899,19,0,0.0,yes
PERS_12125da9,16,0,0.0,yes
PERS_f2fef030,15,0,0.0,yes
PERS_40862f5e,15,1,6.7,yes
PERS_1fa7cc0c,14,1,7.1,yes
PERS_e1dd6b3e,13,0,0.0,yes
PERS_5228da95,13,0,0.0,yes
PERS_1a097e52,13,0,0.0,yes
PERS_e31ca12d,13,0,0.0,yes
PERS_003adcfe,12,0,0.0,yes
PERS_829c1de5,12,0,0.0,yes
PERS_6578b52d,12,0,0.0,yes
PERS_9374fd12,12,0,0.0,yes
PERS_3e105f43,12,0,0.0,yes
PERS_e9545a0b,12,0,0.0,yes
PERS_61202bf3,11,0,0.0,yes
PERS_56508328,11,0,0.0,yes
PERS_da862dde,11,0,0.0,yes
PERS_9a855a7b,10,1,10.0,yes
PERS_c48611e0,10,0,0.0,yes
PERS_8e117242,10,0,0.0,yes
PERS_41d6aa73,10,0,0.0,yes
PERS_92868e4f,10,1,10.0,yes
PERS_05d56645,10,0,0.0,yes
PERS_5ed752d9,9,1,11.1,yes
PERS_260a598a,9,0,0.0,yes
PERS_2fd442aa,9,0,0.0,yes
PERS_3357f25b,9,0,0.0,yes
PERS_5d324297,9,0,0.0,yes
PERS_a0264ac5,9,1,11.1,yes
PERS_3b196639,9,0,0.0,yes
PERS_ea44fd14,9,1,11.1,yes
PERS_e72d4c09,9,0,0.0,yes
PERS_36dabb79,8,1,12.5,yes
PERS_7542d270,8,0,0.0,yes
PERS_5d34c947,8,0,0.0,yes
PERS_fb25c80f,8,0,0.0,yes
PERS_db046be0,7,0,0.0,yes
PERS_72506535,7,0,0.0,yes
PERS_c5677a3f,7,0,0.0,yes
PERS_23215083,7,0,0.0,yes
PERS_9f398436,7,1,14.3,yes
PERS_0e0a154e,7,1,14.3,yes
PERS_1c6fcce5,7,0,0.0,yes
PERS_cfb92c5f,7,0,0.0,yes
PERS_50d73711,7,0,0.0,yes
PERS_efc88709,6,0,0.0,yes
PERS_8516d1e4,6,0,0.0,yes
PERS_d2559ba1,6,0,0.0,yes
PERS_f8ab5755,6,1,16.7,yes
PERS_ebb6d156,6,0,0.0,yes
PERS_287fe378,6,0,0.0,yes
