series,metric,point,ci_low,ci_high
Зограф,"Разовые, %",46.199,38.596,53.801
Зограф,"Удержание, %",53.801,46.199,61.404
Зограф,"Ядро ≥5, %",23.392,17.544,29.825
Зограф,Джини,0.465,0.432,0.489
Рерих,"Разовые, %",39.362,29.787,50.0
Рерих,"Удержание, %",60.638,50.0,70.213
Рерих,"Ядро ≥5, %",30.851,21.277,40.426
Рерих,Джини,0.466,0.425,0.492
