group,term,count,document_frequency,title_share_pct,per_1000_tokens
ALL,индия,187,181,13.41,23.38
ALL,текст,114,112,8.3,14.26
ALL,буддизм,96,95,7.04,12.0
ALL,традиция,76,76,5.63,9.5
ALL,санскрит,67,66,4.89,8.38
ALL,язык,63,61,4.52,7.88
ALL,философия,57,54,4.0,7.13
ALL,история,50,50,3.7,6.25
ALL,образ,49,49,3.63,6.13
ALL,литература,48,47,3.48,6.0
ALL,поэзия,46,46,3.41,5.75
ALL,тибет,40,39,2.89,5.0
ALL,тамильский,35,35,2.59,4.38
ALL,перевод,32,32,2.37,4.0
ALL,древнеиндийский,31,31,2.3,3.88
ALL,ведийский,31,31,2.3,3.88
ALL,средневековый,30,30,2.22,3.75
ALL,современный,30,29,2.15,3.75
ALL,контекст,29,29,2.15,3.63
ALL,источник,29,29,2.15,3.63
ALL,ритуал,28,28,2.07,3.5
ALL,будда,28,27,2.0,3.5
ALL,сюжет,27,27,2.0,3.38
ALL,древний,27,27,2.0,3.38
ALL,культура,26,26,1.93,3.25
ALL,новый,26,26,1.93,3.25
ALL,юрий_рерих,26,26,1.93,3.25
ALL,религия,24,24,1.78,3.0
ALL,бенгальский,24,24,1.78,3.0
ALL,миф,23,23,1.7,2.88
ALL,концепция,23,23,1.7,2.88
ALL,ранний,22,22,1.63,2.75
ALL,традиционный,22,22,1.63,2.75
ALL,коллекция,22,22,1.63,2.75
ALL,рамаяна,22,19,1.41,2.75
ALL,учение,21,21,1.56,2.63
ALL,пали,21,21,1.56,2.63
ALL,термин,20,20,1.48,2.5
ALL,канон,20,20,1.48,2.5
ALL,тантра,19,18,1.33,2.38
ALL,век,18,18,1.33,2.25
ALL,драма,18,16,1.19,2.25
ALL,представление,18,18,1.33,2.25
ALL,исток,18,18,1.33,2.25
ALL,ритуальный,18,18,1.33,2.25
ALL,культ,18,18,1.33,2.25
ALL,собрание,18,18,1.33,2.25
ALL,практика,17,17,1.26,2.13
ALL,пураны,17,17,1.26,2.13
ALL,хинди,16,16,1.19,2.0
ALL,трактат,16,16,1.19,2.0
ALL,махабхарат,16,16,1.19,2.0
ALL,этимология,16,16,1.19,2.0
ALL,два,16,16,1.19,2.0
ALL,поэма,15,15,1.11,1.88
ALL,ригведа,15,15,1.11,1.88
ALL,культурный,15,15,1.11,1.88
ALL,бог,15,13,0.96,1.88
ALL,семантика,15,15,1.11,1.88
ALL,классический,15,15,1.11,1.88
ALL,первый,15,15,1.11,1.88
ALL,китайский,15,15,1.11,1.88
ALL,понятие,15,15,1.11,1.88
ALL,теория,14,14,1.04,1.75
ALL,индуистский,14,14,1.04,1.75
ALL,индуизм,14,14,1.04,1.75
ALL,слово,14,14,1.04,1.75
ALL,мотив,14,14,1.04,1.75
ALL,абхинавагупта,14,14,1.04,1.75
ALL,мир,14,14,1.04,1.75
ALL,бхакти,14,14,1.04,1.75
ALL,васубандх,13,13,0.96,1.63
ALL,классификация,13,13,0.96,1.63
ALL,центральный,13,13,0.96,1.63
ALL,книга,13,13,0.96,1.63
ALL,комментарий,13,12,0.89,1.63
ALL,роман,13,13,0.96,1.63
ALL,минаев,13,13,0.96,1.63
ALL,рерих,13,13,0.96,1.63
ALL,параллель,13,13,0.96,1.63
ALL,русский,13,13,0.96,1.63
ALL,храм,13,13,0.96,1.63
ALL,изображение,12,12,0.89,1.5
ALL,школа,12,12,0.89,1.5
ALL,рукопись,12,12,0.89,1.5
ALL,начало,12,12,0.89,1.5
ALL,жизнь,12,12,0.89,1.5
ALL,сказание,12,12,0.89,1.5
ALL,эпос,12,12,0.89,1.5
ALL,надпись,12,12,0.89,1.5
ALL,искусство,12,12,0.89,1.5
ALL,непал,12,12,0.89,1.5
ALL,стиль,12,12,0.89,1.5
ALL,театр,12,12,0.89,1.5
ALL,формирование,12,12,0.89,1.5
ALL,сутра,12,12,0.89,1.5
ALL,обряд,12,12,0.89,1.5
ALL,время,11,11,0.81,1.38
ALL,речь,11,11,0.81,1.38
ALL,поэтический,11,11,0.81,1.38
ALL,тагор,11,11,0.81,1.38
ALL,эпический,11,11,0.81,1.38
ALL,описание,11,11,0.81,1.38
ALL,азия,11,11,0.81,1.38
ALL,кашмирский,11,11,0.81,1.38
ALL,лалитавистара,11,11,0.81,1.38
ALL,реконструкция,11,11,0.81,1.38
ALL,система,11,11,0.81,1.38
ALL,шива,11,11,0.81,1.38
ALL,знание,10,10,0.74,1.25
ALL,терминология,10,10,0.74,1.25
ALL,священный,10,10,0.74,1.25
ALL,панини,10,10,0.74,1.25
ALL,версия,10,10,0.74,1.25
ALL,восприятие,10,10,0.74,1.25
ALL,западный,10,10,0.74,1.25
ALL,восточный,10,10,0.74,1.25
ALL,происхождение,10,10,0.74,1.25
ALL,маэ_ран,10,10,0.74,1.25
ALL,ивр_ран,10,10,0.74,1.25
ALL,глава,10,10,0.74,1.25
ALL,прием,10,10,0.74,1.25
ALL,понимание,10,10,0.74,1.25
ALL,непальский,10,10,0.74,1.25
ALL,иконография,10,10,0.74,1.25
ALL,неварский,10,10,0.74,1.25
ALL,сознание,9,9,0.67,1.13
ALL,тантрический,9,9,0.67,1.13
ALL,богиня,9,9,0.67,1.13
ALL,жанр,9,9,0.67,1.13
ALL,царь,9,9,0.67,1.13
ALL,лексика,9,9,0.67,1.13
ALL,творчество,9,9,0.67,1.13
ALL,идея,9,9,0.67,1.13
ALL,бхартрихари,9,9,0.67,1.13
ALL,три,9,9,0.67,1.13
ALL,возможный,9,9,0.67,1.13
ALL,композиция,9,9,0.67,1.13
ALL,там,9,9,0.67,1.13
ALL,народный,9,9,0.67,1.13
ALL,бенгалия,9,9,0.67,1.13
ALL,развитие,9,9,0.67,1.13
ALL,человек,9,9,0.67,1.13
ALL,южная_индия,9,9,0.67,1.13
ALL,что,9,9,0.67,1.13
ALL,наука,9,9,0.67,1.13
ALL,шиваизм,9,9,0.67,1.13
ALL,южный,9,9,0.67,1.13
ALL,веданта,9,9,0.67,1.13
ALL,индоевропейский,9,9,0.67,1.13
ALL,танец,9,8,0.59,1.13
ALL,игра,9,9,0.67,1.13
ALL,форма,9,9,0.67,1.13
ALL,бхагавадгита,8,7,0.52,1.0
ALL,шанкара,8,8,0.59,1.0
ALL,символика,8,8,0.59,1.0
ALL,гимн,8,8,0.59,1.0
ALL,сакральный,8,8,0.59,1.0
ALL,диалект,8,7,0.52,1.0
ALL,возрождение,8,8,0.59,1.0
ALL,принцип,8,8,0.59,1.0
ALL,натьяшастр,8,8,0.59,1.0
ALL,ланка,8,8,0.59,1.0
ALL,грамматика,8,8,0.59,1.0
ALL,пространство,8,8,0.59,1.0
ALL,джатака,8,8,0.59,1.0
ALL,джайнский,8,8,0.59,1.0
ALL,взгляд,8,8,0.59,1.0
ALL,вишну,8,8,0.59,1.0
ALL,отражение,8,7,0.52,1.0
ALL,европейский,8,8,0.59,1.0
ALL,фольклор,8,8,0.59,1.0
ALL,предмет,8,8,0.59,1.0
ALL,категория,7,7,0.52,0.88
ALL,способ,7,7,0.52,0.88
ALL,упанишад,7,7,0.52,0.88
ALL,эволюция,7,7,0.52,0.88
ALL,дхарма,7,7,0.52,0.88
ALL,программа,7,7,0.52,0.88
ALL,изменение,7,7,0.52,0.88
ALL,часть,7,7,0.52,0.88
ALL,рождение,7,6,0.44,0.88
ALL,цикл,7,7,0.52,0.88
ALL,памятник,7,7,0.52,0.88
ALL,сравнительный,7,7,0.52,0.88
ALL,формула,7,7,0.52,0.88
ALL,храмовый,7,7,0.52,0.88
ALL,москва,7,7,0.52,0.88
ALL,социальный,7,7,0.52,0.88
ALL,йога,7,7,0.52,0.88
ALL,музей,7,6,0.44,0.88
ALL,архитектура,7,7,0.52,0.88
ALL,зал,7,7,0.52,0.88
ALL,концепт,7,7,0.52,0.88
ALL,народ,7,6,0.44,0.88
ALL,война,7,6,0.44,0.88
ALL,между,7,7,0.52,0.88
ALL,раннебуддийский,7,7,0.52,0.88
ALL,вода,7,6,0.44,0.88
ALL,проповедь,7,7,0.52,0.88
ALL,текстовый,7,7,0.52,0.88
ALL,функция,7,7,0.52,0.88
ALL,дискуссия,7,7,0.52,0.88
ALL,дискурс,7,7,0.52,0.88
ALL,метафора,7,6,0.44,0.88
ALL,божество,7,7,0.52,0.88
ALL,скульптура,7,7,0.52,0.88
ALL,калачакр-тантра,7,7,0.52,0.88
ALL,монгольский,7,7,0.52,0.88
ALL,родство,7,6,0.44,0.88
ALL,след,7,7,0.52,0.88
ALL,познание,6,6,0.44,0.75
ALL,лебедев,6,6,0.44,0.75
ALL,модель,6,6,0.44,0.75
ALL,христианский,6,6,0.44,0.75
ALL,содержание,6,6,0.44,0.75
ALL,передача,6,6,0.44,0.75
ALL,общество,6,6,0.44,0.75
ALL,абхидхарма,6,6,0.44,0.75
ALL,произведение,6,6,0.44,0.75
ALL,фольклорный,6,6,0.44,0.75
ALL,поэтика,6,6,0.44,0.75
ALL,средство,6,6,0.44,0.75
ALL,существование,6,5,0.37,0.75
ALL,письмо,6,6,0.44,0.75
ALL,артхашастр,6,6,0.44,0.75
ALL,реальность,6,6,0.44,0.75
ALL,зеркало,6,6,0.44,0.75
ALL,путь,6,6,0.44,0.75
ALL,символический,6,6,0.44,0.75
ALL,лингвистика,6,6,0.44,0.75
ALL,диаспора,6,6,0.44,0.75
ALL,маэ,6,6,0.44,0.75
ALL,иконографический,6,6,0.44,0.75
ALL,смысл,6,6,0.44,0.75
ALL,несколько,6,6,0.44,0.75
ALL,толкование,6,6,0.44,0.75
ALL,стихотворный,6,6,0.44,0.75
ALL,племя,6,6,0.44,0.75
ALL,мифология,6,6,0.44,0.75
ALL,мунда,6,6,0.44,0.75
ALL,рушдить,6,6,0.44,0.75
ALL,область,6,6,0.44,0.75
ALL,танка,6,5,0.37,0.75
ALL,элемент,6,6,0.44,0.75
ALL,картина,6,6,0.44,0.75
ALL,парадигма,6,6,0.44,0.75
ALL,легенда,6,6,0.44,0.75
ALL,ладакх,6,5,0.37,0.75
ALL,брахман,6,6,0.44,0.75
ALL,фонд,6,6,0.44,0.75
ALL,песня,6,5,0.37,0.75
ALL,кабинет,6,6,0.44,0.75
ALL,дравидология,6,6,0.44,0.75
ALL,вивекананда,6,6,0.44,0.75
ALL,куллуи,6,6,0.44,0.75
ALL,основа,5,5,0.37,0.63
ALL,фигура,5,5,0.37,0.63
ALL,предварительный,5,5,0.37,0.63
ALL,женский,5,5,0.37,0.63
ALL,эпизод,5,5,0.37,0.63
ALL,шиваитский,5,5,0.37,0.63
ALL,корень,5,5,0.37,0.63
ALL,герой,5,5,0.37,0.63
ALL,соотношение,5,5,0.37,0.63
ALL,строфа,5,5,0.37,0.63
ALL,мыслитель,5,5,0.37,0.63
ALL,персонаж,5,5,0.37,0.63
ALL,согласно,5,5,0.37,0.63
ALL,типология,5,5,0.37,0.63
ALL,предание,5,4,0.3,0.63
ALL,ордалия,5,5,0.37,0.63
ALL,антология,5,5,0.37,0.63
ALL,поздний,5,5,0.37,0.63
ALL,вакьяпадий,5,5,0.37,0.63
ALL,другой,5,5,0.37,0.63
ALL,влияние,5,5,0.37,0.63
ALL,религиозно-философский,5,5,0.37,0.63
ALL,доктрина,5,5,0.37,0.63
ALL,протоиндийский,5,5,0.37,0.63
ALL,царство,5,5,0.37,0.63
ALL,конец,5,5,0.37,0.63
ALL,японский,5,5,0.37,0.63
ALL,ив_ран,5,5,0.37,0.63
ALL,восток,5,5,0.37,0.63
ALL,натарадж,5,5,0.37,0.63
ALL,сборник,5,5,0.37,0.63
ALL,открытие,5,5,0.37,0.63
ALL,определение,5,5,0.37,0.63
ALL,ассам,5,5,0.37,0.63
ALL,живопись,5,5,0.37,0.63
ALL,япония,5,5,0.37,0.63
ALL,духовный,5,5,0.37,0.63
ALL,размер,5,5,0.37,0.63
ALL,глаз,5,5,0.37,0.63
ALL,освобождение,5,5,0.37,0.63
ALL,эпоха,5,5,0.37,0.63
ALL,британский,5,5,0.37,0.63
ALL,субъект,5,4,0.3,0.63
ALL,последний,5,5,0.37,0.63
ALL,раманудж,5,5,0.37,0.63
ALL,оберхаммер,5,5,0.37,0.63
ALL,живой,5,5,0.37,0.63
ALL,авалокитешвара,5,4,0.3,0.63
ALL,схема,5,5,0.37,0.63
ALL,ведды,5,5,0.37,0.63
ALL,пещерный,5,5,0.37,0.63
ALL,датировка,5,5,0.37,0.63
ALL,могольский,5,5,0.37,0.63
ALL,вастувидья,5,5,0.37,0.63
ALL,фрагмент,5,5,0.37,0.63
ALL,свет,5,5,0.37,0.63
ALL,стих,5,5,0.37,0.63
ALL,вариант,5,5,0.37,0.63
ALL,город,5,5,0.37,0.63
ALL,научный,5,5,0.37,0.63
ALL,труд,5,5,0.37,0.63
ALL,североиндийский,5,5,0.37,0.63
ALL,письменность,5,5,0.37,0.63
ALL,наследие,5,5,0.37,0.63
ALL,дигнагой,5,4,0.3,0.63
ALL,путешествие,5,5,0.37,0.63
ALL,свами,5,5,0.37,0.63
ALL,ганди,5,5,0.37,0.63
ALL,мантра,5,5,0.37,0.63
ALL,экспедиция,5,4,0.3,0.63
ALL,герменевтика,4,4,0.3,0.5
ALL,проза,4,4,0.3,0.5
ALL,опровержение,4,4,0.3,0.5
ALL,атомизм,4,4,0.3,0.5
ALL,взаимоотношение,4,4,0.3,0.5
ALL,замечание,4,4,0.3,0.5
ALL,сообщение,4,4,0.3,0.5
ALL,комплекс,4,4,0.3,0.5
ALL,дхармакиртеть,4,4,0.3,0.5
ALL,царский,4,4,0.3,0.5
ALL,рельеф,4,4,0.3,0.5
ALL,почитание,4,4,0.3,0.5
ALL,представитель,4,4,0.3,0.5
ALL,индоиранский,4,4,0.3,0.5
ALL,дополнение,4,4,0.3,0.5
ALL,деревня,4,4,0.3,0.5
ALL,рассказ,4,4,0.3,0.5
ALL,состав,4,4,0.3,0.5
ALL,махакавие,4,4,0.3,0.5
ALL,абхидхармакош,4,4,0.3,0.5
ALL,непосредственный,4,4,0.3,0.5
ALL,эпистемология,4,4,0.3,0.5
ALL,старый,4,4,0.3,0.5
ALL,кочевник,4,4,0.3,0.5
ALL,парс,4,4,0.3,0.5
ALL,воинский,4,4,0.3,0.5
ALL,сингал,4,4,0.3,0.5
ALL,животное,4,4,0.3,0.5
ALL,кабир,4,4,0.3,0.5
ALL,спбгу,4,4,0.3,0.5
ALL,зеленый,4,4,0.3,0.5
ALL,создание,4,4,0.3,0.5
ALL,методология,4,4,0.3,0.5
ALL,построение,4,4,0.3,0.5
ALL,каутилья,4,4,0.3,0.5
ALL,шастр,4,4,0.3,0.5
ALL,востоковед,4,4,0.3,0.5
ALL,посвящение,4,4,0.3,0.5
ALL,раджастхан,4,4,0.3,0.5
ALL,кали,4,4,0.3,0.5
ALL,герасим,4,4,0.3,0.5
ALL,когнитивный,4,4,0.3,0.5
ALL,археология,4,4,0.3,0.5
ALL,явление,4,4,0.3,0.5
ALL,обращение,4,4,0.3,0.5
ALL,ирландский,4,4,0.3,0.5
ALL,почетный,4,4,0.3,0.5
ALL,внутренний,4,4,0.3,0.5
ALL,действие,4,4,0.3,0.5
ALL,чтение,4,4,0.3,0.5
ALL,сказка,4,4,0.3,0.5
ALL,воплощение,4,4,0.3,0.5
ALL,глагольный,4,4,0.3,0.5
ALL,природа,4,4,0.3,0.5
ALL,символ,4,4,0.3,0.5
ALL,политика,4,4,0.3,0.5
ALL,колониальный,4,4,0.3,0.5
ALL,рабиндранат,4,4,0.3,0.5
ALL,через,4,4,0.3,0.5
ALL,россия,4,4,0.3,0.5
ALL,мира_баи,4,4,0.3,0.5
ALL,катманду,4,4,0.3,0.5
ALL,третий,4,4,0.3,0.5
ALL,сотериологический,4,4,0.3,0.5
ALL,буддология,4,4,0.3,0.5
ALL,заметка,4,4,0.3,0.5
ALL,сосуд,4,4,0.3,0.5
ALL,найти,4,4,0.3,0.5
ALL,загадка,4,4,0.3,0.5
ALL,варна,4,4,0.3,0.5
ALL,фон,4,4,0.3,0.5
ALL,майя,4,4,0.3,0.5
ALL,буддист,4,4,0.3,0.5
ALL,сотериология,4,4,0.3,0.5
ALL,этнографический,4,4,0.3,0.5
ALL,адивась,4,4,0.3,0.5
ALL,синтез,4,4,0.3,0.5
ALL,призма,4,4,0.3,0.5
ALL,кришна,4,4,0.3,0.5
ALL,художественный,4,4,0.3,0.5
ALL,инструмент,4,4,0.3,0.5
ALL,биография,4,3,0.22,0.5
ALL,изобразительный,4,4,0.3,0.5
ALL,мерварт,4,4,0.3,0.5
ALL,музыкальный,4,4,0.3,0.5
ALL,заимствование,4,4,0.3,0.5
ALL,орисса,4,4,0.3,0.5
ALL,современность,4,4,0.3,0.5
ALL,катхаваттх,4,4,0.3,0.5
ALL,намбить,4,2,0.15,0.5
ALL,канонический,4,4,0.3,0.5
ALL,кинематограф,4,4,0.3,0.5
ALL,основной,4,4,0.3,0.5
ALL,монастырь,4,4,0.3,0.5
ALL,парибхаша,4,4,0.3,0.5
ALL,словарь,4,4,0.3,0.5
ALL,судьба,4,4,0.3,0.5
ALL,таттвасанграха,4,4,0.3,0.5
ALL,код,4,4,0.3,0.5
ALL,день,4,3,0.22,0.5
ALL,смена,4,4,0.3,0.5
ALL,шраута-ритуал,4,4,0.3,0.5
ALL,мать,4,3,0.22,0.5
ALL,имперский,4,4,0.3,0.5
ALL,дипанкара,4,4,0.3,0.5
ALL,миниатюра,4,4,0.3,0.5
ALL,вальмик,4,4,0.3,0.5
ALL,жизненный,4,4,0.3,0.5
ALL,тантризм,4,4,0.3,0.5
ALL,сит,4,4,0.3,0.5
ALL,сериал,4,3,0.22,0.5
ALL,тело,4,3,0.22,0.5
ALL,поворот,4,4,0.3,0.5
ALL,огонь,4,4,0.3,0.5
ALL,актуальный,3,3,0.22,0.38
ALL,телугу,3,3,0.22,0.38
ALL,астрологический,3,3,0.22,0.38
ALL,акт,3,3,0.22,0.38
ALL,дерево,3,3,0.22,0.38
ALL,гималаи,3,3,0.22,0.38
ALL,вайшешик,3,3,0.22,0.38
ALL,синоним,3,3,0.22,0.38
ALL,завершать,3,3,0.22,0.38
ALL,калькутта,3,3,0.22,0.38
ALL,идеологический,3,3,0.22,0.38
ALL,вербальный,3,3,0.22,0.38
ALL,видеоматериал,3,3,0.22,0.38
ALL,каста,3,3,0.22,0.38
ALL,группа,3,3,0.22,0.38
ALL,жизнеописание,3,3,0.22,0.38
ALL,механизм,3,3,0.22,0.38
ALL,власть,3,3,0.22,0.38
ALL,специфический,3,3,0.22,0.38
ALL,характеристика,3,3,0.22,0.38
ALL,смерть,3,3,0.22,0.38
ALL,сочинение,3,3,0.22,0.38
ALL,вастувидие,3,3,0.22,0.38
ALL,дхармашастр,3,3,0.22,0.38
ALL,адвайта,3,3,0.22,0.38
ALL,семья,3,3,0.22,0.38
ALL,институт,3,3,0.22,0.38
ALL,птица,3,3,0.22,0.38
ALL,результат,3,3,0.22,0.38
ALL,калика-пурана,3,3,0.22,0.38
ALL,детский,3,3,0.22,0.38
ALL,центр,3,3,0.22,0.38
ALL,конференция,3,3,0.22,0.38
ALL,так,3,3,0.22,0.38
ALL,такой,3,3,0.22,0.38
ALL,факультет,3,3,0.22,0.38
ALL,ауд,3,3,0.22,0.38
