year,total_speakers,newcomers,newcomer_pct
2004,11,11,100.0
2006,25,20,80.0
2007,23,10,43.5
2010,11,4,36.4
2011,29,14,48.3
2012,30,12,40.0
2013,29,8,27.6
2014,37,8,21.6
2018,42,16,38.1
2019,47,9,19.1
2020,46,18,39.1
2021,45,5,11.1
2022,37,4,10.8
2023,14,2,14.3
2024,2,0,0.0
2025,56,11,19.6
2026,60,19,31.7
