metric,diff,ci_low,ci_high,excludes_zero,p_boot
"Ядро ≥5, п.п.",7.89,-3.62,19.41,нет,0.1796
"Удержание, п.п.",6.08,-6.36,18.54,нет,0.34
"Разовые, п.п.",-6.06,-18.73,6.55,нет,0.3434
Джини,0.01,-0.04,0.05,нет,0.7896
