approach,label,count,share_pct,zograf_count,roerich_count,top_terms,examples
language_system,языковедческий анализ,76,80.85,38,38,"язык, санскрит, этимология, Индия, Тибет, семантика, древнеиндийский, Юрий Рерих, ведийский, грамматика, Панини, хинди",Санскритское upa-śru-: «слышать» или «вслушиваться»? Об одном древнеиндийском способе гадания; Вытеснение согласного во избежание возникновения тяжелой группы трех шумных согласных в индоиранском; Санскритское письмо как последовательная фонетическая транскрипция
text_philology,филология текста,18,19.15,11,7,"текст, бенгальский, Индия, перевод, санскрит, реконструкция, контекст, ранний, хинди, традиционный, открытие, надпись",«Рассказ о рани Кетаки» Инш-алла Хана в контексте развития ранней прозы на хинди и урду; Образ Чайтаньи в традиционных бенгальских текстах; «Открытие Индии» сквозь призму традиционного текста: опыт мыслителей Бенгальского Возрождения
