person_id,display_name,session_betweenness,session_graph_degree,multi_person_sessions,total_participations,zograf,roerich,balance,series_attended
PERS_3d3b302d,Соболева Дарья Валерьевна,0.002327,15,3,3,3,0,1.0,zograf_only
PERS_088c4df7,Ю.Г. Атманова,0.002144,18,5,5,0,5,-1.0,roerich_only
PERS_28317057,Т. А. Дубянская,0.002129,17,3,3,3,0,1.0,zograf_only
PERS_0fd718a7,К. М. Воздиган,0.002093,37,3,3,3,0,1.0,zograf_only
PERS_6441d568,Соболева Елена Станиславовна,0.002006,15,3,3,3,0,1.0,zograf_only
PERS_9e9c9566,Лекарева Ева Павловна,0.002,11,2,2,2,0,1.0,zograf_only
PERS_f940c5b3,Г. В. Стрелкова,0.001973,16,3,3,3,0,1.0,zograf_only
PERS_3c7d41ac,М.С. Фомин,0.001929,18,4,4,0,4,-1.0,roerich_only
PERS_40375fef,А.К. Васильев,0.001771,14,3,3,0,3,-1.0,roerich_only
PERS_c6bbcef3,Битинайте Елена Алексеевна,0.00177,11,5,5,5,0,1.0,zograf_only
PERS_3074a8e5,Терентьев Андрей Анатольевич,0.001713,27,2,2,2,0,1.0,zograf_only
PERS_93e2effb,Комиссаров Дмитрий Алексеевич,0.001562,17,5,5,4,1,0.6,both
PERS_4fff9d16,Минаева Маргарита Денисовна,0.001479,12,3,3,1,2,-0.333,both
PERS_6e211759,Иванов Владимир Павлович,0.001325,17,4,4,4,0,1.0,zograf_only
PERS_db0a826b,И.Н. Комарова,0.001291,13,4,4,0,4,-1.0,roerich_only
PERS_cb52ebc2,Лемешкина Ксения Вячеславовна,0.001249,13,3,3,3,0,1.0,zograf_only
PERS_ced3d7b4,Молина Анна Вениаминовна,0.000929,13,3,3,1,2,-0.333,both
PERS_cca8f93d,В.М. Немчинов,0.000885,10,2,2,0,2,-1.0,roerich_only
PERS_18fcab2a,Блиндерман Радха Тимуровна,0.000851,6,2,2,2,0,1.0,zograf_only
PERS_cdbd7a15,C. В. Кулланда,0.000846,10,2,2,1,1,0.0,both
PERS_d218805b,В. Ю. Крюкова,0.000764,10,3,3,3,0,1.0,zograf_only
PERS_c31236d2,Ю. Е. Березкин,0.000714,22,2,2,2,0,1.0,zograf_only
PERS_5f6fa17b,А. М. Пахомова,0.000688,6,2,2,0,2,-1.0,roerich_only
PERS_45a76880,Д. А. Кораблин,0.00068,12,4,4,0,4,-1.0,roerich_only
PERS_10547db9,Б. В. Загуменнов,0.000657,15,2,2,2,0,1.0,zograf_only
PERS_310b2911,Толчельников Иван Евгеньевич,0.000473,6,2,2,2,0,1.0,zograf_only
PERS_b2c121e9,Е. Н. Успенская,0.000438,12,3,3,3,0,1.0,zograf_only
PERS_d4c2cc5e,Т.В. Лучина,0.000438,9,2,2,0,2,-1.0,roerich_only
PERS_e5a5ac24,С. Л. Невелева,0.000417,10,2,2,2,0,1.0,zograf_only
PERS_6ae5c779,Фивейская А. В.,0.000335,8,2,2,1,1,0.0,both
PERS_35c57654,Егорова Мария Александровна,0.000285,11,2,2,2,0,1.0,zograf_only
PERS_0a2e5f24,В.В. Тишин,0.000229,7,2,2,0,2,-1.0,roerich_only
PERS_37d557c2,Анисимова Дарья Дмитриевна,0.000221,10,2,2,2,0,1.0,zograf_only
PERS_7700f517,Д. О. Парамонов,0.00021,8,2,2,2,0,1.0,zograf_only
PERS_587b08ec,М.В. Леонов,0.000175,8,2,2,0,2,-1.0,roerich_only
PERS_52d3f72c,М.Б. Мейтарчиян,0.000172,6,2,2,0,2,-1.0,roerich_only
PERS_aebd34a2,А. И. Коган,0.00015,8,3,3,0,3,-1.0,roerich_only
PERS_b62a9567,А. Ю. Курочкин,0.000135,8,2,2,2,0,1.0,zograf_only
PERS_2c40b9b1,Н. В. Гуров,0.000116,9,2,2,2,0,1.0,zograf_only
PERS_50c46233,Маретина Ксения Александровна,5.6e-05,9,2,2,2,0,1.0,zograf_only
