term,early_df,late_df,early_title_share_pct,late_title_share_pct,log_odds_late_minus_early,z_score,trend
текст,67,43,10.08,6.27,-0.5119,-2.633,early
бхакти,1,13,0.15,1.9,2.1838,2.537,late
термин,16,4,2.41,0.58,-1.3488,-2.536,early
философия,18,36,2.71,5.25,0.6749,2.365,late
русский,1,11,0.15,1.6,2.0205,2.327,late
восприятие,9,1,1.35,0.15,-1.8891,-2.15,early
жанр,8,1,1.2,0.15,-1.7763,-2.006,early
царь,8,1,1.2,0.15,-1.7763,-2.006,early
коллекция,6,16,0.9,2.33,0.915,1.976,late
кашмирский,9,2,1.35,0.29,-1.3768,-1.937,early
описание,9,2,1.35,0.29,-1.3768,-1.937,early
стиль,9,2,1.35,0.29,-1.3768,-1.937,early
предмет,0,8,0.0,1.17,2.8139,1.934,late
концепция,16,7,2.41,1.02,-0.8336,-1.893,early
лалитавистара,2,9,0.3,1.31,1.3141,1.849,late
возрождение,7,1,1.05,0.15,-1.6496,-1.844,early
ланка,7,1,1.05,0.15,-1.6496,-1.844,early
символика,7,1,1.05,0.15,-1.6496,-1.844,early
след,0,7,0.0,1.02,2.6872,1.84,late
этимология,4,12,0.6,1.75,1.0022,1.823,late
лебедев,6,0,0.9,0.0,-2.6051,-1.775,early
легенда,6,0,0.9,0.0,-2.6051,-1.775,early
вивекананда,0,6,0.0,0.87,2.5427,1.733,late
куллуи,0,6,0.0,0.87,2.5427,1.733,late
родство,0,6,0.0,0.87,2.5427,1.733,late
ранний,15,7,2.26,1.02,-0.7696,-1.73,early
индия,79,102,11.88,14.87,0.2575,1.723,late
западный,2,8,0.3,1.17,1.2014,1.67,late
панини,2,8,0.3,1.17,1.2014,1.67,late
дхарма,6,1,0.9,0.15,-1.505,-1.661,early
изменение,6,1,0.9,0.15,-1.505,-1.661,early
изображение,9,3,1.35,0.44,-1.0388,-1.661,early
концепт,6,1,0.9,0.15,-1.505,-1.661,early
надпись,9,3,1.35,0.44,-1.0388,-1.661,early
