term_a,term_b,display_pair,cooccurrence_titles,pmi,term_a_df,term_b_df
реконструкция,текст,реконструкция текст,3,1.289,10,74
пураны,трактат,пураны трактат,3,3.195,11,10
поэма,тамильский,поэма тамильский,3,2.654,7,27
тамильский,язык,тамильский язык,3,0.862,27,42
будда,буддизм,Будда буддизм,3,0.831,18,65
два,текст,два текст,3,1.289,10,74
практика,теория,практика теория,3,2.933,13,11
литература,сюжет,литература сюжет,3,1.628,31,17
поэзия,средневековый,поэзия средневековый,3,1.278,34,22
москва,образ,Москва образ,3,1.82,15,29
москва,традиция,Москва традиция,3,1.217,15,53
ведийский,индия,ведийский Индия,3,0.172,19,119
терминология,язык,терминология язык,3,2.212,7,42
сюжет,традиция,сюжет традиция,3,1.092,17,53
буддизм,образ,буддизм образ,3,0.354,65,29
поэзия,язык,поэзия язык,3,0.631,34,42
ведийский,ритуал,ведийский ритуал,3,2.243,19,15
культура,текст,культура текст,3,0.758,17,74
буддизм,источник,буддизм источник,3,0.677,65,21
религия,текст,религия текст,3,0.819,16,74
перевод,русский,перевод русский,3,2.872,19,8
ритуал,традиция,ритуал традиция,3,1.217,15,53
индия,хинди,Индия хинди,3,0.551,119,13
мотив,образ,мотив образ,3,2.043,12,29
мотив,средневековый,мотив средневековый,3,2.319,12,22
образ,средневековый,образ средневековый,3,1.437,29,22
представление,пураны,представление пураны,3,3.1,11,11
индия,культ,Индия культ,3,0.551,119,13
семантика,этимология,семантика этимология,3,3.195,11,10
буддизм,москва,буддизм Москва,3,1.013,65,15
индия,москва,Индия Москва,3,0.408,119,15
история,москва,история Москва,3,1.786,30,15
комментарий,москва,комментарий Москва,3,2.789,11,15
комментарий,шанкара,комментарий Шанкара,3,3.552,11,7
