entity,year,count
Бхагавад-гита,2007,1
Бхагавад-гита,2008,2
Бхагавад-гита,2009,40
Бхагавад-гита,2010,37
Бхагавад-гита,2011,169
Бхагавад-гита,2012,17
Бхагавад-гита,2013,30
Бхагавад-гита,2014,4
Бхагавад-гита,2015,55
Бхагавад-гита,2016,11
Бхагавад-гита,2017,28
Бхагавад-гита,2018,3
Бхагавад-гита,2019,4
Бхагавад-гита,2020,20
Бхагавад-гита,2021,26
Бхагавад-гита,2022,6
Бхагавад-гита,2023,2
Бхагавад-гита,2024,12
Бхагавад-гита,2025,5
Бхагавад-гита,2026,6
Махабхарата,2007,4
Махабхарата,2008,5
Махабхарата,2009,6
Махабхарата,2010,6
Махабхарата,2011,4
Махабхарата,2012,1
Махабхарата,2013,11
Махабхарата,2014,10
Махабхарата,2015,9
Махабхарата,2016,4
Махабхарата,2017,13
Махабхарата,2018,13
Махабхарата,2019,17
Махабхарата,2020,4
Махабхарата,2021,30
Махабхарата,2022,14
Махабхарата,2023,5
Махабхарата,2024,38
Махабхарата,2025,51
Махабхарата,2026,8
Patañjali,2007,10
Patañjali,2008,1
Patañjali,2009,15
Patañjali,2010,8
Patañjali,2012,108
Patañjali,2014,18
Patañjali,2015,6
Patañjali,2017,1
Patañjali,2018,1
Patañjali,2019,1
Patañjali,2020,7
Patañjali,2021,18
Patañjali,2023,5
Patañjali,2024,1
Patañjali,2025,40
Patañjali,2026,2
Delhi,2007,10
Delhi,2008,3
Delhi,2009,2
Delhi,2010,5
Delhi,2011,2
Delhi,2012,1
Delhi,2013,6
Delhi,2015,5
Delhi,2018,4
Delhi,2019,1
Delhi,2020,1
Delhi,2021,1
Delhi,2022,4
Delhi,2023,6
Delhi,2024,3
Delhi,2025,4
Delhi,2026,6
Рамаяна,2010,2
Рамаяна,2011,1
Рамаяна,2012,2
Рамаяна,2013,1
Рамаяна,2014,6
Рамаяна,2015,5
Рамаяна,2016,3
Рамаяна,2017,3
Рамаяна,2019,4
Рамаяна,2020,6
Рамаяна,2021,2
Рамаяна,2022,16
Рамаяна,2023,7
Рамаяна,2024,2
Рамаяна,2025,12
Рамаяна,2026,8
Ригведа,2007,10
Ригведа,2008,2
Ригведа,2009,6
Ригведа,2010,7
Ригведа,2011,7
Ригведа,2012,1
Ригведа,2013,9
Ригведа,2014,7
Ригведа,2015,99
Ригведа,2016,8
Ригведа,2017,7
Ригведа,2018,1
Ригведа,2019,5
Ригведа,2020,3
Ригведа,2021,20
Ригведа,2022,3
Ригведа,2023,3
Ригведа,2024,6
Ригведа,2025,14
Ригведа,2026,1
Упанишады,2009,2
Упанишады,2010,4
Упанишады,2011,1
Упанишады,2012,8
Упанишады,2013,5
Упанишады,2014,8
Упанишады,2015,21
Упанишады,2016,19
Упанишады,2017,8
Упанишады,2018,12
Упанишады,2019,7
Упанишады,2020,12
Упанишады,2021,11
Упанишады,2022,17
Упанишады,2023,29
Упанишады,2024,10
Упанишады,2025,10
Упанишады,2026,1
Pāṇini,2007,21
Pāṇini,2008,9
Pāṇini,2009,26
Pāṇini,2010,87
Pāṇini,2011,46
Pāṇini,2012,13
Pāṇini,2013,11
Pāṇini,2014,30
