gm_thrid,primary,parent,entities,n_messages,year
7613106803991117824,текст,тексты,Бхагавад-гита,2,2026
7609923889768955904,текст,тексты,Махабхарата,3,2026
7649130589148151808,разное,прочее,,3,2026
7602705797252907008,учебник,грамматика,,1,2026
7626815735483858944,учебник,грамматика,,1,2026
7628700943256649728,сандхи_фонетика,грамматика,,1,2026
7601152279555604480,текст,тексты,,1,2026
7626045936196648960,текст,тексты,Patañjali,1,2026
7606680107192680448,курс_практикум,организация_группы,,1,2026
7617845033182429184,текст,тексты,,1,2026
7601530846226415616,сравнительное_языкознание,лексикография,,1,2026
7621243554799550464,учебник,грамматика,,1,2026
7607808478783995904,книга,книги_и_раздача,,2,2026
7617000885823995904,этимология,лексикография,,2,2026
7604191170548203520,индия_путешествие,история_и_культура,,2,2026
7652457730867724288,книга,книги_и_раздача,Delhi,3,2026
7611621705349332992,курс_практикум,организация_группы,,1,2026
7615540441020104704,разное,прочее,,1,2026
7633552297745711104,разное,прочее,,3,2026
7603361207867670528,словарь,лексикография,,1,2026
7606035800645435392,книга,книги_и_раздача,,1,2026
7613784195924492288,текст,тексты,Рамаяна,3,2026
7660920743346044928,книга,книги_и_раздача,Рамаяна,1,2026
7642192231277789184,книга,книги_и_раздача,,1,2026
7607746255883599872,сандхи_фонетика,грамматика,,1,2026
7605972110296481792,курс_практикум,организация_группы,,1,2026
7606647587258499072,разное,прочее,,3,2026
7606050398239981568,текст,тексты,,1,2026
7654957032689106944,индия_путешествие,история_и_культура,,1,2026
7610031836466511872,разное,прочее,,1,2026
7618241065259106304,разное,прочее,,1,2026
7638606286484930560,учебник,грамматика,Delhi|Махабхарата|Рамаяна|Ригведа|Упанишады,1,2026
7647959311335817216,учебник,грамматика,Бхагавад-гита,1,2026
7654595754394124288,книга,книги_и_раздача,Pāṇini,1,2026
7606752319761285120,учебник,грамматика,,1,2026
7606723662705590272,книга,книги_и_раздача,Delhi,1,2026
7615971359922847744,словарь,лексикография,,1,2026
7607806386289770496,курс_практикум,организация_группы,,1,2026
7634768052178911232,книга,книги_и_раздача,,1,2026
7656500518864289792,спряжение_глагол,грамматика,,1,2026
7613459506592219136,книга,книги_и_раздача,,1,2026
7615708436047593472,учебник,грамматика,Pāṇini,1,2026
7612590501847367680,словарь,лексикография,Махабхарата,1,2026
7609246041838190592,курс_практикум,организация_группы,,1,2026
7617173414297468928,текст,тексты,,1,2026
7624927836381380608,словарь,лексикография,,1,2026
7625553495888756736,разное,прочее,,1,2026
7605587226428178432,сайт,инструменты,,1,2026
7618608539914731520,курс_практикум,организация_группы,Pāṇini|Йога-Васиштха,2,2026
7653401877290156032,словарь,лексикография,,1,2026
7633691041382531072,книга,книги_и_раздача,,3,2026
7616635124122124288,индия_путешествие,история_и_культура,Delhi,1,2026
7625717681387208704,текст,тексты,,1,2026
7643813383546863616,учебник,грамматика,Delhi|Moscow|Pāṇini|Saint Petersburg|Панчатантра,2,2026
7612161134015021056,текст,тексты,Рамаяна,1,2026
7607010003448233984,разное,прочее,,1,2026
7618167071049777152,сандхи_фонетика,грамматика,,1,2026
7616055690560274432,курс_практикум,организация_группы,,1,2026
7646802796158648320,курс_практикум,организация_группы,,2,2026
7645799407947874304,стотра_гимн,тексты,,1,2026
7641427165075996672,учебник,грамматика,Бхагавад-гита,2,2026
7619611862904078336,словарь,лексикография,GitHub,6,2026
7622567570918342656,склонение_падеж,грамматика,,2,2026
7649711943791411200,словарь,лексикография,,1,2026
7610079120446193664,учебник,грамматика,,1,2026
7614583745898610688,курс_практикум,организация_группы,,1,2026
7653030776495144960,книга,книги_и_раздача,,1,2026
7613734672585981952,учебник,грамматика,,1,2026
7650916301606486016,текст,тексты,Patañjali,1,2026
7625219255491887104,словарь,лексикография,,1,2026
7603090060257263616,корпус_данные,инструменты,,1,2026
7624913587623952384,комментарии_ачарьи,тексты,,1,2026
7612607859021316096,учебник,грамматика,,1,2026
7655289766872612864,этимология,лексикография,,1,2026
7631990572252659712,разное,прочее,GitHub,4,2026
7629462812179300352,синтаксис,грамматика,Махабхарата,3,2026
7615229467416330240,шрифт,инструменты,,1,2026
7656394853284052992,сандхи_фонетика,грамматика,,1,2026
7609317596004876288,сайт,инструменты,Ferdinand Knauer,1,2026
7623089050371489792,сайт,инструменты,,1,2026
7647811884633030656,книга,книги_и_раздача,,1,2026
7618181946026229760,словарь,лексикография,Moscow,1,2026
7614552397317144576,разное,прочее,,1,2026
7613371157506424832,книга,книги_и_раздача,,1,2026
7610163214027849728,курс_практикум,организация_группы,,2,2026
7620376321386872832,учебник,грамматика,,1,2026
7610138799434104832,словарь,лексикография,Saint Petersburg,1,2026
7627487850060054528,сайт,инструменты,Andrey Zaliznyak|GitHub,1,2026
7606072616940470272,учебник,грамматика,,1,2026
7632031861678538752,учебник,грамматика,,1,2026
7655557773345685504,словарь,лексикография,Monier-Williams,3,2026
7643804906626744320,сайт,инструменты,,1,2026
7620384729580175360,метрика_чхандас,грамматика,,1,2026
7628282281304522752,разное,прочее,,1,2026
7658195293556441088,учебник,грамматика,,1,2026
7607385698123907072,словарь,лексикография,Moscow,1,2026
7645272310164750336,курс_практикум,организация_группы,Delhi|Varanasi|Махабхарата,3,2026
7659050823892074496,текст,тексты,,1,2026
7620785157456265216,учебник,грамматика,,1,2026
7551498335788466176,программа_приложение,инструменты,,1,2025
7545867626226909184,курс_практикум,организация_группы,,1,2025
7577053148115632128,текст,тексты,,1,2025
7584851597913489408,учебник,грамматика,Бхагавад-гита|Махабхарата|Упанишады,1,2025
7556156149647540224,индия_путешествие,история_и_культура,,1,2025
7558497123926278144,стотра_гимн,тексты,,1,2025
7571025412059299840,учебник,грамматика,,1,2025
7559137913055739904,разное,прочее,,1,2025
7585615923714719744,текст,тексты,Rudolph Roth|Махабхарата,4,2025
7595523704720719872,разное,прочее,,1,2026
7580788217201295360,шрифт,инструменты,,1,2025
7558817959163985920,книга,книги_и_раздача,,1,2025
7547745804524453888,учебник,грамматика,Йога-Васиштха|Махабхарата,2,2025
7572921509503565824,разное,прочее,,3,2025
7583438958150811648,текст,тексты,Махабхарата,4,2025
7553292565397635072,учебник,грамматика,,1,2025
7571379228812247040,курс_практикум,организация_группы,,1,2025
7586704591254716416,астрология,прочее,Йога-Васиштха,2,2025
7594004619560222720,разное,прочее,,1,2026
7562503711298158592,словарь,лексикография,Wikipedia,4,2025
7592292833578450944,учебник,грамматика,,1,2026
7598627216411328512,учебник,грамматика,,1,2026
7542148687217033216,индия_путешествие,история_и_культура,,1,2025
7574362710893133824,учебник,грамматика,Patañjali,1,2025
7599649496795971584,текст,тексты,Рамаяна,1,2026
7562200400302964736,разное,прочее,,18,2025
7557415504243064832,панини,грамматика,Patañjali,1,2025
7584124684814254080,разное,прочее,,1,2025
7562950208983662592,йога_васиштха,тексты,,1,2025
7560736019274792960,словарь,лексикография,,1,2025
7575511223883530240,астрология,прочее,Patañjali|Махабхарата,1,2025
7597112753069752320,текст,тексты,Бхагавад-гита,1,2026
7566571809093451776,терминология,лексикография,,1,2025
7595241510721814528,книга,книги_и_раздача,,1,2026
7583328417177665536,текст,тексты,Махабхарата,1,2025
7552826597734088704,комментарии_ачарьи,тексты,,1,2025
7581396577702379520,текст,тексты,,1,2025
7584364916367163392,программа_приложение,инструменты,Moscow,1,2025
7574039814624772096,спряжение_глагол,грамматика,Delhi|Moscow,2,2025
7563687271491174400,разное,прочее,Moscow,16,2025
7598574761349742592,учебник,грамматика,,1,2026
7582997874958401536,текст,тексты,Saint Petersburg,1,2025
7578681336838225920,синтаксис,грамматика,,1,2025
7587804894273208320,программа_приложение,инструменты,DCS|Махабхарата,5,2025
7574159350665576448,текст,тексты,,2,2025
7580481064907309056,текст,тексты,Махабхарата,4,2025
7597377802987372544,программа_приложение,инструменты,,1,2026
7542510419545423872,панини,грамматика,,1,2025
7562094437225988096,текст,тексты,,7,2025
7574850635144626176,этимология,лексикография,,1,2025
7584893723140423680,курс_практикум,организация_группы,,1,2025
7591812113140547584,учебник,грамматика,,1,2026
7582698741648326656,текст,тексты,,1,2025
7600823615049695232,текст,тексты,Рамаяна,1,2026
7592972836061315072,шрифт,инструменты,,1,2026
7587420257945387008,учебник,грамматика,Andrey Zaliznyak|Moscow|Pāṇini|Saint Petersburg,1,2025
7558010492108668928,курс_практикум,организация_группы,,1,2025
7545142330536230912,учебник,грамматика,,1,2025
7554372301740834816,панини,грамматика,Pāṇini,1,2025
7552822003419316224,книга,книги_и_раздача,,1,2025
7589282364753182720,книга,книги_и_раздача,,1,2025
7600739138581561344,книга,книги_и_раздача,Saint Petersburg,1,2026
7558800888187322368,книга,книги_и_раздача,,1,2025
7580670514126913536,текст,тексты,Delhi|Бхагавад-гита,1,2025
7600407117529350144,текст,тексты,,1,2026
7563003482238615552,учебник,грамматика,Pāṇini|Йога-Васиштха|Махабхарата,1,2025
7553673586863505408,курс_практикум,организация_группы,,2,2025
7599668893232136192,курс_практикум,организация_группы,,1,2026
7588545324746014720,книга,книги_и_раздача,,1,2025
7571128746366730240,курс_практикум,организация_группы,,1,2025
7542896041468624896,шрифт,инструменты,,1,2025
7555024979003179008,книга,книги_и_раздача,,1,2025
7573677694529830912,разное,прочее,,1,2025
7555870167702437888,стотра_гимн,тексты,,1,2025
7554051263193677824,учебник,грамматика,,1,2025
7588798356508377088,текст,тексты,Махабхарата,1,2025
7575482488023154688,корпус_данные,инструменты,,1,2025
7589317714041110528,разное,прочее,,1,2025
7558516523233443840,разное,прочее,,1,2025
7556636756763738112,текст,тексты,Ригведа,1,2025
7597405729780137984,текст,тексты,Бхагавад-гита,1,2026
7560734344748204032,шрифт,инструменты,Moscow,1,2025
7585876987847114752,книга,книги_и_раздача,,1,2025
7559606396909518848,учебник,грамматика,,1,2025
7597727352828723200,учебник,грамматика,,1,2026
7578104167691976704,текст,тексты,Бхагавад-гита,1,2025
7547731415043932160,учебник,грамматика,,1,2025
7563202942241603584,разное,прочее,,3,2025
7550326756838735872,учебник,грамматика,,1,2025
7593408670676811776,шрифт,инструменты,,1,2026
7545461498615693312,учебник,грамматика,Delhi|Varanasi|Махабхарата,1,2025
7575483935642091520,книга,книги_и_раздача,Moscow|Махабхарата,1,2025
7549807258044989440,панини,грамматика,Patañjali,1,2025
7559223042491023360,словарь,лексикография,Georg Bühler,1,2025
7559653152867221504,словарь,лексикография,Махабхарата,1,2025
7557412553534472192,учебник,грамматика,Pāṇini|Аштадхьяи,1,2025
7553527772180643840,программа_приложение,инструменты,Moscow,1,2025
7582554429060022272,pdf,инструменты,,1,2025
7549153950333665280,учебник,грамматика,,1,2025
7499461196100141056,учебник,грамматика,Andrey Zaliznyak|Pāṇini,2,2025
7511370097307418624,стотра_гимн,тексты,,1,2025
7496370827860901888,учебник,грамматика,,2,2025
7488800040053374976,книга,книги_и_раздача,,1,2025
7494958863480782848,словообразование_сложные_слова,грамматика,,6,2025
7510241460877262848,разное,прочее,,5,2025
7491848032333332480,словарь,лексикография,,4,2025
7495478256779395072,разное,прочее,Pāṇini|Махабхарата|Рамаяна,7,2025
7513149172647723008,учебник,грамматика,,1,2025
7496837563529822208,разное,прочее,,2,2025
7507133449311879168,словарь,лексикография,Упанишады,1,2025
7519073703556022272,словарь,лексикография,,1,2025
7496356450150645760,разное,прочее,,1,2025
7516044839820984320,разное,прочее,,1,2025
7520242601611493376,спряжение_глагол,грамматика,,1,2025
7513144890168967168,словарь,лексикография,,2,2025
7502663407403794432,разное,прочее,,2,2025
7538699383174332416,индия_путешествие,история_и_культура,,1,2025
7536619770797359104,панини,грамматика,Pāṇini|Ригведа,1,2025
7504377942804267008,разное,прочее,,1,2025
7504938292548206592,учебник,грамматика,,1,2025
7541703781417746432,традиция_философия,история_и_культура,,1,2025
7514027467696242688,учебник,грамматика,,1,2025
7511463500854591488,разное,прочее,Аштадхьяи,6,2025
7518011080173420544,спряжение_глагол,грамматика,,2,2025
7520384891754643456,разное,прочее,,1,2025
7538458756630183936,учебник,грамматика,Andrey Zaliznyak,1,2025
7533204507975483392,курс_практикум,организация_группы,Delhi|Moscow,1,2025
7534251438251180032,словарь,лексикография,Patañjali|Pāṇini,1,2025
7513116514287878144,учебник,грамматика,,1,2025
7534252451654795264,словарь,лексикография,Georg Bühler|Tatyana Elizarenkova,1,2025
7493814983669579776,книга,книги_и_раздача,,1,2025
7535513797398626304,учебник,грамматика,,1,2025
7521650589924589568,словарь,лексикография,,4,2025
7508330629159714816,текст,тексты,Пураны,3,2025
7513090018537111552,учебник,грамматика,Śaṅkara|Бхагавад-гита,1,2025
7518781131369480192,спряжение_глагол,грамматика,,1,2025
7493792641799159808,учебник,грамматика,,1,2025
7505410564200333312,разное,прочее,,1,2025
7500241912150884352,астрология,прочее,,1,2025
7488608406951952384,сравнительное_языкознание,лексикография,,1,2025
7530331133879255040,книга,книги_и_раздача,Saint Petersburg,1,2025
7511026707852165120,сандхи_фонетика,грамматика,Pāṇini|Аштадхьяи,9,2025
7518778895854731264,словарь,лексикография,,1,2025
7510102232850759680,текст,тексты,Рамаяна,1,2025
7515830426272792576,книга,книги_и_раздача,,3,2025
7506635951234351104,словарь,лексикография,Махабхарата,1,2025
7487620197133582336,стотра_гимн,тексты,,1,2025
7488640234181099520,шрифт,инструменты,,1,2025
7540317780602519552,словарь,лексикография,Patañjali,1,2025
7503578413960003584,разное,прочее,,1,2025
7500624460451414016,книга,книги_и_раздача,,1,2025
7516507736933138432,индия_путешествие,история_и_культура,,3,2025
7497986565071699968,персона_ученый,история_и_культура,Andrey Zaliznyak|Pāṇini,2,2025
7536291160793284608,текст,тексты,,1,2025
7541472770335440896,учебник,грамматика,Pāṇini,1,2025
7510629069807943680,разное,прочее,,1,2025
7505657770627039232,словарь,лексикография,Махабхарата,6,2025
7510558089014149120,словарь,лексикография,,1,2025
7530329243219132416,корпус_данные,инструменты,,1,2025
