entity,type,count
Pāṇini,person,636
Бхагавад-гита,text,478
Йога-Васиштха,text,355
Apte Practical Sanskrit-English Dictionary,dict,284
Vaman Shivram Apte,person,283
Махабхарата,text,253
Rapidshare,tool,249
Patañjali,person,242
Ригведа,text,219
Wikipedia,tool,196
Monier-Williams,dict,187
Упанишады,text,185
Moscow,place,176
Ferdinand Knauer,person,157
Grosses Petersburger Wörterbuch,dict,135
Otto Böhtlingk,person,134
Andrey Zaliznyak,person,129
Пураны,text,114
Georg Bühler,person,112
Аштадхьяи,text,103
Рамаяна,text,80
Śaṅkara,person,75
Saint Petersburg,place,74
Tatyana Elizarenkova,person,70
Varanasi,place,66
Dropbox,tool,65
Delhi,place,64
GitHub,tool,61
Wilson Sanskrit-English Dictionary,dict,52
Rudolph Roth,person,50
Harvard-Kyoto,tool,43
ITRANS,tool,43
Horace Hayman Wilson,person,33
DCS,tool,29
Дхатупатха,text,26
SLP1,tool,23
Arthur Macdonell,person,23
Macdonell Sanskrit-English Dictionary,dict,23
Vācaspatyam,dict,21
Панчатантра,text,18
Wörterbuch zum Rig-Veda,dict,14
Pune,place,13
Hermann Grassmann,person,12
Kātyāyana,person,9
Velthuis,tool,9
Sanskrit-Wörterbuch in kürzerer Fassung,dict,8
Cappeller Sanskrit-English Dictionary,dict,6
Amarakosha,dict,6
Śabdakalpadruma,dict,6
Carl Cappeller,person,4
Vrindavan,place,2
Unicode Devanagari,tool,1
