tag,year,count
словарь,2006,1
словарь,2007,195
словарь,2008,70
словарь,2009,58
словарь,2010,64
словарь,2011,204
словарь,2012,83
словарь,2013,205
словарь,2014,199
словарь,2015,570
словарь,2016,168
словарь,2017,125
словарь,2018,112
словарь,2019,253
словарь,2020,229
словарь,2021,112
словарь,2022,40
словарь,2023,49
словарь,2024,91
словарь,2025,111
словарь,2026,20
учебник,2005,1
учебник,2006,2
учебник,2007,75
учебник,2008,63
учебник,2009,59
учебник,2010,96
учебник,2011,235
учебник,2012,74
учебник,2013,90
учебник,2014,60
учебник,2015,312
учебник,2016,109
учебник,2017,116
учебник,2018,180
учебник,2019,141
учебник,2020,40
учебник,2021,79
учебник,2022,66
учебник,2023,66
учебник,2024,97
учебник,2025,115
учебник,2026,29
книга,2007,71
книга,2008,31
книга,2009,54
книга,2010,63
книга,2011,224
книга,2012,48
книга,2013,154
книга,2014,123
книга,2015,290
книга,2016,87
книга,2017,86
книга,2018,100
книга,2019,103
книга,2020,79
книга,2021,133
книга,2022,100
книга,2023,98
книга,2024,81
книга,2025,96
книга,2026,28
pdf,2007,151
pdf,2008,29
pdf,2009,18
pdf,2010,49
pdf,2011,40
pdf,2012,14
pdf,2013,72
pdf,2014,94
pdf,2015,66
pdf,2016,18
pdf,2017,24
pdf,2018,14
pdf,2019,14
pdf,2020,6
pdf,2021,28
pdf,2022,14
pdf,2023,5
pdf,2024,14
pdf,2025,14
сайт,2007,12
сайт,2008,21
сайт,2009,29
сайт,2010,37
сайт,2011,15
сайт,2012,21
сайт,2013,68
сайт,2014,81
сайт,2015,98
сайт,2016,42
сайт,2017,33
сайт,2018,37
сайт,2019,56
сайт,2020,35
сайт,2021,31
сайт,2022,41
сайт,2023,22
сайт,2024,40
сайт,2025,32
сайт,2026,14
шрифт,2005,2
шрифт,2006,2
шрифт,2007,124
шрифт,2008,55
шрифт,2009,66
шрифт,2010,79
шрифт,2011,76
шрифт,2012,63
шрифт,2013,291
шрифт,2014,41
шрифт,2015,175
шрифт,2016,127
шрифт,2017,78
шрифт,2018,96
шрифт,2019,56
шрифт,2020,25
шрифт,2021,53
шрифт,2022,20
шрифт,2023,43
шрифт,2024,56
шрифт,2025,40
шрифт,2026,16
астрология,2008,1
астрология,2009,1
астрология,2010,1
астрология,2011,1
астрология,2012,1
астрология,2013,1
астрология,2014,2
астрология,2015,1
астрология,2016,2
астрология,2017,6
астрология,2019,2
астрология,2020,9
астрология,2021,5
астрология,2022,2
астрология,2024,7
астрология,2025,11
астрология,2026,3
текст,2007,39
текст,2008,32
текст,2009,123
текст,2010,133
текст,2011,363
текст,2012,211
текст,2013,127
текст,2014,148
текст,2015,644
текст,2016,120
текст,2017,213
текст,2018,302
текст,2019,266
текст,2020,248
текст,2021,344
текст,2022,132
текст,2023,185
текст,2024,158
текст,2025,206
текст,2026,43
разное,2005,4
разное,2006,5
разное,2007,360
разное,2008,133
разное,2009,89
разное,2010,168
разное,2011,194
разное,2012,167
разное,2013,195
разное,2014,240
разное,2015,544
разное,2016,273
разное,2017,220
разное,2018,231
разное,2019,289
разное,2020,186
разное,2021,195
разное,2022,120
разное,2023,99
разное,2024,146
разное,2025,127
разное,2026,22
