topic,entity,count
текст,Бхагавад-гита,323
словарь,Apte Practical Sanskrit-English Dictionary,284
словарь,Vaman Shivram Apte,283
панини,Pāṇini,222
учебник,Pāṇini,207
словарь,Monier-Williams,184
йога_васиштха,Йога-Васиштха,177
словарь,Grosses Petersburger Wörterbuch,135
словарь,Otto Böhtlingk,129
словарь,Georg Bühler,112
текст,Махабхарата,107
текст,Упанишады,107
словарь,Ferdinand Knauer,101
pdf,Rapidshare,99
словарь,Pāṇini,68
текст,Пураны,65
книга,Бхагавад-гита,61
обмен_файлами,Rapidshare,58
текст,Ригведа,57
книга,Pāṇini,56
панини,Patañjali,55
словарь,Махабхарата,51
стотра_гимн,Ригведа,49
текст,Йога-Васиштха,45
текст,Рамаяна,42
словарь,Wikipedia,42
разное,Patañjali,42
словарь,Wilson Sanskrit-English Dictionary,41
словарь,Rapidshare,41
учебник,Бхагавад-гита,38
учебник,Andrey Zaliznyak,38
учебник,Moscow,37
словарь,GitHub,37
словарь,Йога-Васиштха,35
текст,Patañjali,34
словарь,Бхагавад-гита,32
словарь,Moscow,31
книга,Moscow,31
текст,Pāṇini,31
словарь,Saint Petersburg,29
учебник,Patañjali,27
книга,Махабхарата,25
текст,Wikipedia,25
разное,Wikipedia,24
словарь,Horace Hayman Wilson,24
учебник,Йога-Васиштха,23
словарь,Rudolph Roth,23
словарь,Упанишады,23
учебник,Махабхарата,22
сайт,GitHub,22
разное,Moscow,22
словарь,Arthur Macdonell,22
словарь,Macdonell Sanskrit-English Dictionary,22
шрифт,ITRANS,22
учебник,Rapidshare,22
учебник,Ригведа,21
словарь,Patañjali,21
панини,Аштадхьяи,21
словарь,Andrey Zaliznyak,21
словарь,Пураны,21
словарь,Ригведа,21
текст,Śaṅkara,20
книга,Patañjali,20
персона_ученый,Andrey Zaliznyak,20
шрифт,Wikipedia,20
учебник,Wikipedia,20
книга,Wikipedia,19
книга,Йога-Васиштха,19
словарь,Vācaspatyam,18
учебник,Tatyana Elizarenkova,18
словарь,Dropbox,18
книга,Упанишады,17
шрифт,Harvard-Kyoto,17
учебник,Упанишады,16
учебник,Delhi,16
книга,Saint Petersburg,16
панини,Йога-Васиштха,16
словарь,Аштадхьяи,15
учебник,Ferdinand Knauer,15
персона_ученый,Ferdinand Knauer,15
персона_ученый,Tatyana Elizarenkova,15
разное,Аштадхьяи,14
книга,Andrey Zaliznyak,14
pdf,Dropbox,14
pdf,Дхатупатха,14
словарь,Рамаяна,13
книга,Пураны,13
сайт,Pāṇini,13
разное,Harvard-Kyoto,13
книга,Рамаяна,12
учебник,Saint Petersburg,12
учебник,Аштадхьяи,12
pdf,Ригведа,12
словарь,Varanasi,12
текст,Аштадхьяи,12
разное,Ригведа,12
книга,Ригведа,12
словарь,Śaṅkara,12
учебник,Varanasi,11
текст,Moscow,11
шрифт,Бхагавад-гита,11
книга,Rapidshare,11
индия_путешествие,Delhi,10
словарь,Tatyana Elizarenkova,10
этимология,Pāṇini,10
разное,Махабхарата,10
текст,Tatyana Elizarenkova,10
разное,Упанишады,10
шрифт,Pāṇini,10
pdf,Pāṇini,10
комментарии_ачарьи,Patañjali,9
pdf,Махабхарата,9
словарь,DCS,9
разное,Saint Petersburg,9
индия_путешествие,Moscow,9
текст,Varanasi,9
текст,Rudolph Roth,9
словарь,Delhi,9
разное,Varanasi,9
сайт,Аштадхьяи,9
этимология,Йога-Васиштха,9
книга,Dropbox,9
