source,target,weight,topics,edge_type
David and Nancy Reigle,Matthew Kapstein,31,Announcements and events|Bibliographic requests|Buddhism and Jainism|General scholarly discussion|Texts and philology|Veda and ritual,thread_coparticipation
Dominik Wujastyk,Jean-Luc Chevillard,31,Bibliographic requests|General scholarly discussion|History and culture|List administration,thread_coparticipation
Dominik Wujastyk,N. Ganesan,31,Buddhism and Jainism|General scholarly discussion|Grammar and linguistics|Manuscripts and epigraphy,thread_coparticipation
Dominik Wujastyk,Stella Sandahl,30,Bibliographic requests|Digital resources and tools|General scholarly discussion|History and culture|Manuscripts and epigraphy|Texts and philology,thread_coparticipation
Dominik Wujastyk,Walter Slaje,30,Digital resources and tools|General scholarly discussion|History and culture|Manuscripts and epigraphy|Texts and philology|Veda and ritual,thread_coparticipation
N. Ganesan,Stephen Hodge,30,General scholarly discussion,thread_coparticipation
Andrew Ollett,Madhav Deshpande,30,Buddhism and Jainism|Digital resources and tools|General scholarly discussion|Grammar and linguistics|Texts and philology|Veda and ritual,thread_coparticipation
Dominik Wujastyk,George Hart,30,Bibliographic requests|Digital resources and tools|General scholarly discussion|Grammar and linguistics|History and culture|Manuscripts and epigraphy,thread_coparticipation
Lubomír Ondračka,Matthew Kapstein,29,Bibliographic requests|Buddhism and Jainism|Digital resources and tools|General scholarly discussion|History and culture|Texts and philology|Veda and ritual,thread_coparticipation
Lakshmi Srinivas,N. Ganesan,29,General scholarly discussion|Texts and philology,thread_coparticipation
Stephen Hodge,Swaminathan Madhuresan,29,General scholarly discussion|History and culture|Veda and ritual,thread_coparticipation
Stephen Hodge,Vidyasankar Sundaresan,29,General scholarly discussion|Veda and ritual,thread_coparticipation
N. Ganesan,Paul Kekai Manansala,29,General scholarly discussion,thread_coparticipation
Dominik Wujastyk,mkapstei at UCHICAGO.EDU,29,Digital resources and tools|General scholarly discussion|History and culture|Manuscripts and epigraphy|Teaching and pedagogy|Texts and philology|Veda and ritual,thread_coparticipation
Dominik Wujastyk,Elliot Stern,29,Announcements and events|Bibliographic requests|General scholarly discussion|Grammar and linguistics|Manuscripts and epigraphy|Texts and philology,thread_coparticipation
Dominique.Thillaud,Lars Martin Fosse,29,General scholarly discussion|History and culture|Texts and philology,thread_coparticipation
Howard Resnick,Nagaraj Paturi,29,Bibliographic requests|General scholarly discussion|History and culture|Texts and philology|Veda and ritual,thread_coparticipation
N. Ganesan,Robert Zydenbos,29,General scholarly discussion,thread_coparticipation
DEVARAKONDA VENKATA NARAYANA SARMA,Dominique.Thillaud,28,General scholarly discussion|Veda and ritual,thread_coparticipation
Joanna Jurewicz,Madhav Deshpande,28,Announcements and events|Bibliographic requests|Digital resources and tools|General scholarly discussion|History and culture|Texts and philology|Veda and ritual,thread_coparticipation
Dominik Wujastyk,James Hartzell,28,Announcements and events|Bibliographic requests|Digital resources and tools|General scholarly discussion|History and culture|Manuscripts and epigraphy|Teaching and pedagogy,thread_coparticipation
Allen W Thrasher,Ashok Aklujkar,28,Bibliographic requests|General scholarly discussion|History and culture|Manuscripts and epigraphy,thread_coparticipation
Christophe Vielle,Harry Spier,28,Bibliographic requests|Digital resources and tools|General scholarly discussion|Grammar and linguistics|Manuscripts and epigraphy|Texts and philology|Veda and ritual,thread_coparticipation
Dominik Wujastyk,Valerie J Roebuck,28,Digital resources and tools|General scholarly discussion|History and culture|Manuscripts and epigraphy,thread_coparticipation
Howard Resnick,Matthew Kapstein,28,Bibliographic requests|General scholarly discussion|Grammar and linguistics|History and culture|Texts and philology,thread_coparticipation
Dan Lusthaus,Madhav Deshpande,28,Bibliographic requests|General scholarly discussion|Grammar and linguistics|Manuscripts and epigraphy|Veda and ritual,thread_coparticipation
DEVARAKONDA VENKATA NARAYANA SARMA,S Krishna,28,General scholarly discussion|History and culture,thread_coparticipation
