source,target,weight,topics,edge_type
DEVARAKONDA VENKATA NARAYANA SARMA,PROF. BH. KRISHNA MURTHY,2,General scholarly discussion,thread_coparticipation
Alf Hiltebeitel,Sudalaimuthu Palaniappan,2,General scholarly discussion,thread_coparticipation
Alf Hiltebeitel,Paul Kekai Manansala,2,General scholarly discussion,thread_coparticipation
Girish Beeharry,mrabe at artic.edu,2,General scholarly discussion|Veda and ritual,thread_coparticipation
C.A. Coleman,Girish Beeharry,2,General scholarly discussion|Veda and ritual,thread_coparticipation
Ashok Aklujkar,Donald R Davis,2,General scholarly discussion,thread_coparticipation
Dipak Bhattacharya,Fabrice Duvinage,2,Veda and ritual,thread_coparticipation
Dipak Bhattacharya,Peter Flugel,2,General scholarly discussion,thread_coparticipation
Artur Karp,"Shaw, Julia",2,General scholarly discussion,thread_coparticipation
AmitaSarin at aol.com,C.A. Coleman,2,General scholarly discussion|Veda and ritual,thread_coparticipation
ACHARB at MSUVX1.MEMPHIS.EDU,mrabe at artic.edu,2,General scholarly discussion|Veda and ritual,thread_coparticipation
Girish Beeharry,Vidhyanath K. Rao,2,General scholarly discussion,thread_coparticipation
Girish Beeharry,RAJAGOPALANM at HARPO.TNSTATE.EDU,2,General scholarly discussion,thread_coparticipation
Girish Beeharry,Peter D Banos,2,General scholarly discussion,thread_coparticipation
Bruno Galasek,Philipp Maas,2,General scholarly discussion,thread_coparticipation
Steve Farmer,V.V. Raman,2,General scholarly discussion,thread_coparticipation
Srinivasan Pichumani,Sudalaimuthu Palaniappan,2,Digital resources and tools|General scholarly discussion,thread_coparticipation
N. Ganesan,Ramani,2,General scholarly discussion,thread_coparticipation
Stephen Hodge,rohan.oberoi at CORNELL.EDU,2,General scholarly discussion,thread_coparticipation
Michael Witzel,rohan.oberoi at CORNELL.EDU,2,General scholarly discussion,thread_coparticipation
Michael Witzel,Vanbakkam Vijayaraghavan,2,General scholarly discussion,thread_coparticipation
Bruno Galasek,Matthew Kapstein,2,General scholarly discussion,thread_coparticipation
Andrew Ollett,"Michaels, Axel",2,General scholarly discussion,thread_coparticipation
Alex Watson,rajam,2,General scholarly discussion,thread_coparticipation
Alex Watson,Valerie Roebuck,2,General scholarly discussion,thread_coparticipation
Alex Watson,Robert Goldman,2,General scholarly discussion,thread_coparticipation
Alex Watson,"Michaels, Axel",2,General scholarly discussion,thread_coparticipation
Gerard Huet,Girish Beeharry,2,General scholarly discussion,thread_coparticipation
Allen Thrasher,RAJAGOPALANM at HARPO.TNSTATE.EDU,2,General scholarly discussion,thread_coparticipation
Richard Salomon,jayabarathi,2,General scholarly discussion,thread_coparticipation
DEVARAKONDA VENKATA NARAYANA SARMA,Dr. Jai Maharaj,2,General scholarly discussion,thread_coparticipation
George Thompson,rohan.oberoi at CORNELL.EDU,2,General scholarly discussion,thread_coparticipation
George Thompson,Vanbakkam Vijayaraghavan,2,General scholarly discussion,thread_coparticipation
George Thompson,V.V. Raman,2,General scholarly discussion,thread_coparticipation
Enrica Garzilli,John Brockington,2,Bibliographic requests|General scholarly discussion,thread_coparticipation
Subrahmanya S.,Vidhyanath Rao,2,General scholarly discussion,thread_coparticipation
Donald R Davis,Nityanand Misra,2,General scholarly discussion,thread_coparticipation
Johannes Bronkhorst,rajam,2,General scholarly discussion,thread_coparticipation
Donald R Davis,rajam,2,General scholarly discussion,thread_coparticipation
Kumar at pixie.udw.ac.za,mrabe at artic.edu,2,General scholarly discussion,thread_coparticipation
Peter D Banos,vidya,2,General scholarly discussion,thread_coparticipation
Kamal Adhikary,Peter D Banos,2,General scholarly discussion,thread_coparticipation
Bjarte Kaldhol,L.S.Cousins,2,General scholarly discussion,thread_coparticipation
Bjarte Kaldhol,Dr Y. Vassilkov,2,General scholarly discussion,thread_coparticipation
Michael Witzel,V.V. Raman,2,General scholarly discussion|Texts and philology,thread_coparticipation
L.S.Cousins,rohan.oberoi at CORNELL.EDU,2,General scholarly discussion,thread_coparticipation
L.S.Cousins,Vanbakkam Vijayaraghavan,2,General scholarly discussion,thread_coparticipation
Hans Henrich Hock,rohan.oberoi at CORNELL.EDU,2,General scholarly discussion,thread_coparticipation
Madhav Deshpande,Timothy P. Lighthiser,2,Bibliographic requests|General scholarly discussion,thread_coparticipation
Robert Goldman,dermot at grevatt.force9.co.uk,2,General scholarly discussion,thread_coparticipation
"Michaels, Axel",Robert Goldman,2,General scholarly discussion,thread_coparticipation
Klaus Karttunen,"Michaels, Axel",2,General scholarly discussion,thread_coparticipation
Donald R Davis,"Olivelle, J P",2,General scholarly discussion,thread_coparticipation
Andrew Ollett,Manu Francis,2,General scholarly discussion,thread_coparticipation
John Taber,patrick mccartney,2,General scholarly discussion,thread_coparticipation
Franco,patrick mccartney,2,General scholarly discussion,thread_coparticipation
Franco,John Taber,2,General scholarly discussion,thread_coparticipation
Walter Slaje,rainer stuhrmann,2,General scholarly discussion|Veda and ritual,thread_coparticipation
Allen Thrasher,rainer stuhrmann,2,General scholarly discussion|Veda and ritual,thread_coparticipation
A. v. Rospatt,Joel H. Tatelman,2,Digital resources and tools|General scholarly discussion,thread_coparticipation
JR Gardner,Roland Steiner,2,Digital resources and tools|General scholarly discussion,thread_coparticipation
B. Schlerath,Steve Farmer,2,General scholarly discussion,thread_coparticipation
B. Schlerath,Michael Witzel,2,General scholarly discussion,thread_coparticipation
B. Schlerath,Bjarte Kaldhol,2,General scholarly discussion,thread_coparticipation
"Aditya, the Hindu Skeptic",Jay Thakar,2,General scholarly discussion,thread_coparticipation
David Dargie,Enrica Garzilli,2,General scholarly discussion,thread_coparticipation
Bjarte Kaldhol,rohan.oberoi at CORNELL.EDU,2,General scholarly discussion,thread_coparticipation
Allen Thrasher,Gene Thursby,2,General scholarly discussion,thread_coparticipation
Dominik Wujastyk,MDSAAA48 at GIASMD01.VSNL.NET.IN,2,General scholarly discussion,thread_coparticipation
Antonia Ruppel,Dieter Gunkel,2,General scholarly discussion,thread_coparticipation
Antonia Ruppel,Chlodwig H. Werba,2,General scholarly discussion,thread_coparticipation
Srinivasan Pichumani,pgm,2,General scholarly discussion,thread_coparticipation
RAJAGOPALANM at HARPO.TNSTATE.EDU,jdwhite at unccvm.uncc.edu,2,General scholarly discussion,thread_coparticipation
Gene Thursby,vidya,2,General scholarly discussion,thread_coparticipation
Gene Thursby,pgm,2,General scholarly discussion,thread_coparticipation
B. Schlerath,Dr Y. Vassilkov,2,Announcements and events|General scholarly discussion,thread_coparticipation
RM. Krishnan,Robert Zydenbos,2,General scholarly discussion,thread_coparticipation
C.R. Selvakumar,Dr Y. Vassilkov,2,General scholarly discussion,thread_coparticipation
L.S.Cousins,V.V. Raman,2,General scholarly discussion,thread_coparticipation
Harunaga Isaacson,Stephen Hodge,2,General scholarly discussion,thread_coparticipation
Jay Thakar,Sn. Subrahmanya,2,General scholarly discussion,thread_coparticipation
B. Schlerath,V.V. Raman,2,General scholarly discussion,thread_coparticipation
B. Schlerath,Swaminathan Madhuresan,2,General scholarly discussion,thread_coparticipation
L.S.Cousins,Luis Gonzalez-Reimann,2,General scholarly discussion,thread_coparticipation
Jürgen Neuß,Manu Francis,2,General scholarly discussion,thread_coparticipation
Kenneth Gregory Zysk,"Olivelle, J P",2,General scholarly discussion|History and culture,thread_coparticipation
Dagmar Wujastyk,"Olivelle, J P",2,General scholarly discussion|History and culture,thread_coparticipation
Dagmar Wujastyk,Kenneth Gregory Zysk,2,General scholarly discussion|History and culture,thread_coparticipation
0622660198-0001 at t-online.de,Peter D Banos,2,General scholarly discussion,thread_coparticipation
Allen Thrasher,Thomas Malten,2,General scholarly discussion,thread_coparticipation
Artur Karp,Seishi Karashima,2,General scholarly discussion,thread_coparticipation
Martin Gluckman,Valerie Roebuck,2,Digital resources and tools|General scholarly discussion,thread_coparticipation
André Signoret,Valerie J Roebuck,2,General scholarly discussion,thread_coparticipation
Phillip Ernest,Vidyasankar Sundaresan,2,General scholarly discussion,thread_coparticipation
André Signoret,Vidyasankar Sundaresan,2,General scholarly discussion,thread_coparticipation
Bijoy Misra,V.V. Raman,2,General scholarly discussion,thread_coparticipation
Anshuman Pandey,Chris Hibbard/E. Stern,2,General scholarly discussion,thread_coparticipation
Edeltraud Harzer,Herman Tull,2,General scholarly discussion|Grammar and linguistics,thread_coparticipation
David and Nancy Reigle,Edeltraud Harzer,2,General scholarly discussion,thread_coparticipation
Georges PINAULT,"Ram-Prasad, Chakravarthi",2,General scholarly discussion,thread_coparticipation
Antonia Ruppel,"Ram-Prasad, Chakravarthi",2,General scholarly discussion,thread_coparticipation
ACHARB at MSUVX1.MEMPHIS.EDU,Gene Thursby,2,Buddhism and Jainism|General scholarly discussion,thread_coparticipation
ACHARB at MSUVX1.MEMPHIS.EDU,Bridgman at aol.com,2,General scholarly discussion|Veda and ritual,thread_coparticipation
MDSAAA48 at GIASMD01.VSNL.NET.IN,witzel at HUSC3.HARVARD.EDU,2,General scholarly discussion,thread_coparticipation
Francois.Voegeli at orient.unil.ch,witzel at HUSC3.HARVARD.EDU,2,General scholarly discussion,thread_coparticipation
Bob Peck,C.R. Selvakumar,2,General scholarly discussion,thread_coparticipation
Bhadraiah Mallampalli,RM. Krishnan,2,General scholarly discussion,thread_coparticipation
Michael Witzel,hans henrich hock,2,General scholarly discussion|History and culture,thread_coparticipation
Dominik Wujastyk,marina orelskaya,2,General scholarly discussion|Manuscripts and epigraphy,thread_coparticipation
Christian Lee Novetzke,Madhav Deshpande,2,Announcements and events|General scholarly discussion,thread_coparticipation
Rajarshi Banerjee,sthanesvar timalsina,2,General scholarly discussion,thread_coparticipation
Madhav Deshpande,Swami Gitananda,2,General scholarly discussion,thread_coparticipation
Jay Thakar,Lars Martin Fosse,2,General scholarly discussion,thread_coparticipation
Erik Hoogcarspel,Sn. Subrahmanya,2,General scholarly discussion,thread_coparticipation
"Aditya, the Hindu Skeptic",Sn. Subrahmanya,2,General scholarly discussion,thread_coparticipation
Lubomir Ondracka,Walter Slaje,2,History and culture|Veda and ritual,thread_coparticipation
Lubomir Ondracka,"Olivelle, J P",2,General scholarly discussion|History and culture,thread_coparticipation
Francois Obrist,Madhav Deshpande,2,General scholarly discussion,thread_coparticipation
Artur Karp,Jeffery Long,2,General scholarly discussion,thread_coparticipation
Valerie Roebuck,victor davella,2,General scholarly discussion|Grammar and linguistics,thread_coparticipation
dermot at grevatt.force9.co.uk,naresh keerthi,2,General scholarly discussion,thread_coparticipation
Valerie Roebuck,naresh keerthi,2,General scholarly discussion|Texts and philology,thread_coparticipation
Seishi Karashima,Valerie Roebuck,2,Bibliographic requests|General scholarly discussion,thread_coparticipation
John Gardner,RAJAGOPALANM at HARPO.TNSTATE.EDU,2,General scholarly discussion,thread_coparticipation
John Gardner,MDSAAA48 at GIASMD01.VSNL.NET.IN,2,General scholarly discussion,thread_coparticipation
Srini Pichumani,Valerie J Roebuck,2,General scholarly discussion|History and culture,thread_coparticipation
Samar Abbas,Ven. Tantra,2,General scholarly discussion|History and culture,thread_coparticipation
Raveen Satkurunathan,Steve Farmer,2,General scholarly discussion|History and culture,thread_coparticipation
Ramalingam Shanmugalingam,Subrahmanya S.,2,General scholarly discussion|History and culture,thread_coparticipation
Ramalingam Shanmugalingam,Raveen Satkurunathan,2,General scholarly discussion|History and culture,thread_coparticipation
Anshuman Pandey,JR Gardner,2,Digital resources and tools|General scholarly discussion,thread_coparticipation
Jeffery Long,"Lindquist, Steven",2,Digital resources and tools|General scholarly discussion,thread_coparticipation
George Hart,Jeffery Long,2,Digital resources and tools|General scholarly discussion,thread_coparticipation
"Olivelle, J P",dermot at grevatt.force9.co.uk,2,General scholarly discussion,thread_coparticipation
Claudius Teodorescu,Matthew Kapstein,2,General scholarly discussion|Manuscripts and epigraphy,thread_coparticipation
Howard Resnick,Jeffery Long,2,General scholarly discussion,thread_coparticipation
Dean Michael Anderson,Jeffery Long,2,General scholarly discussion,thread_coparticipation
Gene Thursby,WILLIAM HARMAN,2,General scholarly discussion,thread_coparticipation
Gene Thursby,John Gardner,2,General scholarly discussion,thread_coparticipation
RAJAGOPALANM at HARPO.TNSTATE.EDU,pgm,2,General scholarly discussion,thread_coparticipation
Anthony P Stone,DEVARAKONDA VENKATA NARAYANA SARMA,2,Bibliographic requests|General scholarly discussion,thread_coparticipation
Ravi R. Iyer,Swami Gitananda,2,General scholarly discussion,thread_coparticipation
Periannan Chandrasekaran,Valerie J Roebuck,2,General scholarly discussion|History and culture,thread_coparticipation
Motilal Banarsidass,Venkatraman Iyer,2,General scholarly discussion|History and culture,thread_coparticipation
Motilal Banarsidass,Valerie J Roebuck,2,General scholarly discussion|History and culture,thread_coparticipation
Motilal Banarsidass,Samar Abbas,2,General scholarly discussion|History and culture,thread_coparticipation
Kumar,Vidyasankar Sundaresan,2,General scholarly discussion|History and culture,thread_coparticipation
Kumar,Ven. Tantra,2,General scholarly discussion|History and culture,thread_coparticipation
Kumar,Valerie J Roebuck,2,General scholarly discussion|History and culture,thread_coparticipation
Georges PINAULT,"Olivelle, J P",2,General scholarly discussion,thread_coparticipation
Harry Spier,Suresh Kolichala,2,General scholarly discussion,thread_coparticipation
David and Nancy Reigle,"Ram-Prasad, Chakravarthi",2,General scholarly discussion,thread_coparticipation
RAJAGOPALANM at HARPO.TNSTATE.EDU,n.rao at rz.uni-sb.de,2,General scholarly discussion,thread_coparticipation
RAJAGOPALANM at HARPO.TNSTATE.EDU,WILLIAM HARMAN,2,General scholarly discussion,thread_coparticipation
Madhav Deshpande,Vitus Angermeier,2,General scholarly discussion,thread_coparticipation
Paolo Eugenio Rosati,"Tieken, H.J.H.",2,General scholarly discussion,thread_coparticipation
Kumar,Prasad Velusamy,2,General scholarly discussion|History and culture,thread_coparticipation
George Thompson,Ramalingam Shanmugalingam,2,General scholarly discussion|History and culture,thread_coparticipation
Dr Y. Vassilkov,V.C.Vijayaraghavan,2,General scholarly discussion|History and culture,thread_coparticipation
Dr Y. Vassilkov,Rajarshi Banerjee,2,General scholarly discussion|History and culture,thread_coparticipation
Dominik Wujastyk,V.C.Vijayaraghavan,2,History and culture,thread_coparticipation
Dominik Wujastyk,NAYAK Anand,2,General scholarly discussion|History and culture,thread_coparticipation
Ashok Aklujkar,Jacob Baltuch,2,Bibliographic requests|General scholarly discussion,thread_coparticipation
Artur Karp,Greg Bailey,2,General scholarly discussion,thread_coparticipation
Adheesh Sathaye,Sudalaimuthu Palaniappan,2,General scholarly discussion,thread_coparticipation
Jan E.M. Houben,Paolo Eugenio Rosati,2,General scholarly discussion,thread_coparticipation
Harry Falk,Paolo Eugenio Rosati,2,General scholarly discussion,thread_coparticipation
Chlodwig H. Werba,Howard Resnick,2,General scholarly discussion,thread_coparticipation
Valerie Roebuck,jacob at fabularasa.dk,2,General scholarly discussion,thread_coparticipation
Arlo Griffiths,mbroo at abo.fi,2,Bibliographic requests|General scholarly discussion,thread_coparticipation
John Brockington,soni at staff.uni-marburg.de,2,General scholarly discussion,thread_coparticipation
Dominik Wujastyk,y.r.rani at mail.utexas.edu,2,General scholarly discussion|History and culture,thread_coparticipation
John Huntington,Sudalaimuthu Palaniappan,2,Buddhism and Jainism|General scholarly discussion,thread_coparticipation
John Huntington,Nagaraj Paturi,2,General scholarly discussion,thread_coparticipation
Chris Hibbard/E. Stern,DEVARAKONDA VENKATA NARAYANA SARMA,2,General scholarly discussion,thread_coparticipation
David Salmon,Subrahmanya S.,2,General scholarly discussion|History and culture,thread_coparticipation
David Salmon,Steve Farmer,2,General scholarly discussion|History and culture,thread_coparticipation
David Salmon,Ramalingam Shanmugalingam,2,General scholarly discussion|History and culture,thread_coparticipation
Chris Beetle,JR Gardner,2,General scholarly discussion|Veda and ritual,thread_coparticipation
Anil Gupta,Dominik Wujastyk,2,Digital resources and tools|History and culture,thread_coparticipation
Dominik Wujastyk,RAJAGOPALANM at HARPO.TNSTATE.EDU,2,Bibliographic requests|General scholarly discussion,thread_coparticipation
Jeffery Long,victor davella,2,General scholarly discussion,thread_coparticipation
Jeffery Long,"Ram-Prasad, Chakravarthi",2,General scholarly discussion,thread_coparticipation
Jeffery Long,"Lubin, Tim",2,General scholarly discussion,thread_coparticipation
Jean-Luc Chevillard,Jeffery Long,2,General scholarly discussion,thread_coparticipation
Adheesh Sathaye,"Lubin, Tim",2,General scholarly discussion|Texts and philology,thread_coparticipation
Dominik Wujastyk,John Gardner,2,General scholarly discussion|Texts and philology,thread_coparticipation
"Ram-Prasad, Chakravarthi",Robert Zydenbos,2,General scholarly discussion,thread_coparticipation
Dan Lusthaus,Jacob Baltuch,2,General scholarly discussion|Texts and philology,thread_coparticipation
David Salmon,Prasad Velusamy,2,General scholarly discussion|History and culture,thread_coparticipation
David Salmon,Kumar,2,General scholarly discussion|History and culture,thread_coparticipation
David Salmon,Dr Y. Vassilkov,2,General scholarly discussion|History and culture,thread_coparticipation
Brian Akers,Venkatraman Iyer,2,General scholarly discussion|History and culture,thread_coparticipation
Dominik Wujastyk,Kumar,2,General scholarly discussion|History and culture,thread_coparticipation
Dominik Wujastyk,Dr Y. Vassilkov,2,General scholarly discussion|History and culture,thread_coparticipation
D.H. Killingley,Jacob Baltuch,2,General scholarly discussion,thread_coparticipation
Chris Hibbard/E. Stern,Dominique.Thillaud,2,General scholarly discussion,thread_coparticipation
Kowshika Ramaprasad,N. Ganesan,2,Digital resources and tools|General scholarly discussion,thread_coparticipation
Bh. Krishnamurti,Srinivasan Pichumani,2,Digital resources and tools|History and culture,thread_coparticipation
Bh. Krishnamurti,Kowshika Ramaprasad,2,Digital resources and tools|General scholarly discussion,thread_coparticipation
Narahari Achar,Yaroslav V. Vassilkov,2,General scholarly discussion,thread_coparticipation
Brian Akers,Prasad Velusamy,2,General scholarly discussion|History and culture,thread_coparticipation
Brian Akers,Kumar,2,General scholarly discussion|History and culture,thread_coparticipation
Brian Akers,Dr Y. Vassilkov,2,General scholarly discussion|History and culture,thread_coparticipation
Bijoy Misra,Prasad Velusamy,2,General scholarly discussion|History and culture,thread_coparticipation
Bijoy Misra,Kumar,2,General scholarly discussion|History and culture,thread_coparticipation
Bijoy Misra,Dr Y. Vassilkov,2,General scholarly discussion|History and culture,thread_coparticipation
Bijoy Misra,David Salmon,2,General scholarly discussion|History and culture,thread_coparticipation
Bhadraiah Mallampalli,V.C.Vijayaraghavan,2,General scholarly discussion|History and culture,thread_coparticipation
"Olivelle, J P",Robert Zydenbos,2,General scholarly discussion,thread_coparticipation
"Olivelle, J P","Ram-Prasad, Chakravarthi",2,General scholarly discussion,thread_coparticipation
Nagaraj Paturi,victor davella,2,General scholarly discussion,thread_coparticipation
Allen Thrasher,Peter Gaeffke,2,General scholarly discussion|Texts and philology,thread_coparticipation
"Buchta, David",Martin Gansten,2,General scholarly discussion|Grammar and linguistics,thread_coparticipation
"Buchta, David",Jesse Knutson,2,General scholarly discussion,thread_coparticipation
Bridgman at aol.com,John Gardner,2,General scholarly discussion|Texts and philology,thread_coparticipation
Geoffrey Samuel,alakendu das,2,General scholarly discussion,thread_coparticipation
"Hock, Hans Henrich",Royce Wiles,2,General scholarly discussion,thread_coparticipation
patrick mccartney,victor davella,2,General scholarly discussion,thread_coparticipation
Tracy Coleman,victor davella,2,General scholarly discussion,thread_coparticipation
Tracy Coleman,patrick mccartney,2,General scholarly discussion,thread_coparticipation
Sudalaimuthu Palaniappan,Tracy Coleman,2,General scholarly discussion,thread_coparticipation
Robert Goldman,Robert Zydenbos,2,General scholarly discussion,thread_coparticipation
Dominik Wujastyk,Peter Gaeffke,2,General scholarly discussion|Texts and philology,thread_coparticipation
David Magier,John Gardner,2,General scholarly discussion,thread_coparticipation
David Lorenzen S.,Gene Thursby,2,General scholarly discussion|History and culture,thread_coparticipation
Ananya Vajpeyi,Artur Karp,2,General scholarly discussion,thread_coparticipation
Bhadraiah Mallampalli,Robert Zydenbos,2,General scholarly discussion|History and culture,thread_coparticipation
Rolf Heiner Koch,Yigal Bronner,2,Buddhism and Jainism|General scholarly discussion,thread_coparticipation
RM. Krishnan,V.C.Vijayaraghavan,2,General scholarly discussion,thread_coparticipation
Lars Martin Fosse,V.C.Vijayaraghavan,2,General scholarly discussion|History and culture,thread_coparticipation
Bhadraiah Mallampalli,Kumar,2,General scholarly discussion|History and culture,thread_coparticipation
Andrew Ollett,Krishnaprasad G,2,General scholarly discussion,thread_coparticipation
Arlo Griffiths,HdGoswami,2,General scholarly discussion,thread_coparticipation
d.wujastyk at ucl.ac.uk,mhcrxlc at dir.mcc.ac.uk,2,Buddhism and Jainism|General scholarly discussion,thread_coparticipation
Allen Thrasher,mhcrxlc at dir.mcc.ac.uk,2,Buddhism and Jainism|General scholarly discussion,thread_coparticipation
Allen Thrasher,d.wujastyk at ucl.ac.uk,2,Buddhism and Jainism|General scholarly discussion,thread_coparticipation
soumitra at ix.netcom.com,y.r.rani at mail.utexas.edu,2,General scholarly discussion,thread_coparticipation
Bhadraiah Mallampalli,Brian Akers,2,General scholarly discussion|History and culture,thread_coparticipation
Bh. Krishnamurti,Rolf Heiner Koch,2,General scholarly discussion,thread_coparticipation
Bh. Krishnamurti,Peter J. Claus,2,General scholarly discussion,thread_coparticipation
Bhadraiah Mallampalli,Srini Pichumani,2,General scholarly discussion|History and culture,thread_coparticipation
Martin Gansten,Robert Goldman,2,General scholarly discussion|Grammar and linguistics,thread_coparticipation
"Buchta, David",Valerie Roebuck,2,General scholarly discussion|Grammar and linguistics,thread_coparticipation
"Buchta, David",Nityanand Misra,2,General scholarly discussion|Grammar and linguistics,thread_coparticipation
Lynken Ghose,Venkatraman Iyer,2,General scholarly discussion,thread_coparticipation
Arun Gupta,Kumar,2,General scholarly discussion|History and culture,thread_coparticipation
Antonia Ruppel,Sudalaimuthu Palaniappan,2,General scholarly discussion,thread_coparticipation
Antonia Ruppel,Marco Franceschini,2,General scholarly discussion,thread_coparticipation
Christophe Vielle,jacob at fabularasa.dk,2,General scholarly discussion|Texts and philology,thread_coparticipation
"Michaels, Axel",alakendu das,2,General scholarly discussion,thread_coparticipation
Alex Watson,Balogh Dániel,2,General scholarly discussion|Texts and philology,thread_coparticipation
Dominik Wujastyk,Raymond Crawford,2,General scholarly discussion|Texts and philology,thread_coparticipation
soumitra at ix.netcom.com,vidya,2,General scholarly discussion,thread_coparticipation
Charles DiSimone,patrick mccartney,2,General scholarly discussion,thread_coparticipation
Prof. D N Jha,Vidyasankar Sundaresan,2,General scholarly discussion,thread_coparticipation
Benjamin Fleming,Patricia Meredith Greer,2,General scholarly discussion,thread_coparticipation
V.C.Vijayaraghavan,Vidyasankar Sundaresan,2,General scholarly discussion|History and culture,thread_coparticipation
V.C.Vijayaraghavan,Venkatraman Iyer,2,General scholarly discussion|History and culture,thread_coparticipation
Sudalaimuthu Palaniappan,V.C.Vijayaraghavan,2,General scholarly discussion|History and culture,thread_coparticipation
Raveen Satkurunathan,V.C.Vijayaraghavan,2,General scholarly discussion|History and culture,thread_coparticipation
P. Anand,Swaminathan Madhuresan,2,General scholarly discussion|History and culture,thread_coparticipation
Arun Gupta,RM. Krishnan,2,General scholarly discussion,thread_coparticipation
Charles DiSimone,"Olivelle, J P",2,General scholarly discussion,thread_coparticipation
Audrey Truschke,Philipp Maas,2,General scholarly discussion,thread_coparticipation
Marco Franceschini,Sudalaimuthu Palaniappan,2,General scholarly discussion,thread_coparticipation
Howard Resnick,Marco Franceschini,2,General scholarly discussion,thread_coparticipation
Audrey Truschke,Paolo Eugenio Rosati,2,General scholarly discussion,thread_coparticipation
Audrey Truschke,Jonathan Silk,2,General scholarly discussion,thread_coparticipation
Dagmar Wujastyk,Martin Gansten,2,General scholarly discussion|Veda and ritual,thread_coparticipation
Walter Slaje,farkhondeh iran,2,Announcements and events|General scholarly discussion,thread_coparticipation
Dominique.Thillaud,Ramalingam Shanmugalingam,2,General scholarly discussion,thread_coparticipation
Jan E.M. Houben,Stephen Hodge,2,General scholarly discussion,thread_coparticipation
Arun Gupta,Narayan R. Joshi,2,Digital resources and tools|General scholarly discussion,thread_coparticipation
Ven. Tantra,Vidhyanath Rao,2,General scholarly discussion,thread_coparticipation
Lynken Ghose,Vidhyanath Rao,2,General scholarly discussion,thread_coparticipation
Miroslav Rozehnal,N. Ganesan,2,General scholarly discussion,thread_coparticipation
Howard Resnick,Robert Goldman,2,General scholarly discussion|Texts and philology,thread_coparticipation
Jesse Knutson,Suresh Kolichala,2,General scholarly discussion,thread_coparticipation
Jesse Knutson,"McGrath, Kevin",2,General scholarly discussion,thread_coparticipation
Joanna Jurewicz,patrick mccartney,2,General scholarly discussion,thread_coparticipation
Joanna Jurewicz,Robert Goldman,2,General scholarly discussion,thread_coparticipation
Balogh Dániel,Walter Slaje,2,General scholarly discussion,thread_coparticipation
Balogh Dániel,Nagaraj Paturi,2,General scholarly discussion|Texts and philology,thread_coparticipation
Allen Thrasher,Shyam Ranganathan,2,General scholarly discussion,thread_coparticipation
Allen Thrasher,Balogh Dániel,2,General scholarly discussion|Veda and ritual,thread_coparticipation
Alex Watson,Sudalaimuthu Palaniappan,2,General scholarly discussion,thread_coparticipation
Nagaraj Paturi,"Nemec, John William (nemec) (jwn3y)",2,General scholarly discussion,thread_coparticipation
Johannes.Bronkhorst at orient.unil.ch,mrabe at artic.edu,2,General scholarly discussion,thread_coparticipation
J.B. Sharma,Mark F. Tritsch,2,General scholarly discussion,thread_coparticipation
Ramadas,Shrinivas Tilak,2,General scholarly discussion,thread_coparticipation
RM. Krishnan,nanda chandran,2,General scholarly discussion,thread_coparticipation
P. Anand,nanda chandran,2,General scholarly discussion|History and culture,thread_coparticipation
Raoul Martens,S Krishna,2,General scholarly discussion,thread_coparticipation
Elliot Stern,Samuel Wright,2,Bibliographic requests,thread_coparticipation
"Buchta, David",rajam,2,General scholarly discussion,thread_coparticipation
Eli Franco,Howard Resnick,2,Digital resources and tools|General scholarly discussion,thread_coparticipation
Arlo Griffiths,"Ram-Prasad, Chakravarthi",2,General scholarly discussion,thread_coparticipation
Luis Gonzalez-Reimann,Valerie Roebuck,2,General scholarly discussion,thread_coparticipation
Ramalingam Shanmugalingam,Sn. Subrahmanya,2,General scholarly discussion,thread_coparticipation
Ramalingam Shanmugalingam,S Krishna,2,General scholarly discussion,thread_coparticipation
Peter J. Claus,Sn. Subrahmanya,2,General scholarly discussion,thread_coparticipation
N. Ganesan,Raoul Martens,2,General scholarly discussion,thread_coparticipation
P. Anand,Raveen Satkurunathan,2,General scholarly discussion|History and culture,thread_coparticipation
P. Anand,Periannan Chandrasekaran,2,General scholarly discussion|History and culture,thread_coparticipation
L.S.Cousins,Lynken Ghose,2,General scholarly discussion,thread_coparticipation
Gary M Tartakov,soumitra at ix.netcom.com,2,General scholarly discussion,thread_coparticipation
Manu Francis,Valerie Roebuck,2,General scholarly discussion,thread_coparticipation
Manu Francis,Robert Goldman,2,General scholarly discussion,thread_coparticipation
Greg Bailey,Robert Goldman,2,General scholarly discussion|Texts and philology,thread_coparticipation
Loriliai Biernacki,Robert Goldman,2,General scholarly discussion,thread_coparticipation
Walter Slaje,hellwig7 at gmx.de,2,General scholarly discussion|Manuscripts and epigraphy,thread_coparticipation
"Nemec, John William (nemec) (jwn3y)",Richard Salomon,2,General scholarly discussion,thread_coparticipation
Anand Venkt Raman,soumitra at ix.netcom.com,2,General scholarly discussion,thread_coparticipation
Gary M Tartakov,LUSTHAUS at macalstr.edu,2,General scholarly discussion,thread_coparticipation
vidya,y.r.rani at mail.utexas.edu,2,General scholarly discussion|History and culture,thread_coparticipation
echnaton at fub46.zedat.fu-berlin.de,vidya,2,General scholarly discussion|History and culture,thread_coparticipation
Dominik Wujastyk,Michael Shapiro,2,General scholarly discussion,thread_coparticipation
Rolf Heiner Koch,Sudalaimuthu Palaniappan,2,General scholarly discussion,thread_coparticipation
