renou_axis,renou_code,renou_label,year,primary_topic,list_function,message_count,thread_count,author_count
register,brahmana,Brāhmaṇa,1995,Veda and ritual,general discussion,1,1,1
register,brahmana,Brāhmaṇa,1997,Veda and ritual,general discussion,1,1,1
register,brahmana,Brāhmaṇa,2000,General scholarly discussion,general discussion,13,9,11
register,brahmana,Brāhmaṇa,2000,Veda and ritual,general discussion,17,11,15
register,brahmana,Brāhmaṇa,2001,General scholarly discussion,general discussion,6,5,5
register,brahmana,Brāhmaṇa,2013,Veda and ritual,general discussion,2,1,2
register,brahmana,Brāhmaṇa,2014,General scholarly discussion,general discussion,9,1,5
register,brahmana,Brāhmaṇa,2014,Veda and ritual,general discussion,1,1,1
register,brahmana,Brāhmaṇa,2016,Bibliographic requests,bibliographic request,2,1,1
register,brahmana,Brāhmaṇa,2016,Veda and ritual,philological discussion,4,2,4
register,brahmana,Brāhmaṇa,2017,Bibliographic requests,bibliographic request,2,1,1
register,brahmana,Brāhmaṇa,2017,Bibliographic requests,philological discussion,2,1,2
register,brahmana,Brāhmaṇa,2017,General scholarly discussion,general discussion,4,3,3
register,brahmana,Brāhmaṇa,2017,Texts and philology,philological discussion,3,1,2
register,brahmana,Brāhmaṇa,2018,Veda and ritual,general discussion,2,1,2
register,brahmana,Brāhmaṇa,2020,Bibliographic requests,bibliographic request,3,1,3
register,brahmana,Brāhmaṇa,2020,Texts and philology,philological discussion,9,1,5
register,brahmana,Brāhmaṇa,2021,General scholarly discussion,general discussion,1,1,1
register,brahmana,Brāhmaṇa,2021,Texts and philology,philological discussion,1,1,1
register,brahmana,Brāhmaṇa,2022,Veda and ritual,general discussion,4,1,2
register,brahmana,Brāhmaṇa,2023,Texts and philology,philological discussion,4,1,2
register,brahmana,Brāhmaṇa,2024,General scholarly discussion,general discussion,2,1,2
