scope,total_rows,matched_rows,matched_percent,source_url
messages,62115,6217,10.01,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
threads,24034,3307,13.76,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
