renou_axis,renou_code,renou_label,year,primary_topic,list_function,message_count,thread_count,author_count
register,purana,Purāṇa,1994,Texts and philology,general discussion,1,1,1
register,purana,Purāṇa,1995,Texts and philology,general discussion,1,1,1
register,purana,Purāṇa,1996,Texts and philology,general discussion,1,1,1
register,purana,Purāṇa,1996,Texts and philology,identification/help request,3,3,3
register,purana,Purāṇa,1997,Texts and philology,general discussion,4,3,4
register,purana,Purāṇa,1997,Texts and philology,philological discussion,1,1,1
register,purana,Purāṇa,1998,Texts and philology,general discussion,4,3,4
register,purana,Purāṇa,1999,General scholarly discussion,general discussion,1,1,1
register,purana,Purāṇa,1999,Texts and philology,general discussion,9,8,9
register,purana,Purāṇa,2000,Texts and philology,general discussion,5,3,5
register,purana,Purāṇa,2003,Texts and philology,general discussion,4,3,4
register,purana,Purāṇa,2006,Texts and philology,general discussion,5,2,5
register,purana,Purāṇa,2006,Texts and philology,identification/help request,7,4,7
register,purana,Purāṇa,2006,Texts and philology,philological discussion,16,5,12
register,purana,Purāṇa,2009,Texts and philology,general discussion,10,8,9
register,purana,Purāṇa,2010,Texts and philology,general discussion,9,7,7
register,purana,Purāṇa,2012,Texts and philology,general discussion,4,3,3
register,purana,Purāṇa,2013,Texts and philology,general discussion,6,2,5
register,purana,Purāṇa,2014,Announcements and events,announcement/event,1,1,1
register,purana,Purāṇa,2014,Digital resources and tools,digital resource/tool,2,1,2
register,purana,Purāṇa,2014,Texts and philology,general discussion,2,1,1
register,purana,Purāṇa,2014,Texts and philology,identification/help request,2,1,2
register,purana,Purāṇa,2014,Texts and philology,philological discussion,2,2,2
register,purana,Purāṇa,2015,Texts and philology,philological discussion,1,1,1
register,purana,Purāṇa,2016,Texts and philology,general discussion,8,3,6
register,purana,Purāṇa,2017,Texts and philology,general discussion,14,3,7
register,purana,Purāṇa,2019,Texts and philology,general discussion,1,1,1
register,purana,Purāṇa,2019,Texts and philology,identification/help request,6,1,5
register,purana,Purāṇa,2021,Digital resources and tools,digital resource/tool,1,1,1
register,purana,Purāṇa,2021,Texts and philology,general discussion,12,3,12
register,purana,Purāṇa,2022,Texts and philology,general discussion,2,2,2
register,purana,Purāṇa,2023,Texts and philology,general discussion,2,2,2
register,purana,Purāṇa,2024,Announcements and events,job/position,1,1,1
register,purana,Purāṇa,2024,Texts and philology,general discussion,1,1,1
register,purana,Purāṇa,2024,Texts and philology,philological discussion,3,2,2
register,purana,Purāṇa,2025,Texts and philology,general discussion,4,3,3
register,purana,Purāṇa,2026,Texts and philology,general discussion,4,1,2
