renou_axis,renou_code,renou_label,year,primary_topic,list_function,message_count,thread_count,author_count
register,bauddha,Bauddha,1994,Buddhism and Jainism,general discussion,2,2,2
register,bauddha,Bauddha,1999,Buddhism and Jainism,general discussion,9,8,7
register,bauddha,Bauddha,2000,Announcements and events,job/position,1,1,1
register,bauddha,Bauddha,2000,Buddhism and Jainism,general discussion,3,3,3
register,bauddha,Bauddha,2002,Buddhism and Jainism,general discussion,2,2,2
register,bauddha,Bauddha,2008,Buddhism and Jainism,general discussion,41,7,22
register,bauddha,Bauddha,2009,General scholarly discussion,general discussion,2,1,2
register,bauddha,Bauddha,2010,Buddhism and Jainism,general discussion,1,1,1
register,bauddha,Bauddha,2012,Announcements and events,announcement/event,1,1,1
register,bauddha,Bauddha,2013,Announcements and events,announcement/event,2,2,2
register,bauddha,Bauddha,2016,Announcements and events,announcement/event,1,1,1
register,bauddha,Bauddha,2016,Buddhism and Jainism,general discussion,5,1,4
register,bauddha,Bauddha,2016,General scholarly discussion,general discussion,1,1,1
register,bauddha,Bauddha,2016,History and culture,general discussion,1,1,1
register,bauddha,Bauddha,2017,Buddhism and Jainism,general discussion,2,2,2
register,bauddha,Bauddha,2017,Buddhism and Jainism,philological discussion,2,1,2
register,bauddha,Bauddha,2018,Announcements and events,announcement/event,1,1,1
register,bauddha,Bauddha,2018,Buddhism and Jainism,general discussion,1,1,1
register,bauddha,Bauddha,2020,Buddhism and Jainism,general discussion,3,1,2
register,bauddha,Bauddha,2021,Bibliographic requests,bibliographic request,3,1,2
register,bauddha,Bauddha,2022,Announcements and events,job/position,1,1,1
register,bauddha,Bauddha,2022,General scholarly discussion,general discussion,1,1,1
register,bauddha,Bauddha,2023,Announcements and events,announcement/event,1,1,1
register,bauddha,Bauddha,2023,Buddhism and Jainism,general discussion,1,1,1
register,bauddha,Bauddha,2025,Buddhism and Jainism,philological discussion,3,2,3
register,bauddha,Bauddha,2026,Announcements and events,announcement/event,1,1,1
