queue_rank,thread_root_id,curation_status,review_track,suggested_track,suggested_track_basis,case_type,review_decision,short_title,english_public_note_draft,english_why_it_matters_draft,curator_comments,manual_reviewer,manual_review_date,subject,year,primary_topic,list_function,message_count,author_count,reply_count,case_score,page_path,first_url,evidence
6,049514,candidate,,philological_substance,topic=Grammar and linguistics,philological debate,,Non-standard sandhi,,,,,,Non-standard sandhi,2019,Grammar and linguistics,philological discussion,82,10,81,282,threads/006-049514-non-standard-sandhi.html,https://list.indology.info/pipermail/indology/2019-March/049514.html,long thread; multi-author; resolved replies
10,020450,candidate,,philological_substance,topic=Veda and ritual,general discussion,,BiBTeX Packages for citing MSS,,,,,,BiBTeX Packages for citing MSS,2000,Veda and ritual,general discussion,47,22,46,247,threads/010-020450-bibtex-packages-for-citing-mss.html,https://list.indology.info/pipermail/indology/2000-March/020450.html,long thread; multi-author; resolved replies; request/help language; thanks/correction language
18,024160,candidate,,philological_substance,keyword match,general discussion,,Correction re: Cerebral L in Rg Veda,,,,,,Correction re: Cerebral L in Rg Veda,2000,General scholarly discussion,general discussion,39,21,38,216,threads/018-024160-correction-re-cerebral-l-in-rg-veda.html,https://list.indology.info/pipermail/indology/2000-December/024160.html,long thread; multi-author; resolved replies; request/help language; thanks/correction language
31,013052,candidate,,philological_substance,keyword match,general discussion,,Early excommunications from / inclusions into vedic ...,,,,,,Early excommunications from / inclusions into vedic ...,1998,General scholarly discussion,general discussion,45,14,44,191,threads/031-013052-early-excommunications-from-inclusions-into-vedic.html,https://list.indology.info/pipermail/indology/1998-July/013052.html,long thread; multi-author; resolved replies
39,038062,candidate,,philological_substance,function=identification/help request,identification/help request,,question for European Indologists,,,,,,question for European Indologists,2013,General scholarly discussion,identification/help request,30,24,29,180,threads/039-038062-question-for-european-indologists.html,https://list.indology.info/pipermail/indology/2013-June/038062.html,long thread; multi-author; resolved replies; request/help language
44,050859,candidate,,philological_substance,function=identification/help request,identification/help request,,Query on verse forms,,,,,,Query on verse forms,2019,General scholarly discussion,identification/help request,45,5,44,172,threads/044-050859-query-on-verse-forms.html,https://list.indology.info/pipermail/indology/2019-September/050859.html,long thread; multi-author; resolved replies; request/help language
45,048529,candidate,,philological_substance,topic=Veda and ritual,general discussion,,Soma and Amanita muscaria,,,,,,Soma and Amanita muscaria,2018,Veda and ritual,general discussion,36,19,35,171,threads/045-048529-soma-and-amanita-muscaria.html,https://list.indology.info/pipermail/indology/2018-October/048529.html,long thread; multi-author; resolved replies
52,005576,candidate,,philological_substance,function=identification/help request,identification/help request,,Official State Languages query,,,,,,Official State Languages query,1996,General scholarly discussion,identification/help request,33,13,31,158,threads/052-005576-official-state-languages-query.html,https://list.indology.info/pipermail/indology/1996-August/005579.html,long thread; multi-author; resolved replies; request/help language
54,021312,candidate,,philological_substance,keyword match,general discussion,,buddhist sanskrit texts,,,,,,buddhist sanskrit texts,2000,General scholarly discussion,general discussion,36,11,34,157,threads/054-021312-buddhist-sanskrit-texts.html,https://list.indology.info/pipermail/indology/2000-May/021316.html,long thread; multi-author; resolved replies
75,043992,candidate,,philological_substance,function=identification/help request,identification/help request,,Question on Diacritical Marks,,,,,,Question on Diacritical Marks,2016,General scholarly discussion,identification/help request,24,19,23,143,threads/075-043992-question-on-diacritical-marks.html,https://list.indology.info/pipermail/indology/2016-September/043992.html,long thread; multi-author; resolved replies; request/help language
89,032536,candidate,,philological_substance,function=philological discussion,philological debate,,"""samsara"" meaning ""life""",,,,,,"""samsara"" meaning ""life""",2009,General scholarly discussion,philological discussion,23,15,21,138,threads/089-032536-samsara-meaning-life.html,https://list.indology.info/pipermail/indology/2009-February/032539.html,long thread; multi-author; resolved replies; request/help language
93,042330,candidate,,philological_substance,topic=Manuscripts and epigraphy,general discussion,,rubrication in Indian mss.,,,,,,rubrication in Indian mss.,2015,Manuscripts and epigraphy,general discussion,29,16,28,137,threads/093-042330-rubrication-in-indian-mss.html,https://list.indology.info/pipermail/indology/2015-November/042330.html,long thread; multi-author; resolved replies
94,035699,candidate,,philological_substance,function=identification/help request,identification/help request,,taxonomy question,,,,,,taxonomy question,2011,General scholarly discussion,identification/help request,25,15,23,136,threads/094-035699-taxonomy-question.html,https://list.indology.info/pipermail/indology/2011-August/035701.html,long thread; multi-author; resolved replies; request/help language
105,032337,candidate,,philological_substance,topic=Buddhism and Jainism,general discussion,,Proceedings BM Symposium: Mansar,,,,,,Proceedings BM Symposium: Mansar,2008,Buddhism and Jainism,general discussion,26,14,24,132,threads/105-032337-proceedings-bm-symposium-mansar.html,https://list.indology.info/pipermail/indology/2008-December/032343.html,long thread; multi-author; resolved replies
108,049669,candidate,,philological_substance,function=identification/help request,identification/help request,,question about a soliciation from publisher MDPI,,,,,,question about a soliciation from publisher MDPI,2019,General scholarly discussion,identification/help request,25,14,24,131,threads/108-049669-question-about-a-soliciation-from-publisher-mdpi.html,https://list.indology.info/pipermail/indology/2019-March/049669.html,long thread; multi-author; resolved replies; request/help language
109,033251,candidate,,philological_substance,topic=Texts and philology,philological discussion,,The Film Adi Shankaracharya,,,,,,The Film Adi Shankaracharya,2009,Texts and philology,philological discussion,25,11,24,130,threads/109-033251-the-film-adi-shankaracharya.html,https://list.indology.info/pipermail/indology/2009-June/033251.html,long thread; multi-author; resolved replies; request/help language
110,015333,candidate,,philological_substance,keyword match,philological debate,,references to tuLu language in ancient Tamil text,,,,,,references to tuLu language in ancient Tamil text,1999,General scholarly discussion,general discussion,26,14,25,130,threads/110-015333-references-to-tulu-language-in-ancient-tamil-text.html,https://list.indology.info/pipermail/indology/1999-January/015333.html,long thread; multi-author; resolved replies
120,041686,candidate,,philological_substance,topic=Bibliographic requests,identification/help request,,Does anyone know of Sanskrit works that use 2nd-syllable rhyming?,,,,,,Does anyone know of Sanskrit works that use 2nd-syllable rhyming?,2015,Bibliographic requests,identification/help request,24,12,23,126,threads/120-041686-does-anyone-know-of-sanskrit-works-that-use-2nd-syllable-rhyming.html,https://list.indology.info/pipermail/indology/2015-July/041686.html,long thread; multi-author; resolved replies; request/help language
126,061773,candidate,,philological_substance,keyword match,general discussion,,Working with Pali Manuscripts: A Summer School,,,,,,Working with Pali Manuscripts: A Summer School,2026,General scholarly discussion,general discussion,23,15,22,124,threads/126-061773-working-with-pali-manuscripts-a-summer-school.html,https://list.indology.info/pipermail/indology/2026-March/061773.html,long thread; multi-author; resolved replies
138,056580,candidate,,philological_substance,topic=Grammar and linguistics,philological debate,,Sandhi examples in the english language,,,,,,Sandhi examples in the english language,2022,Grammar and linguistics,philological discussion,23,16,22,119,threads/138-056580-sandhi-examples-in-the-english-language.html,https://list.indology.info/pipermail/indology/2022-August/056580.html,long thread; multi-author; resolved replies
139,054558,candidate,,philological_substance,topic=Veda and ritual,general discussion,,Rgveda complete study material and reverse word index,,,,,,Rgveda complete study material and reverse word index,2021,Veda and ritual,general discussion,24,15,23,119,threads/139-054558-rgveda-complete-study-material-and-reverse-word-index.html,https://list.indology.info/pipermail/indology/2021-April/054558.html,long thread; multi-author; resolved replies
147,041278,candidate,,philological_substance,topic=Manuscripts and epigraphy,general discussion,,prof. or mr. or mrs. or ms. etc first name,,,,,,prof. or mr. or mrs. or ms. etc first name,2015,Manuscripts and epigraphy,general discussion,21,12,20,117,threads/147-041278-prof-or-mr-or-mrs-or-ms-etc-first-name.html,https://list.indology.info/pipermail/indology/2015-June/041278.html,long thread; multi-author; resolved replies; request/help language
149,013061,candidate,,philological_substance,function=general discussion,identification/help request,,An old question,,,,,,An old question,1998,General scholarly discussion,general discussion,22,11,21,117,threads/149-013061-an-old-question.html,https://list.indology.info/pipermail/indology/1998-July/013061.html,long thread; multi-author; resolved replies; request/help language
165,024362,candidate,,philological_substance,function=general discussion,identification/help request,,SV: Science Fiction Question for an Indologist (fwd),,,,,,SV: Science Fiction Question for an Indologist (fwd),2000,General scholarly discussion,general discussion,18,13,17,115,threads/165-024362-sv-science-fiction-question-for-an-indologist-fwd.html,https://list.indology.info/pipermail/indology/2000-December/024362.html,long thread; multi-author; resolved replies; request/help language
178,036432,candidate,,philological_substance,topic=Manuscripts and epigraphy,philological debate,,Manuscript copies of printed books,,,,,,Manuscript copies of printed books,2012,Manuscripts and epigraphy,philological discussion,15,14,13,111,threads/178-036432-manuscript-copies-of-printed-books.html,https://list.indology.info/pipermail/indology/2012-March/036435.html,long thread; multi-author; resolved replies; request/help language
184,059505,candidate,,philological_substance,topic=Bibliographic requests,identification/help request,,Request for help - materiality of texts and textual production,,,,,,Request for help - materiality of texts and textual production,2024,Bibliographic requests,identification/help request,17,15,16,110,threads/184-059505-request-for-help-materiality-of-texts-and-textual-production.html,https://list.indology.info/pipermail/indology/2024-August/059505.html,long thread; multi-author; resolved replies; request/help language
185,010366,candidate,,philological_substance,topic=Texts and philology,philological discussion,,"""Indus Script"" , ""Aryan Invasion Theory"" and ""horse(s) in the Indus Valley""",,,,,,"""Indus Script"" , ""Aryan Invasion Theory"" and ""horse(s) in the Indus Valley""",1998,Texts and philology,philological discussion,20,12,19,110,threads/185-010366-indus-script-aryan-invasion-theory-and-horse-s-in-the-indus-valley.html,https://list.indology.info/pipermail/indology/1998-January/010366.html,long thread; multi-author; resolved replies
191,011069,candidate,,philological_substance,function=general discussion,identification/help request,,Query on the term *mistri*,,,,,,Query on the term *mistri*,1998,General scholarly discussion,general discussion,20,12,18,108,threads/191-011069-query-on-the-term-mistri.html,https://list.indology.info/pipermail/indology/1998-February/011084.html,long thread; multi-author; resolved replies; request/help language
200,059907,candidate,,philological_substance,function=identification/help request,identification/help request,,Question about Nepalese manuscripts,,,,,,Question about Nepalese manuscripts,2024,General scholarly discussion,identification/help request,21,10,20,107,threads/200-059907-question-about-nepalese-manuscripts.html,https://list.indology.info/pipermail/indology/2024-December/059907.html,long thread; multi-author; resolved replies; request/help language
203,044586,candidate,,philological_substance,topic=Veda and ritual,general discussion,,'Vedic' astrology (was: bhakti),,,,,,'Vedic' astrology (was: bhakti),2016,Veda and ritual,general discussion,26,9,25,107,threads/203-044586-vedic-astrology-was-bhakti.html,https://list.indology.info/pipermail/indology/2016-November/044586.html,long thread; multi-author; resolved replies
204,014964,candidate,,philological_substance,keyword match,general discussion,,Postmodernistic Study of Sanskrit texts?,,,,,,Postmodernistic Study of Sanskrit texts?,1999,General scholarly discussion,general discussion,21,11,20,106,threads/204-014964-postmodernistic-study-of-sanskrit-texts.html,https://list.indology.info/pipermail/indology/1999-January/014964.html,long thread; multi-author; resolved replies
208,009052,candidate,,philological_substance,function=general discussion,identification/help request,,question,,,,,,question,1997,General scholarly discussion,general discussion,18,11,17,105,threads/208-009052-question.html,https://list.indology.info/pipermail/indology/1997-September/009052.html,long thread; multi-author; resolved replies; request/help language
239,037857,candidate,,philological_substance,topic=Grammar and linguistics,philological debate,,Sanskrit syntax,,,,,,Sanskrit syntax,2013,Grammar and linguistics,philological discussion,15,12,14,99,threads/239-037857-sanskrit-syntax.html,https://list.indology.info/pipermail/indology/2013-May/037857.html,long thread; multi-author; resolved replies; request/help language
243,061850,candidate,,philological_substance,function=identification/help request,identification/help request,,a question about the āśīrliṅ,,,,,,a question about the āśīrliṅ,2026,General scholarly discussion,identification/help request,17,11,16,98,threads/243-061850-a-question-about-the-rli.html,https://list.indology.info/pipermail/indology/2026-March/061850.html,long thread; multi-author; resolved replies; request/help language
247,046589,candidate,,philological_substance,topic=Manuscripts and epigraphy,philological debate,,Once again on the origin of zero: the date of the Bakhshali manuscript (or manuscripts?),,,,,,Once again on the origin of zero: the date of the Bakhshali manuscript (or manuscripts?),2017,Manuscripts and epigraphy,philological discussion,21,11,20,98,threads/247-046589-once-again-on-the-origin-of-zero-the-date-of-the-bakhshali-manuscript-or-.html,https://list.indology.info/pipermail/indology/2017-September/046589.html,long thread; multi-author; resolved replies
248,022744,candidate,,philological_substance,topic=Texts and philology,general discussion,,Ancient Indians and the science of flying,,,,,,Ancient Indians and the science of flying,2000,Texts and philology,general discussion,17,7,16,98,threads/248-022744-ancient-indians-and-the-science-of-flying.html,https://list.indology.info/pipermail/indology/2000-September/022744.html,long thread; multi-author; resolved replies; request/help language
249,054749,candidate,,philological_substance,function=identification/help request,identification/help request,,Help with a simile,,,,,,Help with a simile,2021,General scholarly discussion,identification/help request,16,12,15,98,threads/249-054749-help-with-a-simile.html,https://list.indology.info/pipermail/indology/2021-May/054749.html,long thread; multi-author; resolved replies; request/help language
