decade,list_function,message_count,share_of_decade
1990s,general discussion,16519,0.8389
1990s,philological discussion,919,0.0467
1990s,identification/help request,833,0.0423
1990s,digital resource/tool,544,0.0276
1990s,announcement/event,333,0.0169
1990s,debate/controversy,238,0.0121
1990s,job/position,116,0.0059
1990s,bibliographic request,96,0.0049
1990s,list administration,63,0.0032
1990s,obituary/memorial,17,0.0009
1990s,technical support,14,0.0007
2000s,general discussion,11609,0.8168
2000s,identification/help request,611,0.043
2000s,philological discussion,591,0.0416
2000s,digital resource/tool,547,0.0385
2000s,announcement/event,352,0.0248
2000s,job/position,241,0.017
2000s,bibliographic request,84,0.0059
2000s,obituary/memorial,62,0.0044
2000s,debate/controversy,47,0.0033
2000s,technical support,35,0.0025
2000s,list administration,33,0.0023
2010s,general discussion,12569,0.7097
2010s,identification/help request,1237,0.0698
2010s,philological discussion,1008,0.0569
2010s,announcement/event,828,0.0468
2010s,digital resource/tool,812,0.0458
2010s,bibliographic request,598,0.0338
2010s,job/position,291,0.0164
2010s,debate/controversy,189,0.0107
2010s,list administration,82,0.0046
2010s,obituary/memorial,72,0.0041
2010s,technical support,24,0.0014
2020s,general discussion,7127,0.6789
2020s,announcement/event,749,0.0713
2020s,philological discussion,608,0.0579
2020s,identification/help request,599,0.0571
2020s,bibliographic request,584,0.0556
2020s,digital resource/tool,517,0.0492
2020s,job/position,244,0.0232
2020s,obituary/memorial,44,0.0042
2020s,list administration,16,0.0015
2020s,debate/controversy,7,0.0007
2020s,technical support,3,0.0003
