renou_axis,renou_code,renou_label,year,primary_topic,list_function,message_count,thread_count,author_count
register,bhasya,Bhāṣya,1994,General scholarly discussion,general discussion,1,1,1
register,bhasya,Bhāṣya,1994,Veda and ritual,philological discussion,3,2,3
register,bhasya,Bhāṣya,1995,Bibliographic requests,philological discussion,2,2,2
register,bhasya,Bhāṣya,1995,General scholarly discussion,general discussion,5,2,4
register,bhasya,Bhāṣya,1995,Texts and philology,philological discussion,2,2,2
register,bhasya,Bhāṣya,1996,Texts and philology,philological discussion,4,4,4
register,bhasya,Bhāṣya,1997,Texts and philology,philological discussion,1,1,1
register,bhasya,Bhāṣya,1998,General scholarly discussion,general discussion,14,13,14
register,bhasya,Bhāṣya,1998,General scholarly discussion,identification/help request,2,1,2
register,bhasya,Bhāṣya,1999,General scholarly discussion,general discussion,6,5,4
register,bhasya,Bhāṣya,2000,General scholarly discussion,general discussion,26,20,22
register,bhasya,Bhāṣya,2000,Texts and philology,philological discussion,1,1,1
register,bhasya,Bhāṣya,2000,Veda and ritual,philological discussion,1,1,1
register,bhasya,Bhāṣya,2001,General scholarly discussion,general discussion,2,2,2
register,bhasya,Bhāṣya,2001,Manuscripts and epigraphy,philological discussion,8,4,7
register,bhasya,Bhāṣya,2003,Digital resources and tools,digital resource/tool,1,1,1
register,bhasya,Bhāṣya,2003,Texts and philology,philological discussion,2,1,2
register,bhasya,Bhāṣya,2004,General scholarly discussion,general discussion,7,5,7
register,bhasya,Bhāṣya,2006,Texts and philology,philological discussion,1,1,1
register,bhasya,Bhāṣya,2008,Texts and philology,identification/help request,1,1,1
register,bhasya,Bhāṣya,2008,Texts and philology,philological discussion,3,1,2
register,bhasya,Bhāṣya,2009,Texts and philology,philological discussion,5,2,3
register,bhasya,Bhāṣya,2010,Digital resources and tools,digital resource/tool,2,2,2
register,bhasya,Bhāṣya,2010,Texts and philology,general discussion,2,1,2
register,bhasya,Bhāṣya,2010,Texts and philology,philological discussion,3,2,2
register,bhasya,Bhāṣya,2011,General scholarly discussion,philological discussion,1,1,1
register,bhasya,Bhāṣya,2012,General scholarly discussion,general discussion,2,2,2
register,bhasya,Bhāṣya,2012,Texts and philology,philological discussion,4,3,3
register,bhasya,Bhāṣya,2013,Bibliographic requests,bibliographic request,3,1,2
register,bhasya,Bhāṣya,2013,Texts and philology,philological discussion,5,2,4
register,bhasya,Bhāṣya,2014,Bibliographic requests,bibliographic request,2,1,1
register,bhasya,Bhāṣya,2014,General scholarly discussion,general discussion,1,1,1
register,bhasya,Bhāṣya,2014,Texts and philology,philological discussion,12,5,8
register,bhasya,Bhāṣya,2015,Texts and philology,philological discussion,7,5,6
register,bhasya,Bhāṣya,2015,Veda and ritual,philological discussion,1,1,1
register,bhasya,Bhāṣya,2016,General scholarly discussion,general discussion,4,1,3
register,bhasya,Bhāṣya,2016,Texts and philology,philological discussion,16,6,11
register,bhasya,Bhāṣya,2016,Veda and ritual,philological discussion,4,2,4
register,bhasya,Bhāṣya,2017,Announcements and events,announcement/event,2,2,2
register,bhasya,Bhāṣya,2017,Bibliographic requests,bibliographic request,5,3,3
register,bhasya,Bhāṣya,2017,General scholarly discussion,general discussion,2,1,2
register,bhasya,Bhāṣya,2017,Texts and philology,philological discussion,20,3,10
register,bhasya,Bhāṣya,2018,Bibliographic requests,bibliographic request,1,1,1
register,bhasya,Bhāṣya,2018,General scholarly discussion,general discussion,25,2,15
register,bhasya,Bhāṣya,2018,Manuscripts and epigraphy,philological discussion,7,1,5
register,bhasya,Bhāṣya,2018,Texts and philology,philological discussion,9,3,5
register,bhasya,Bhāṣya,2019,General scholarly discussion,general discussion,1,1,1
register,bhasya,Bhāṣya,2019,Texts and philology,philological discussion,1,1,1
register,bhasya,Bhāṣya,2020,Bibliographic requests,bibliographic request,1,1,1
register,bhasya,Bhāṣya,2020,Digital resources and tools,digital resource/tool,7,2,4
register,bhasya,Bhāṣya,2020,General scholarly discussion,general discussion,1,1,1
register,bhasya,Bhāṣya,2020,Texts and philology,philological discussion,5,3,4
register,bhasya,Bhāṣya,2021,Bibliographic requests,bibliographic request,4,2,4
register,bhasya,Bhāṣya,2021,General scholarly discussion,general discussion,6,2,4
register,bhasya,Bhāṣya,2021,Texts and philology,philological discussion,6,2,5
register,bhasya,Bhāṣya,2022,Announcements and events,announcement/event,1,1,1
register,bhasya,Bhāṣya,2022,General scholarly discussion,general discussion,2,2,2
register,bhasya,Bhāṣya,2022,Texts and philology,philological discussion,10,4,9
register,bhasya,Bhāṣya,2023,Bibliographic requests,bibliographic request,1,1,1
register,bhasya,Bhāṣya,2023,Bibliographic requests,identification/help request,4,1,3
register,bhasya,Bhāṣya,2023,Texts and philology,general discussion,1,1,1
register,bhasya,Bhāṣya,2024,Texts and philology,philological discussion,1,1,1
register,bhasya,Bhāṣya,2025,General scholarly discussion,general discussion,3,3,3
