queue_rank,thread_root_id,curation_status,review_track,suggested_track,suggested_track_basis,case_type,review_decision,short_title,english_public_note_draft,english_why_it_matters_draft,curator_comments,manual_reviewer,manual_review_date,subject,year,primary_topic,list_function,message_count,author_count,reply_count,case_score,page_path,first_url,evidence
1,052077,candidate,,,,general discussion,,A distraction from the Coronavirus,,,,,,A distraction from the Coronavirus,2020,General scholarly discussion,general discussion,122,19,122,427,threads/001-052077-a-distraction-from-the-coronavirus.html,https://list.indology.info/pipermail/indology/2020-April/052077.html,long thread; multi-author; resolved replies
2,013924,candidate,,,,general discussion,,SV: Paired Horse and PIE breakup,,,,,,SV: Paired Horse and PIE breakup,1998,General scholarly discussion,general discussion,108,14,106,388,threads/002-013924-sv-paired-horse-and-pie-breakup.html,https://list.indology.info/pipermail/indology/1998-November/013927.html,long thread; multi-author; resolved replies; thanks/correction language
3,023195,candidate,,,,general discussion,,"""Science"" in India",,,,,,"""Science"" in India",2000,History and culture,general discussion,70,34,68,338,threads/003-023195-science-in-india.html,https://list.indology.info/pipermail/indology/2000-October/023202.html,long thread; multi-author; resolved replies; thanks/correction language
4,049728,candidate,,,,debate/controversy,,Sexism and Bias on INDOLOGY governing committee,,,,,,Sexism and Bias on INDOLOGY governing committee,2019,General scholarly discussion,debate/controversy,56,35,55,285,threads/004-049728-sexism-and-bias-on-indology-governing-committee.html,https://list.indology.info/pipermail/indology/2019-April/049728.html,long thread; multi-author; resolved replies; debate language
5,015606,candidate,,,,general discussion,,Ontology of Ramanuja,,,,,,Ontology of Ramanuja,1999,General scholarly discussion,general discussion,74,12,73,284,threads/005-015606-ontology-of-ramanuja.html,https://list.indology.info/pipermail/indology/1999-February/015606.html,long thread; multi-author; resolved replies
6,049514,candidate,,philological_substance,topic=Grammar and linguistics,philological debate,,Non-standard sandhi,,,,,,Non-standard sandhi,2019,Grammar and linguistics,philological discussion,82,10,81,282,threads/006-049514-non-standard-sandhi.html,https://list.indology.info/pipermail/indology/2019-March/049514.html,long thread; multi-author; resolved replies
7,010710,candidate,,,,general discussion,,Tamil words in English,,,,,,Tamil words in English,1998,General scholarly discussion,general discussion,59,26,57,279,threads/007-010710-tamil-words-in-english.html,https://list.indology.info/pipermail/indology/1998-February/010711.html,long thread; multi-author; resolved replies; request/help language
8,015672,candidate,,,,general discussion,,"questions: hymns, latAveZin, manner of death",,,,,,"questions: hymns, latAveZin, manner of death",1999,General scholarly discussion,general discussion,58,20,57,264,threads/008-015672-questions-hymns-latavezin-manner-of-death.html,https://list.indology.info/pipermail/indology/1999-February/015672.html,long thread; multi-author; resolved replies; request/help language
9,019623,candidate,,,,general discussion,,Millennium,,,,,,Millennium,2000,General scholarly discussion,general discussion,61,16,60,257,threads/009-019623-millennium.html,https://list.indology.info/pipermail/indology/2000-January/019623.html,long thread; multi-author; resolved replies; request/help language
10,020450,candidate,,philological_substance,topic=Veda and ritual,general discussion,,BiBTeX Packages for citing MSS,,,,,,BiBTeX Packages for citing MSS,2000,Veda and ritual,general discussion,47,22,46,247,threads/010-020450-bibtex-packages-for-citing-mss.html,https://list.indology.info/pipermail/indology/2000-March/020450.html,long thread; multi-author; resolved replies; request/help language; thanks/correction language
11,030283,candidate,,,,general discussion,,Pancaratna of the MBh?,,,,,,Pancaratna of the MBh?,2007,General scholarly discussion,general discussion,44,26,43,238,threads/011-030283-pancaratna-of-the-mbh.html,https://list.indology.info/pipermail/indology/2007-January/030283.html,long thread; multi-author; resolved replies; request/help language; debate language
12,060627,candidate,,,,memorial/community memory,,Johannes Bronkhorst gone,,,,,,Johannes Bronkhorst gone,2025,General scholarly discussion,general discussion,39,38,38,233,threads/012-060627-johannes-bronkhorst-gone.html,https://list.indology.info/pipermail/indology/2025-May/060627.html,long thread; multi-author; resolved replies
13,012389,candidate,,,,general discussion,,South India geography,,,,,,South India geography,1998,General scholarly discussion,general discussion,53,15,51,232,threads/013-012389-south-india-geography.html,https://list.indology.info/pipermail/indology/1998-May/012393.html,long thread; multi-author; resolved replies; request/help language
14,014966,candidate,,,,general discussion,,Early Giithaa sculptures,,,,,,Early Giithaa sculptures,1999,General scholarly discussion,general discussion,49,16,47,229,threads/014-014966-early-giithaa-sculptures.html,https://list.indology.info/pipermail/indology/1999-January/014967.html,long thread; multi-author; resolved replies; request/help language; debate language
15,014599,candidate,,,,general discussion,,'Siva and Avalokitezvara,,,,,,'Siva and Avalokitezvara,1998,General scholarly discussion,general discussion,55,14,54,229,threads/015-014599-siva-and-avalokitezvara.html,https://list.indology.info/pipermail/indology/1998-December/014599.html,long thread; multi-author; resolved replies; request/help language
16,016740,candidate,,,,general discussion,,original inhabitants of Sri Lanka,,,,,,original inhabitants of Sri Lanka,1999,General scholarly discussion,general discussion,48,17,47,219,threads/016-016740-original-inhabitants-of-sri-lanka.html,https://list.indology.info/pipermail/indology/1999-May/016740.html,long thread; multi-author; resolved replies; thanks/correction language
17,023602,candidate,,infrastructure_history,keyword match,general discussion,,HTML Based Email (AOL 6.0),,,,,,HTML Based Email (AOL 6.0),2000,General scholarly discussion,general discussion,46,19,44,217,threads/017-023602-html-based-email-aol-6-0.html,https://list.indology.info/pipermail/indology/2000-November/023614.html,long thread; multi-author; resolved replies; thanks/correction language
18,024160,candidate,,philological_substance,keyword match,general discussion,,Correction re: Cerebral L in Rg Veda,,,,,,Correction re: Cerebral L in Rg Veda,2000,General scholarly discussion,general discussion,39,21,38,216,threads/018-024160-correction-re-cerebral-l-in-rg-veda.html,https://list.indology.info/pipermail/indology/2000-December/024160.html,long thread; multi-author; resolved replies; request/help language; thanks/correction language
19,053691,candidate,,,,general discussion,,Anniversary of INDOLOGY,,,,,,Anniversary of INDOLOGY,2020,General scholarly discussion,general discussion,38,33,37,215,threads/019-053691-anniversary-of-indology.html,https://list.indology.info/pipermail/indology/2020-November/053691.html,long thread; multi-author; resolved replies
20,012034,candidate,,,,general discussion,,Zraadha in Nepal,,,,,,Zraadha in Nepal,1998,General scholarly discussion,general discussion,45,18,43,211,threads/020-012034-zraadha-in-nepal.html,https://list.indology.info/pipermail/indology/1998-May/012045.html,long thread; multi-author; resolved replies; debate language
21,051856,candidate,,,,general discussion,,A distraction from the Coronavirus,,,,,,A distraction from the Coronavirus,2020,General scholarly discussion,general discussion,52,16,51,206,threads/021-051856-a-distraction-from-the-coronavirus.html,https://list.indology.info/pipermail/indology/2020-March/051856.html,long thread; multi-author; resolved replies
22,011216,candidate,,,,general discussion,,Padmabhushan,,,,,,Padmabhushan,1998,General scholarly discussion,general discussion,39,16,38,205,threads/022-011216-padmabhushan.html,https://list.indology.info/pipermail/indology/1998-March/011216.html,long thread; multi-author; resolved replies; request/help language; debate language
23,017083,candidate,,,,general discussion,,DharmasthaLa,,,,,,DharmasthaLa,1999,General scholarly discussion,general discussion,46,19,45,205,threads/023-017083-dharmasthala.html,https://list.indology.info/pipermail/indology/1999-May/017083.html,long thread; multi-author; resolved replies
24,048256,candidate,,,,general discussion,,Sanskrit can tackle climate change,,,,,,Sanskrit can tackle climate change,2018,General scholarly discussion,general discussion,51,15,50,204,threads/024-048256-sanskrit-can-tackle-climate-change.html,https://list.indology.info/pipermail/indology/2018-September/048256.html,long thread; multi-author; resolved replies
25,006983,candidate,,infrastructure_history,function=general discussion,digital resource/tool,,Update 2 to Pali Canon online,,,,,,Update 2 to Pali Canon online,1997,General scholarly discussion,general discussion,39,22,38,203,threads/025-006983-update-2-to-pali-canon-online.html,https://list.indology.info/pipermail/indology/1997-February/006983.html,long thread; multi-author; resolved replies; thanks/correction language
26,011114,candidate,,,,general discussion,,Indo-Aryan invasion,,,,,,Indo-Aryan invasion,1998,General scholarly discussion,general discussion,45,15,44,198,threads/026-011114-indo-aryan-invasion.html,https://list.indology.info/pipermail/indology/1998-March/011114.html,long thread; multi-author; resolved replies; request/help language
27,030315,candidate,,,,general discussion,,"Indology and ""the disastrous ideology of the 'pure Aryan race'""",,,,,,"Indology and ""the disastrous ideology of the 'pure Aryan race'""",2007,General scholarly discussion,general discussion,40,18,38,196,threads/027-030315-indology-and-the-disastrous-ideology-of-the-pure-aryan-race.html,https://list.indology.info/pipermail/indology/2007-January/030325.html,long thread; multi-author; resolved replies; debate language
28,041200,candidate,,,,bibliographic rescue,,Article about the politics surrounding indology at the IHRC,,,,,,Article about the politics surrounding indology at the IHRC,2015,General scholarly discussion,debate/controversy,42,15,41,195,threads/028-041200-article-about-the-politics-surrounding-indology-at-the-ihrc.html,https://list.indology.info/pipermail/indology/2015-June/041200.html,long thread; multi-author; resolved replies; request/help language; debate language
29,008004,candidate,,,,general discussion,,hair's colour in sanskrit,,,,,,hair's colour in sanskrit,1997,General scholarly discussion,general discussion,39,20,38,195,threads/029-008004-hair-s-colour-in-sanskrit.html,https://list.indology.info/pipermail/indology/1997-May/008004.html,long thread; multi-author; resolved replies; request/help language
30,014738,candidate,,,,general discussion,,Kamban's Aryan,,,,,,Kamban's Aryan,1998,General scholarly discussion,general discussion,44,14,43,192,threads/030-014738-kamban-s-aryan.html,https://list.indology.info/pipermail/indology/1998-December/014738.html,long thread; multi-author; resolved replies; request/help language
31,013052,candidate,,philological_substance,keyword match,general discussion,,Early excommunications from / inclusions into vedic ...,,,,,,Early excommunications from / inclusions into vedic ...,1998,General scholarly discussion,general discussion,45,14,44,191,threads/031-013052-early-excommunications-from-inclusions-into-vedic.html,https://list.indology.info/pipermail/indology/1998-July/013052.html,long thread; multi-author; resolved replies
32,022237,candidate,,,,general discussion,,Rajaram's PILTDOWN horse,,,,,,Rajaram's PILTDOWN horse,2000,General scholarly discussion,general discussion,39,20,38,189,threads/032-022237-rajaram-s-piltdown-horse.html,https://list.indology.info/pipermail/indology/2000-August/022237.html,long thread; multi-author; resolved replies; debate language
33,054683,candidate,,,,general discussion,,The Buddhist term sutta,,,,,,The Buddhist term sutta,2021,General scholarly discussion,general discussion,41,21,40,188,threads/033-054683-the-buddhist-term-sutta.html,https://list.indology.info/pipermail/indology/2021-May/054683.html,long thread; multi-author; resolved replies
34,024525,candidate,,,,general discussion,,Questions on Indian idealism,,,,,,Questions on Indian idealism,2000,General scholarly discussion,general discussion,38,17,37,187,threads/034-024525-questions-on-indian-idealism.html,https://list.indology.info/pipermail/indology/2000-December/024525.html,long thread; multi-author; resolved replies; request/help language
35,023085,candidate,,,,general discussion,,Summer Malayalam,,,,,,Summer Malayalam,2000,General scholarly discussion,general discussion,41,12,40,187,threads/035-023085-summer-malayalam.html,https://list.indology.info/pipermail/indology/2000-October/023085.html,long thread; multi-author; resolved replies; debate language
36,032607,candidate,,,,general discussion,,frequencies,,,,,,frequencies,2009,General scholarly discussion,general discussion,43,16,42,187,threads/036-032607-frequencies.html,https://list.indology.info/pipermail/indology/2009-February/032607.html,long thread; multi-author; resolved replies
