network_type,source_author,target_author,topic,thread_count,evidence
co_participation,Dominik Wujastyk,Madhav Deshpande,Announcements and events,154,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Madhav Deshpande,Bibliographic requests,154,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Madhav Deshpande,Buddhism and Jainism,154,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Madhav Deshpande,Digital resources and tools,154,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Madhav Deshpande,General scholarly discussion,154,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Madhav Deshpande,Grammar and linguistics,154,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Madhav Deshpande,History and culture,154,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Madhav Deshpande,Manuscripts and epigraphy,154,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Madhav Deshpande,Texts and philology,154,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Madhav Deshpande,Veda and ritual,154,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Matthew Kapstein,Announcements and events,113,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Matthew Kapstein,Bibliographic requests,113,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Matthew Kapstein,Buddhism and Jainism,113,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Matthew Kapstein,Digital resources and tools,113,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Matthew Kapstein,General scholarly discussion,113,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Matthew Kapstein,Grammar and linguistics,113,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Matthew Kapstein,History and culture,113,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Matthew Kapstein,Manuscripts and epigraphy,113,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Matthew Kapstein,Teaching and pedagogy,113,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Matthew Kapstein,Texts and philology,113,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Matthew Kapstein,Veda and ritual,113,authors appear in the same public archive threads
co_participation,Harry Spier,Madhav Deshpande,Bibliographic requests,102,authors appear in the same public archive threads
co_participation,Harry Spier,Madhav Deshpande,Digital resources and tools,102,authors appear in the same public archive threads
co_participation,Harry Spier,Madhav Deshpande,General scholarly discussion,102,authors appear in the same public archive threads
co_participation,Harry Spier,Madhav Deshpande,Grammar and linguistics,102,authors appear in the same public archive threads
co_participation,Harry Spier,Madhav Deshpande,History and culture,102,authors appear in the same public archive threads
co_participation,Harry Spier,Madhav Deshpande,Manuscripts and epigraphy,102,authors appear in the same public archive threads
co_participation,Harry Spier,Madhav Deshpande,Texts and philology,102,authors appear in the same public archive threads
co_participation,Harry Spier,Madhav Deshpande,Veda and ritual,102,authors appear in the same public archive threads
co_participation,Dipak Bhattacharya,Dominik Wujastyk,Bibliographic requests,87,authors appear in the same public archive threads
co_participation,Dipak Bhattacharya,Dominik Wujastyk,Digital resources and tools,87,authors appear in the same public archive threads
co_participation,Dipak Bhattacharya,Dominik Wujastyk,General scholarly discussion,87,authors appear in the same public archive threads
co_participation,Dipak Bhattacharya,Dominik Wujastyk,Grammar and linguistics,87,authors appear in the same public archive threads
co_participation,Dipak Bhattacharya,Dominik Wujastyk,History and culture,87,authors appear in the same public archive threads
co_participation,Dipak Bhattacharya,Dominik Wujastyk,Manuscripts and epigraphy,87,authors appear in the same public archive threads
co_participation,Dipak Bhattacharya,Dominik Wujastyk,Texts and philology,87,authors appear in the same public archive threads
co_participation,Dipak Bhattacharya,Dominik Wujastyk,Veda and ritual,87,authors appear in the same public archive threads
co_participation,N. Ganesan,Sudalaimuthu Palaniappan,Announcements and events,81,authors appear in the same public archive threads
co_participation,N. Ganesan,Sudalaimuthu Palaniappan,Digital resources and tools,81,authors appear in the same public archive threads
co_participation,N. Ganesan,Sudalaimuthu Palaniappan,General scholarly discussion,81,authors appear in the same public archive threads
co_participation,N. Ganesan,Sudalaimuthu Palaniappan,Grammar and linguistics,81,authors appear in the same public archive threads
co_participation,N. Ganesan,Sudalaimuthu Palaniappan,History and culture,81,authors appear in the same public archive threads
co_participation,N. Ganesan,Sudalaimuthu Palaniappan,Manuscripts and epigraphy,81,authors appear in the same public archive threads
co_participation,N. Ganesan,Sudalaimuthu Palaniappan,Texts and philology,81,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Jonathan Silk,Bibliographic requests,81,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Jonathan Silk,Digital resources and tools,81,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Jonathan Silk,General scholarly discussion,81,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Jonathan Silk,Grammar and linguistics,81,authors appear in the same public archive threads
co_participation,Dominik Wujastyk,Jonathan Silk,History and culture,81,authors appear in the same public archive threads
