renou_axis,renou_code,renou_label,year,primary_topic,list_function,message_count,thread_count,author_count
register,natya,Nāṭya,1996,General scholarly discussion,general discussion,1,1,1
register,natya,Nāṭya,1997,General scholarly discussion,general discussion,19,18,16
register,natya,Nāṭya,1998,General scholarly discussion,general discussion,12,10,8
register,natya,Nāṭya,1999,General scholarly discussion,general discussion,14,8,11
register,natya,Nāṭya,1999,General scholarly discussion,identification/help request,4,4,4
register,natya,Nāṭya,2004,Announcements and events,announcement/event,1,1,1
register,natya,Nāṭya,2005,General scholarly discussion,general discussion,4,4,4
register,natya,Nāṭya,2011,General scholarly discussion,general discussion,1,1,1
register,natya,Nāṭya,2013,General scholarly discussion,general discussion,2,1,2
register,natya,Nāṭya,2013,Manuscripts and epigraphy,general discussion,2,1,1
register,natya,Nāṭya,2013,Manuscripts and epigraphy,philological discussion,1,1,1
register,natya,Nāṭya,2015,General scholarly discussion,general discussion,4,2,4
register,natya,Nāṭya,2016,Bibliographic requests,bibliographic request,1,1,1
register,natya,Nāṭya,2017,General scholarly discussion,general discussion,6,1,3
register,natya,Nāṭya,2019,General scholarly discussion,general discussion,24,4,13
register,natya,Nāṭya,2020,General scholarly discussion,general discussion,3,3,2
register,natya,Nāṭya,2021,Announcements and events,announcement/event,1,1,1
register,natya,Nāṭya,2022,Announcements and events,announcement/event,1,1,1
register,natya,Nāṭya,2022,General scholarly discussion,general discussion,4,1,3
register,natya,Nāṭya,2023,General scholarly discussion,announcement/event,1,1,1
register,natya,Nāṭya,2023,General scholarly discussion,general discussion,1,1,1
register,natya,Nāṭya,2024,Announcements and events,announcement/event,2,2,1
register,natya,Nāṭya,2024,General scholarly discussion,general discussion,8,1,7
register,natya,Nāṭya,2025,General scholarly discussion,general discussion,5,3,4
register,natya,Nāṭya,2026,General scholarly discussion,general discussion,2,1,2
