renou_axis,renou_code,renou_label,year,primary_topic,list_function,message_count,thread_count,author_count
register,tantra,Tantra,1993,Texts and philology,general discussion,1,1,1
register,tantra,Tantra,1994,General scholarly discussion,general discussion,3,1,3
register,tantra,Tantra,1994,Texts and philology,general discussion,5,1,4
register,tantra,Tantra,1995,Announcements and events,announcement/event,2,2,2
register,tantra,Tantra,1995,General scholarly discussion,general discussion,4,4,3
register,tantra,Tantra,1996,Texts and philology,general discussion,1,1,1
register,tantra,Tantra,1997,General scholarly discussion,general discussion,2,2,1
register,tantra,Tantra,1997,Texts and philology,general discussion,10,8,9
register,tantra,Tantra,1997,Veda and ritual,general discussion,1,1,1
register,tantra,Tantra,1998,General scholarly discussion,general discussion,3,3,3
register,tantra,Tantra,1998,Texts and philology,general discussion,5,3,5
register,tantra,Tantra,1999,General scholarly discussion,general discussion,22,15,16
register,tantra,Tantra,1999,General scholarly discussion,philological discussion,3,2,2
register,tantra,Tantra,1999,Texts and philology,general discussion,5,5,5
register,tantra,Tantra,2000,History and culture,general discussion,1,1,1
register,tantra,Tantra,2000,Texts and philology,general discussion,1,1,1
register,tantra,Tantra,2001,Texts and philology,general discussion,3,3,3
register,tantra,Tantra,2004,Texts and philology,general discussion,7,5,6
register,tantra,Tantra,2007,General scholarly discussion,general discussion,4,3,4
register,tantra,Tantra,2008,Texts and philology,general discussion,7,3,7
register,tantra,Tantra,2010,General scholarly discussion,announcement/event,1,1,1
register,tantra,Tantra,2011,Announcements and events,announcement/event,1,1,1
register,tantra,Tantra,2012,General scholarly discussion,announcement/event,1,1,1
register,tantra,Tantra,2012,General scholarly discussion,general discussion,3,3,3
register,tantra,Tantra,2013,Texts and philology,general discussion,6,4,6
register,tantra,Tantra,2014,Digital resources and tools,digital resource/tool,1,1,1
register,tantra,Tantra,2014,General scholarly discussion,general discussion,3,2,3
register,tantra,Tantra,2015,Announcements and events,announcement/event,1,1,1
register,tantra,Tantra,2015,Buddhism and Jainism,general discussion,1,1,1
register,tantra,Tantra,2015,General scholarly discussion,general discussion,2,1,2
register,tantra,Tantra,2015,Manuscripts and epigraphy,general discussion,3,1,3
register,tantra,Tantra,2015,Texts and philology,general discussion,1,1,1
register,tantra,Tantra,2016,Announcements and events,announcement/event,3,3,1
register,tantra,Tantra,2016,Announcements and events,job/position,1,1,1
register,tantra,Tantra,2016,Bibliographic requests,bibliographic request,3,1,2
register,tantra,Tantra,2016,History and culture,general discussion,2,1,2
register,tantra,Tantra,2016,Texts and philology,general discussion,6,2,5
register,tantra,Tantra,2017,Bibliographic requests,bibliographic request,1,1,1
register,tantra,Tantra,2017,Texts and philology,general discussion,6,1,4
register,tantra,Tantra,2018,Announcements and events,announcement/event,2,2,1
register,tantra,Tantra,2018,Texts and philology,philological discussion,3,1,2
register,tantra,Tantra,2019,Announcements and events,announcement/event,2,2,2
register,tantra,Tantra,2019,Manuscripts and epigraphy,general discussion,3,1,2
register,tantra,Tantra,2019,Texts and philology,general discussion,17,2,6
register,tantra,Tantra,2020,Bibliographic requests,identification/help request,6,1,3
register,tantra,Tantra,2020,General scholarly discussion,announcement/event,1,1,1
register,tantra,Tantra,2020,General scholarly discussion,general discussion,2,1,2
register,tantra,Tantra,2020,Texts and philology,general discussion,11,2,6
register,tantra,Tantra,2021,Digital resources and tools,digital resource/tool,2,2,1
register,tantra,Tantra,2022,General scholarly discussion,general discussion,2,1,1
register,tantra,Tantra,2022,Texts and philology,general discussion,1,1,1
register,tantra,Tantra,2022,Texts and philology,philological discussion,4,1,3
register,tantra,Tantra,2023,Announcements and events,announcement/event,1,1,1
register,tantra,Tantra,2023,Digital resources and tools,digital resource/tool,2,2,2
register,tantra,Tantra,2024,Bibliographic requests,general discussion,1,1,1
register,tantra,Tantra,2024,Bibliographic requests,identification/help request,1,1,1
register,tantra,Tantra,2024,Texts and philology,general discussion,10,2,9
register,tantra,Tantra,2024,Texts and philology,philological discussion,1,1,1
register,tantra,Tantra,2025,Announcements and events,announcement/event,2,2,2
register,tantra,Tantra,2026,Announcements and events,announcement/event,1,1,1
