archive_year,archive_month,message_count
1990,11,16
1990,12,6
1991,1,5
1991,2,15
1991,3,1
1991,4,7
1991,5,18
1991,6,24
1991,7,15
1991,8,7
1991,9,17
1991,10,15
1991,11,19
1991,12,4
1992,1,10
1992,2,18
1992,3,19
1992,4,9
1992,5,27
1992,6,37
1992,7,16
1992,8,15
1992,9,26
1992,10,5
1992,11,16
1992,12,12
1993,1,37
1993,2,41
1993,3,32
1993,4,3
1993,5,31
1993,6,63
1993,7,34
1993,8,37
1993,9,48
1993,10,51
1993,11,51
1993,12,45
1994,1,31
1994,2,36
1994,3,56
1994,4,68
1994,5,22
1994,6,29
1994,7,36
1994,8,72
1994,9,197
1994,10,103
1994,11,140
1994,12,74
1995,1,152
1995,2,240
1995,3,154
1995,4,131
1995,5,156
1995,6,167
1995,7,156
1995,8,257
1995,9,124
1995,10,232
1995,11,229
1995,12,178
1996,1,125
1996,2,317
1996,3,274
1996,4,248
1996,5,389
1996,6,144
1996,7,131
1996,8,191
1996,9,162
1996,10,180
1996,11,298
1996,12,295
1997,1,189
1997,2,319
1997,3,370
1997,4,467
1997,5,355
1997,6,378
1997,7,179
1997,8,157
1997,9,391
1997,10,248
1997,11,345
1997,12,227
1998,1,370
1998,2,482
1998,3,483
1998,4,353
1998,5,651
1998,6,437
1998,7,316
1998,8,88
1998,9,159
1998,10,289
1998,11,440
1998,12,641
1999,1,661
1999,2,545
1999,3,311
1999,4,300
1999,5,659
1999,6,520
1999,7,139
1999,8,172
1999,9,421
1999,10,253
1999,11,409
1999,12,322
2000,1,426
2000,2,283
2000,3,579
2000,4,296
2000,5,301
2000,6,244
2000,7,488
2000,8,332
2000,9,375
2000,10,597
2000,11,623
2000,12,647
2001,1,334
2001,2,415
2001,3,397
2001,4,278
2001,7,31
2001,8,72
2001,9,51
2001,10,46
2001,11,54
2001,12,53
2002,1,119
2002,2,102
2002,3,81
2002,4,80
2002,5,41
2002,6,27
2002,7,56
2002,8,42
2002,9,37
2002,10,77
2002,11,99
2002,12,62
2003,1,105
2003,2,113
2003,3,45
2003,4,59
2003,5,49
2003,6,61
2003,7,25
2003,8,72
2003,9,34
2003,10,45
2003,11,68
2003,12,45
2004,1,72
2004,2,63
2004,3,108
2004,4,50
2004,5,33
2004,6,20
2004,7,73
2004,8,61
2004,9,70
2004,10,83
2004,11,112
2004,12,78
2005,1,61
2005,2,92
2005,3,49
2005,4,68
2005,5,42
2005,6,26
2005,7,46
2005,8,12
2005,9,71
2005,10,59
2005,11,67
2005,12,57
2006,1,45
2006,2,57
2006,3,106
2006,4,45
2006,5,50
2006,6,59
2006,7,42
2006,8,25
2006,9,39
2006,10,122
2006,11,79
2006,12,76
2007,1,191
2007,2,76
2007,3,76
2007,4,104
2007,5,63
2007,6,155
2007,7,63
2007,8,51
2007,9,96
2007,10,76
2007,11,47
2007,12,57
2008,1,51
2008,2,134
2008,3,44
2008,4,94
2008,5,73
2008,6,38
2008,7,104
2008,8,144
2008,9,60
2008,10,107
2008,11,89
2008,12,117
2009,1,142
2009,2,181
2009,3,182
2009,4,190
2009,5,160
2009,6,119
2009,7,127
2009,8,106
2009,9,52
2009,10,52
2009,11,55
2009,12,52
2010,1,131
2010,2,143
2010,3,147
2010,4,146
2010,5,111
2010,6,62
2010,7,82
2010,8,60
2010,9,39
2010,10,109
2010,11,97
2010,12,102
2011,1,54
2011,2,98
2011,3,150
2011,4,92
2011,5,81
2011,6,91
2011,7,98
2011,8,120
2011,9,73
2011,10,93
2011,11,101
2011,12,78
2012,1,64
2012,2,148
2012,3,113
2012,4,84
2012,5,106
2012,6,95
2012,7,72
2012,8,74
2012,9,88
2012,10,142
2012,11,81
2012,12,77
2013,1,101
2013,2,114
2013,3,140
2013,4,123
2013,5,170
2013,6,149
2013,7,131
2013,8,92
2013,9,69
2013,10,151
2013,11,129
2013,12,89
2014,1,126
2014,2,194
2014,3,122
2014,4,96
2014,5,169
2014,6,102
2014,7,201
2014,8,131
2014,9,116
2014,10,154
2014,11,129
2014,12,107
2015,1,198
2015,2,172
2015,3,133
2015,4,161
2015,5,104
2015,6,253
2015,7,329
2015,8,216
2015,9,121
2015,10,133
2015,11,162
2015,12,88
2016,1,156
2016,2,109
2016,3,213
2016,4,280
2016,5,160
2016,6,185
2016,7,172
2016,8,207
2016,9,268
2016,10,244
2016,11,329
2016,12,128
2017,1,281
2017,2,138
2017,3,154
2017,4,198
2017,5,251
2017,6,260
2017,7,136
2017,8,155
2017,9,189
2017,10,138
2017,11,140
2017,12,136
2018,1,156
2018,2,109
2018,3,72
2018,4,127
2018,5,153
2018,6,139
2018,7,72
2018,8,276
2018,9,295
2018,10,217
2018,11,200
2018,12,150
2019,1,141
2019,2,207
2019,3,307
2019,4,302
2019,5,154
2019,6,257
2019,7,146
2019,8,172
2019,9,233
2019,10,224
2019,11,167
2019,12,130
2020,1,176
2020,2,109
2020,3,283
2020,4,364
2020,5,239
2020,6,181
2020,7,213
2020,8,170
2020,9,169
2020,10,160
2020,11,218
2020,12,81
2021,1,165
2021,2,168
2021,3,151
2021,4,145
2021,5,214
2021,6,129
2021,7,99
2021,8,86
2021,9,166
2021,10,110
2021,11,107
2021,12,92
2022,1,142
2022,2,120
2022,3,132
2022,4,143
2022,5,140
2022,6,122
2022,7,161
2022,8,143
2022,9,112
2022,10,87
2022,11,92
2022,12,138
2023,1,106
2023,2,97
2023,3,141
2023,4,173
2023,5,108
2023,6,77
2023,7,135
2023,8,138
2023,9,101
2023,10,148
2023,11,111
2023,12,90
2024,1,89
2024,2,138
2024,3,163
2024,4,129
2024,5,133
2024,6,156
2024,7,117
2024,8,105
2024,9,112
2024,10,82
2024,11,105
2024,12,118
2025,1,146
2025,2,127
2025,3,145
2025,4,107
2025,5,160
2025,6,79
2025,7,106
2025,8,180
2025,9,129
2025,10,130
2025,11,106
2025,12,116
2026,1,104
2026,2,90
2026,3,177
2026,4,71
2026,5,73
2026,6,56
